"content"|"translated"|"likes"|"workId"|"sentiment"|"country"|"platform"|"postTime"
"There are around 1900 giant pandas in the wild in China  If you're lucky you can encounter them in the forests of central and south-western China, bu"|"中国大约有1900只野生大熊猫，如果你幸运的话，你可以在中国中部和西南部的森林里遇到它们"|"165"|"18"|"积极"|"牙买加"|"Twitter"|"2023-04-27"|"Twitter"
"A Bitten Peach has symbolised homosexuality in China for thousands of years. Legend has it that Duke Ling of Wey (534-492 BCE) was walking in a garde"|"在中国，被咬的桃子几千年来一直是同性恋的象征。传说魏灵公(公元前534-492年)走在一个庭院里"|"1608"|"18"|"积极"|"美国"|"Twitter"|"2023-05-03"|"Twitter"
"A Bite of China#TheGreatTranslationMovement"|"舌尖上的中国#大翻译运动"|"336"|"18"|"积极"|"爱尔兰"|"Twitter"|"2023-06-21"|"Twitter"
"A bite of China!天气凉，整起来，整起来！https://twitter.com/SichuanStyle/status/1609478828212236289/video/1…"|"A bite of China!天气凉，整起来，整起来！https://twitter.com/SichuanStyle/status/1609478828212236289/video/1…"|"65"|"18"|"消极"|"中国"|"Twitter"|"2023-01-01"|"Twitter"
"THE GREAT WALL IS SO BEAUTIFUL UP FROM PLANE. #China"|"从飞机上看长城是如此美丽。#中国"|"1"|"18"|"积极"|"爱尔兰"|"Twitter"|"2023-07-25"|"Twitter"
"Chinese nurse breaks down over the workload at her hospital. China recently opened up again and is facing a massive wave as societal immunity levels "|"一名中国护士在医院因工作量过大而崩溃。中国最近再次开放，随着社会免疫力的提高，正面临着巨大的浪潮"|"572"|"18"|"积极"|"新西兰"|"Twitter"|"2023-01-03"|"Twitter"
"Taking a bite in the streets of China Town, New York."|"Taking a bite in the streets of China Town, New York."|"5"|"18"|"消极"|"澳大利亚"|"Twitter"|"2023-02-07"|"Twitter"
"U.S. Envoy Kerry Secret Deals With China's WANG YI To End U.S China Tension■ Don't bite the hand that feeds you-When you bite the hand that feeds you"|"美特使克里与中国王毅达成秘密协议结束美中紧张关系■恩将仇报——恩将仇报"|"51"|"18"|"积极"|"爱尔兰"|"Twitter"|"2023-07-22"|"Twitter"
"A newly described fossil from China shows a badger-size mammal taking a bite out of a dinosaur—literally"|"中国最新发现的化石显示，一只獾大小的哺乳动物咬了一只恐龙一口"|"396"|"18"|"积极"|"爱尔兰"|"Twitter"|"2023-07-20"|"Twitter"
"KFC China is nuts!I ordered the limited-time Frog Taco. Yes. Fried frog meat in a taco... Except the taco is actually fried chicken!Also had Pepsi ic"|"肯德基中国太疯狂了!我点了限时青蛙玉米卷。是的。煎青蛙肉卷…除了这个墨西哥卷其实是炸鸡!还有百事可乐"|"4"|"18"|"积极"|"英国"|"Twitter"|"2023-07-21"|"Twitter"
"China should take a tiny bite of Russia, just a little nip really.How quickly Russia would recede the tentacle."|"中国应该从俄罗斯身上分一小口，真的就一小口。俄罗斯会以多快的速度收回触角。"|"143"|"18"|"积极"|"美国"|"Twitter"|"2023-03-16"|"Twitter"
"The Siamogale melilutra was a prehistoric otter that weighed around 110 lbs. These otters lived in the wetlands of southwest China. It had a bite tha"|"Siamogale melilutra是一种史前水獭，体重约110磅。这些水獭生活在中国西南部的湿地。它有一个咬"|"22"|"18"|"消极"|"新加坡"|"Twitter"|"2023-01-14"|"Twitter"
"I'm with Gary. The choice is between war with the West or getting a bite of russia. Some juicy morsel with resources and access to the water in Lake "|"我同意加里的观点。选择是与西方开战，还是被俄罗斯咬一口。一些多汁的小鲜肉，有资源和取水的途径"|"47"|"18"|"积极"|"加拿大"|"Twitter"|"2023-03-22"|"Twitter"
"舌尖上的中国刀刃上的日本A bite of ChinaA cut of Japan"|"舌尖上的中国刀刃上的日本A bite of ChinaA cut of Japan"|"1"|"18"|"积极"|"中国"|"Twitter"|"2023-07-09"|"Twitter"
"Latest Chiflix production: A Bite of China (舌尖上的中国) 001 - Less is more."|"Latest Chiflix production: A Bite of China (舌尖上的中国) 001 - Less is more."|"1"|"18"|"积极"|"中国"|"Twitter"|"2023-05-22"|"Twitter"
": With my incredible bite force, eating bamboo is a piece of cake. #WednesdayMotivation #panda (Video via Beijing Zoo)"|"以我惊人的咬合力，吃竹子是小菜一碟。#周三动机#熊猫(视频来自北京动物园)"|"44"|"18"|"消极"|"新西兰"|"Twitter"|"2023-07-19"|"Twitter"
"Heechul shared that he ate frog before 4 years ago when he went to China for an event. He had dinner with Chinese actress 축서단 at a local restaurant. "|"希哲说，他4年前去中国参加活动时吃过青蛙。他在当地一家餐馆与中国女演员孔孔胤共进晚餐。"|"180"|"18"|"积极"|"英国"|"Twitter"|"2023-02-26"|"Twitter"
"If Malaysia burns for whatever reason, and we are in the middle of confrontation between China & the USA, I'd rather die than become a refugee. We do"|"如果马来西亚因为任何原因被烧毁，而我们正处于中美对抗的中间，我宁愿死也不愿成为难民。我们所做的"|"26"|"18"|"积极"|"新加坡"|"Twitter"|"2023-03-10"|"Twitter"
"Sounds like China’s gonna take a bite out of russia. "|"听起来中国要咬俄罗斯一口了。"|"2"|"18"|"积极"|"美国"|"Twitter"|"2023-04-25"|"Twitter"
"Latest Chiflix production: A Bite of China (舌尖上的中国) 002 - More is more."|"Latest Chiflix production: A Bite of China (舌尖上的中国) 002 - More is more."|"2"|"18"|"积极"|"中国"|"Twitter"|"2023-05-22"|"Twitter"
"For most native of #Rugao, #Jiangsu Province in East China, the day begins with a couple of delicious tandoori #bread. Want to have a bite?    #stree"|"对于中国东部江苏省如皋市的大多数人来说，一天的开始是几块美味的土灶面包。想尝一口吗?# stree"|"4"|"18"|"消极"|"爱尔兰"|"Twitter"|"2023-06-12"|"Twitter"
"China Square managers made a mistake revealing their daily sales. It activated the greediness of the ruling elite who now want a bite of the cherry  "|"中国广场的经理们在公布每日销售额时犯了一个错误。它激发了统治精英的贪婪，他们现在想要分一杯羹"|"71"|"18"|"积极"|"加拿大"|"Twitter"|"2023-02-28"|"Twitter"
"I love this.  I don’t want the Russian federation to totally collapse-it would be chaos but I doubt anyone is going to get involved if China takes a "|"我喜欢这个。我不希望俄罗斯联邦完全崩溃——那将是一片混乱，但我怀疑如果中国采取行动，任何人都不会介入"|"36"|"18"|"积极"|"加拿大"|"Twitter"|"2023-05-01"|"Twitter"
"Seems the captain really wanted a bite of those skewers, no?What a fun and warm moment!#China #Chinarama"|"看来船长真的很想吃那些烤肉串，不是吗?多么有趣和温暖的时刻!#中国# Chinarama"|"21"|"18"|"积极"|"马来西亚"|"Twitter"|"2023-05-04"|"Twitter"
"China has not put pressure on any of the BRICS nations, how fast will the US have their Goons in India changing policies and creating Trouble, if Ind"|"中国没有向任何金砖国家施压，美国在印度的打手改变政策和制造麻烦的速度有多快"|"14"|"18"|"积极"|"英国"|"Twitter"|"2023-07-19"|"Twitter"
"And again, don’t get me wrong, you can argue there’s a lot of issues inside the current U.S. system, but I really find hard to bite the idea that Chi"|"再次，不要误解我的意思，你可以说美国现行体制存在很多问题，但我真的很难接受这个观点"|"0"|"18"|"积极"|"澳大利亚"|"Twitter"|"2023-07-26"|"Twitter"
"A bite of China! Happy weekend!"|"A bite of China! Happy weekend!"|"26"|"18"|"中立"|"新西兰"|"Twitter"|"2023-04-22"|"Twitter"
"No you can't bite the bullet for Frum on this. “Mexico didn't open its economy like China did” is an insane opinion to hold. Frum's take is the blubb"|"No you can't bite the bullet for Frum on this. “Mexico didn't open its economy like China did” is an insane opinion to hold. Frum's take is the blubb"|"54"|"18"|"消极"|"加拿大"|"Twitter"|"2023-03-06"|"Twitter"
"The fact that all three journos are in China with the PM is precisely WHY the two jets story isn't making much of an impact. It's called dont bite th"|"The fact that all three journos are in China with the PM is precisely WHY the two jets story isn't making much of an impact. It's called dont bite th"|"41"|"18"|"消极"|"爱尔兰"|"Twitter"|"2023-06-27"|"Twitter"
"Slavery is back baby and it is NOT GOOD. Slavery 2.0 is all of humanity. The elites see the common people as commodities to be bought, traded, used a"|"奴隶制度又回来了，这是不好的。奴隶制2.0代表了全人类。精英们把普通人看作是可以被购买、交易、利用的商品"|"0"|"18"|"积极"|"加拿大"|"Twitter"|"2023-07-20"|"Twitter"
