content|translated|likes|workId|sentiment|country|platform|postTime
I really love chinese food.vest regards from philippines|我真的很喜欢中国菜。来自菲律宾的问候|0|18|积极|新西兰|Youtube|2023-07-21
請勿翻牆。|请勿翻墙。|0|18|消极|日本|Youtube|2023-06-15
Дякую |谢谢|2|18|中立|白俄罗斯|Youtube|2023-06-11
工作虽然重要可是因为工作很多人患上忧郁症。忧郁症者从来就没有人关心。冷漠的社会|工作虽然重要可是因为工作很多人患上忧郁症。忧郁症者从来就没有人关心。冷漠的社会|0|18|积极|中国|Youtube|2023-07-23
想起怀孕的时候 和娃爹一起做饭一起看舌尖1的烟火生活|想起怀孕的时候 和娃爹一起做饭一起看舌尖1的烟火生活|1|18|积极|中国|Youtube|2023-05-21
富士康宿舍外墙一二楼之间为什么有网子？|富士康宿舍外墙一二楼之间为什么有网子？|1|18|中立|中国|Youtube|2023-04-24
陳師傅忙碌了一天.....|陈师傅忙碌了一天.....|0|18|消极|中国|Youtube|2023-04-13
吃饱了，鼓起勇气看一集.|吃饱了，鼓起勇气看一集.|7|18|积极|中国|Youtube|2023-04-12
十四億人口，想出人頭地，幸苦，|十四亿人口，想出人头地，幸苦，|2|18|中立|中国|Youtube|2023-04-12
excellent episode!|优秀的插曲!|1|18|积极|荷兰|Youtube|2023-04-11
个幼儿园 给孩子 就不用 见不到孩子了 |个幼儿园 给孩子 就不用 见不到孩子了 |3|18|积极|中国|Youtube|2023-04-07
这季，特别是这集，讲故事多，吃谈得少且浅，有失水准|这季，特别是这集，讲故事多，吃谈得少且浅，有失水准|2|18|积极|中国|Youtube|2023-03-26
富士康那一段看得五味杂陈……唯愿亲人不再离分、生活不再艰辛……|富士康那一段看得五味杂陈……唯愿亲人不再离分、生活不再艰辛……|9|18|积极|中国|Youtube|2023-03-20
十年了她们都还好吗？|十年了她们都还好吗？|2|18|积极|中国|Youtube|2023-02-18
父母的爱如滔滔江水连绵不绝，受不了！|父母的爱如滔滔江水连绵不绝，受不了！|3|18|中立|中国|Youtube|2023-02-18
很好|很好|4|18|积极|中国|Youtube|2022-08-18
加油|加油|3|18|积极|中国|Youtube|2022-07-22
此案是告诉你好不好吃！没有告诉你健不健康！|此案是告诉你好不好吃！没有告诉你健不健康！|5|18|积极|中国|Youtube|2022-05-07
