content,translated,likes,workId,sentiment,country,platform,postTime
"Who am I to write a review of a collection of 600 year old Chinese fairytales? This edition, with notes about the translation and a great introductio","Who am I to write a review of a collection of 600 year old Chinese fairytales? This edition, with notes about the translation and a great introductio",1 like,1,消极,英国,GoodReads,2022-09-12
"Absolutely delightful. I can’t compare Lovell’s version to other, more faithful, translations, but this as its own thing is so full of life and humor","Absolutely delightful. I can’t compare Lovell’s version to other, more faithful, translations, but this as its own thing is so full of life and humor",1 like,1,消极,美国,GoodReads,2023-04-14
An entertaining series of tales. It’s hard to believe this was written in the 16th century and that it is not widely known in the west.,An entertaining series of tales. It’s hard to believe this was written in the 16th century and that it is not widely known in the west.,1 like,1,消极,澳大利亚,GoodReads,2022-02-19
"that monkey, man is he always up to no good","that monkey, man is he always up to no good",1 like,1,消极,马来西亚,GoodReads,2022-09-12
Sun Wukong is my new favorite superhero.,Sun Wukong is my new favorite superhero.,1 like,1,消极,新西兰,GoodReads,2023-06-17
Engaging translation of one of China’s classic novels. Abridged very effectively to consistently develop a narrative focused on the development of Mo,Engaging translation of one of China’s classic novels. Abridged very effectively to consistently develop a narrative focused on the development of Mo,1 like,1,消极,澳大利亚,GoodReads,2022-01-17
Una historia de aventura que luego de un rato se volvió simplemente Son Wukong salvando al resto porque eran tontos y se metían en problemas. Ahora i,Una historia de aventura que luego de un rato se volvió simplemente Son Wukong salvando al resto porque eran tontos y se metían en problemas. Ahora i,1 like,1,消极,西班牙,GoodReads,2022-03-10
It's more about the original than the translation,It's more about the original than the translation,1 like,1,消极,加拿大,GoodReads,2022-11-27
"Essential reading for any fan of Eastern Asiatic culture, especially those of the shonen anime variety. This book was the inspiration for almost ever","Essential reading for any fan of Eastern Asiatic culture, especially those of the shonen anime variety. This book was the inspiration for almost ever",1 like,1,消极,澳大利亚,GoodReads,2023-06-26
"The first 13 chapters were tough. I almost quit, but it was for bookclub and I picked it, so I couldn't. The rest of the book though was fun! Also, I","The first 13 chapters were tough. I almost quit, but it was for bookclub and I picked it, so I couldn't. The rest of the book though was fun! Also, I",1 like,1,消极,澳大利亚,GoodReads,2022-06-05
"Some notes, no big thoughts yet:1) I've said this before about dipping into some cultural or genre tradition: when you don't know the context, it can","Some notes, no big thoughts yet:1) I've said this before about dipping into some cultural or genre tradition: when you don't know the context, it can",1 like,1,消极,加拿大,GoodReads,2021-05-05
"I noticed that I have a bad habit of criticising translations of classic literature, perhaps unfairly, so I will endeavour not to do so here. Monkey ","I noticed that I have a bad habit of criticising translations of classic literature, perhaps unfairly, so I will endeavour not to do so here. Monkey ",1 like,1,消极,加拿大,GoodReads,2021-10-28
"With discipline, he might become a force for supernatural good; without it, he was pure animal - a wrecking ball in Heaven.Journey to the West (1592)","With discipline, he might become a force for supernatural good; without it, he was pure animal - a wrecking ball in Heaven.Journey to the West (1592)",1 like,1,消极,新加坡,GoodReads,2021-06-05
Hilariously entertaining.,Hilariously entertaining.,1 like,1,中立,爱尔兰,GoodReads,2021-12-19
"A modern translation of the Chinese classic, Journey to the West (西遊記) about the seminal Monkey King 孫悟空 and the supporting cast of Pigsy, Sandy, and","A modern translation of the Chinese classic, Journey to the West (西遊記) about the seminal Monkey King 孫悟空 and the supporting cast of Pigsy, Sandy, and",1 like,1,消极,美国,GoodReads,2022-01-18
"This is an abridged version of the famous Chinese classic: Journey to the West. Besides the humor, the story does have an overall message of reformin","This is an abridged version of the famous Chinese classic: Journey to the West. Besides the humor, the story does have an overall message of reformin",1 like,1,消极,加拿大,GoodReads,2021-08-22
"This translation was great, did a great job of conveying the real spirit of a classic book, as opposed to a literal translation that would make it te","This translation was great, did a great job of conveying the real spirit of a classic book, as opposed to a literal translation that would make it te",1 like,1,消极,美国,GoodReads,2023-02-13
rating is for the translation! (otherwise Chinese classics are always 5-star for me hehe),rating is for the translation! (otherwise Chinese classics are always 5-star for me hehe),1 like,1,消极,马来西亚,GoodReads,2021-04-14
"Hmmm MonkeyWas very interesting to read the Story that inspired so many shows I grew up with , maybe some day I will read the unabridged version.","Hmmm MonkeyWas very interesting to read the Story that inspired so many shows I grew up with , maybe some day I will read the unabridged version.",1 like,1,消极,马来西亚,GoodReads,2021-04-15
Nice modern translation and abridgement,Nice modern translation and abridgement,1 like,1,消极,新西兰,GoodReads,2021-10-01
"If you’re a fan of any of the Dragon Balls or Goku, I recommend this book! This is the original inspiration for Goku’s character. It was such an exci","If you’re a fan of any of the Dragon Balls or Goku, I recommend this book! This is the original inspiration for Goku’s character. It was such an exci",1 like,1,消极,英国,GoodReads,2022-06-09
An endlessly amusing book that is basically a collection of stories about who the Monkey is and what happened to him and his companions when escortin,An endlessly amusing book that is basically a collection of stories about who the Monkey is and what happened to him and his companions when escortin,4,1,消极,牙买加,GoodReads,2023-06-17
"Here is no review, but my idiotic, idiosyncratic reflections on the Lovell edition. Be advised:Journey to the West features ancient tropes or ‘mythem","Here is no review, but my idiotic, idiosyncratic reflections on the Lovell edition. Be advised:Journey to the West features ancient tropes or ‘mythem",0,1,消极,新加坡,GoodReads,2022-09-24
"What an adventure! Through osmosis (and that one album Damon Albarn made) I've picked up miscellaneous details of the Journey to the West, but never ","What an adventure! Through osmosis (and that one album Damon Albarn made) I've picked up miscellaneous details of the Journey to the West, but never ",1,1,消极,新加坡,GoodReads,2022-10-01
"Well, that was interesting. To give it credit, this classic amalgam of Chinese mythology has an incredible sense of fun, especially when you contrast","Well, that was interesting. To give it credit, this classic amalgam of Chinese mythology has an incredible sense of fun, especially when you contrast",1 like,1,消极,新西兰,GoodReads,2023-01-23
"This Monkey King is a fun adventure story about four monsters - Monkey, Pigsy, Sandy and a Dragon that's been poly-morphed into a horse - that have t","This Monkey King is a fun adventure story about four monsters - Monkey, Pigsy, Sandy and a Dragon that's been poly-morphed into a horse - that have t",4,1,消极,爱尔兰,GoodReads,2022-07-16
"If judging a book by its cover was a felony, I'd be serving 327 life sentences. They'll never catch me though, I'm still at large! Earlier this year,","If judging a book by its cover was a felony, I'd be serving 327 life sentences. They'll never catch me though, I'm still at large! Earlier this year,",0,1,消极,新西兰,GoodReads,2022-10-27
"Monkey works as a coming of age story. At the beginning, Monkey is like a child who plays pranks on everyone and gives precedence to his own pleasure","Monkey works as a coming of age story. At the beginning, Monkey is like a child who plays pranks on everyone and gives precedence to his own pleasure",2,1,消极,英国,GoodReads,2023-02-19
"I liked it. Hence the three stars. Unfortunately, I didn't find it as terrific or thought-provoking as many people I know and have seen online believ","I liked it. Hence the three stars. Unfortunately, I didn't find it as terrific or thought-provoking as many people I know and have seen online believ",5,1,消极,马来西亚,GoodReads,2022-08-21
Through trickery and deceipt Sun Wukong is a embued with God like powers and a magical staff. For this Buddah sets upon him a mountain; trapping him ,Through trickery and deceipt Sun Wukong is a embued with God like powers and a magical staff. For this Buddah sets upon him a mountain; trapping him ,1,1,消极,加拿大,GoodReads,2022-05-28
