content|translated|likes|workId|sentiment|country|platform|postTime
the voice |的声音|0|1|消极|新加坡|Youtube|2023-07-26
Moreeeeeeeeeeeeee pls|Moreeeeeeeeeeeeee请|1|1|消极|爱尔兰|Youtube|2023-07-25
“That’s impossible” I mean it’s not like he can make copy’s of himself and has done it multiple times|“那是不可能的”我的意思是，他不可能复制自己，而且已经复制了很多次了|0|1|积极|新加坡|Youtube|2023-07-25
Please make part XI.|请制作第十一部分。|1|1|中立|爱尔兰|Youtube|2023-07-25
That migraines spell finally came back|偏头痛的魔咒终于回来了|0|1|积极|澳大利亚|Youtube|2023-07-24
2:40  I love this|2:40我喜欢这个|0|1|积极|新西兰|Youtube|2023-07-24
Remember watching Monkey on TV during the 80s in Australia|还记得80年代在澳大利亚看电视上的猴子吗|1|1|积极|新西兰|Youtube|2023-07-24
WHERE DO I FIND THE REST!!!!!|我在哪里可以找到剩下的!!!!!|0|1|消极|英国|Youtube|2023-07-24
How long in between are the episodes, in other words how long till the next one?|每一集间隔多久，换句话说，到下一集要多久?|1|1|消极|马来西亚|Youtube|2023-07-24
Been watching this series because I started watching LMK (Lego monkie kid) and am to lazy to actually read journey to the west and the entire time I’|我一直在看这个系列，因为我开始看LMK(乐高猴子孩子)，我懒得读《西游记》。|1|1|积极|美国|Youtube|2023-07-23
Ah yes. Wukong Black.|啊,是的。黑悟空。|0|1|中立|新加坡|Youtube|2023-07-22
AAAAHHH IT'S BEEN SOX MONTHS|都过了两个月了|1|1|消极|马来西亚|Youtube|2023-07-22
I love how most people found this due to watching lmk yet this is the reason on how i found it. I just find it quite funny. And i just wanna say I wo|我喜欢大多数人因为看了lmk而发现了这个，但这就是我发现它的原因。我只是觉得很有趣。我只想说我没有|2|1|积极|新西兰|Youtube|2023-07-21
The quality of video is just at the top, thank u for ur hard work ! Love all u doing|视频质量刚刚好，谢谢你们的辛勤工作!爱你所做的一切|1|1|积极|爱尔兰|Youtube|2023-07-21
Please make more journey to the west video’s ! Every year I find myself coming back here and I just can’t get enough !|请制作更多的西游视频!每年我都会回到这里，我就是无法满足!|1|1|积极|英国|Youtube|2023-07-21
Sun Wukong: Hey! Do you want me to kill that guy for you? &gt;:3|孙悟空:嘿!你想让我帮你杀了那个人吗?祝辞:3|1|1|消极|加拿大|Youtube|2023-07-20
Can you make a part 11 I really love this series|我真的很喜欢这个系列|0|1|积极|加拿大|Youtube|2023-07-20
I can’t believe they made Lego Monkey Kid into a book|我真不敢相信他们把乐高猴子孩子写进了书里|0|1|积极|英国|Youtube|2023-07-20
I caved and rented Julia Lovell's abridged version of Journey to the West from the library, and it was great. Up next is the Anthony C. Yu translatio|我屈服了，从图书馆租了朱莉娅·洛弗尔(Julia Lovell)的《西游记》(Journey to the West)删节版，这本书很棒。接下来是安东尼·c·馀的翻译|0|1|积极|牙买加|Youtube|2023-07-19
when is the next episode?!!?|下一集是什么时候?|0|1|积极|美国|Youtube|2023-07-18
When’s the next one|下一班是什么时候|0|1|积极|英国|Youtube|2023-07-18
we need the full storry lol still awaiting for part 11|我们需要完整的故事，哈哈，还在等第11部分|1|1|积极|澳大利亚|Youtube|2023-07-18
monkie kid really gave this series second breath to get more popularity|猴子小子真的给这个系列带来了第二次生机，让它更受欢迎|0|1|积极|新西兰|Youtube|2023-07-17
Brooo this just tooo good|布鲁，这太好了|0|1|中立|爱尔兰|Youtube|2023-07-16
