content|translated|likes|workId|sentiment|country|platform|postTime
I love the history of Han Dynasty and Three Kingdoms and just being able to read such a tale from multiple perspectives just made me want to learn mo|我喜欢汉朝和三国的历史，能够从多个角度阅读这样一个故事，让我想学更多|2|7|积极|美国|Amazon|2022-10-6
The map, list of characters, and chronology of historical events provided in the book are very helpful.The story speaks of so many famous characters |书中提供的地图、人物列表和历史事件年表非常有用。这个故事提到了很多著名的人物|1|7|积极|美国|Amazon|2020-12-30
Some have said the English isn't good in this translation, and there are some mistakes. However, there is only character description of four (or so) |有人说这个翻译的英语不好，而且有一些错误。然而，只有四个(左右)的角色描述。|7|7|积极|美国|Amazon|2022-1-26
I was introduced to the world of Romance of the Three Kingdoms thanks to the Dynasty Warriors game, and decided I wanted to read to original work tha|多亏了《三国演义》游戏，我才接触到了《三国演义》的世界，于是我决定读原着|20|7|积极|美国|Amazon|2013-1-17
Classic but a little hard to read. Full of wars, betrayal, greed and honor.|经典，但有点难读。充满了战争，背叛，贪婪和荣誉。|1|7|积极|美国|Amazon|2021-2-24
Cover was creased and in poor shape. Did not look new|盖子有折痕，形状很差。看起来不新鲜|3|7|消极|美国|Amazon|2023-6-7
This book is very long and can be hard to get through due to the overwhelming amount of characters and events going on. As an American, there is a cu|This book is very long and can be hard to get through due to the overwhelming amount of characters and events going on. As an American, there is a cu|3|7|消极|美国|Amazon|2013-8-27
Boyfriend wanted this book for some time so I bought it as part of his Christmas gift. He was very happy!|男朋友想要这本书有一段时间了，所以我买了它作为他圣诞礼物的一部分。他非常高兴!|2|7|积极|美国|Amazon|2020-4-29
It may be ponderous to read, and possibly difficult to keep track of everyone, but it was an enjoyable read for me.After watching Red Cliff I had the|这本书读起来可能很沉闷，可能很难了解每个人的情况，但对我来说，这是一本令人愉快的书。看完《赤壁》我就|3|7|积极|美国|Amazon|2012-11-11
Its an abridged copy of all four novels, and while the concision might make it seem more accessible, it is the opposite. The translation work, while |这是所有四部小说的删节本，虽然简洁可能使它看起来更容易理解，但事实恰恰相反。翻译工作，而|14|7|积极|美国|Amazon|2020-6-18
Although the translation is atrocious, and the book is poorly redacted, it may be the most concise version ever made of this fantastic book, which sh|尽管翻译得很糟糕，而且这本书的编辑也很糟糕，但它可能是这本奇妙的书迄今为止最简洁的版本|22|7|积极|美国|Amazon|2013-12-9
If you're someone like me who became interested in Romance of the Three Kingdoms through games like Dynasty Warriors and wanted to read the original |如果你像我一样，通过《王朝勇士》这样的游戏对《三国演义》感兴趣，并想要阅读原着|2|7|积极|美国|Amazon|2023-2-28
One of the problems with ordering a book on Kindle is that you don't know its full length in pages. The romance of three Kingdoms must be a rather th|在Kindle上订购一本书的一个问题是，你不知道书的总页数。《三国演义》一定是一部相当不错的小说|3|7|积极|美国|Amazon|2013-8-7
