content|translated|likes|workId|sentiment|country|platform|postTime
4.5 stars.This critically well-acclaimed science fiction novel certainly deserves its laurels.Wildly imaginative, really interesting.. so proclaimed |4.5星。这部广受好评的科幻小说当然当之无愧。想象力丰富，非常有趣……所以宣布|72|7|积极|牙买加|GoodReads|2019-11-02
“It was impossible to expect a moral awakening from humankind itself, just like it was impossible to expect humans to lift off the earth by pulling u|“不可能期望人类自身的道德觉醒，就像不可能期望人类通过拉你离开地球一样。|73|7|积极|美国|GoodReads|2021-03-24
To effectively contain a civilization's development and disarm it across such a long span of time, there is only one way; kill its science.The only t|要在这么长的时间里有效遏制一个文明的发展并解除它的武装，只有一条路;扼杀它的科学。唯一的t|88|7|积极|加拿大|GoodReads|2021-03-04
4.5 starsThis is the first book of a trilogy.The story begins during the early years of China's 'Cultural Revolution.' Ye Wenjie, a young astrophysic|4.5星这是三部曲的第一部。故事始于中国“文化大革命”初期。叶文杰，年轻的天体物理学家|68|7|积极|新加坡|GoodReads|2021-01-21
This book is so FREAKING AWESOME! DAMN! If all science fiction books were like this, I might not ever read another genre! Therefore, I'm glad most ar|这本书太棒了!该死的!如果所有的科幻小说都是这样，我可能再也不会读其他类型的小说了!因此，我最高兴的是|66|7|积极|加拿大|GoodReads|2019-04-02
ARC received via NetGalley in exchange for an honest reviewThe Three-Body Problem is a very successful trilogy in China and is now translated and pub|《三体》在中国是一部非常成功的三部曲，现在已经被翻译出版了|67|7|积极|爱尔兰|GoodReads|2014-11-11
Pre-reviewEdited@06/12/2021I just read this 2019 article below, and found out this 'author' is in agreement with Uighur Genocide. No! He actually thi|我刚刚读了下面这篇2019年的文章，发现这个“作者”同意维吾尔人的种族灭绝。不!他实际上是这样的|67|7|积极|牙买加|GoodReads|2022-07-14
1 star is a little harsh, but this is (imo) a very bad book. I'd recommend reading some of the 1 and 2-star reviews here before you give it a try. Ye|1星是有点苛刻，但这是一本(在我看来)非常糟糕的书。在你尝试之前，我建议你阅读一些1星和2星的评论。叶|64|7|消极|马来西亚|GoodReads|2022-12-19
How would humanity react if we found out we are not alone in the universe? Not only that, if we knew that alien civilization was on its way to earth |如果我们发现我们在宇宙中并不孤单，人类会作何反应?不仅如此，如果我们知道外星文明正在来地球的路上|62|7|积极|加拿大|GoodReads|2018-03-01
The Three-Body Problem: Particle physics, the rise and fall of civilizations, and alien contactOriginally published atFantasy LiteratureThe Three-Bod|三体问题:粒子物理学，文明的兴衰，与外星人接触最初发表于幻想文学三体|61|7|积极|澳大利亚|GoodReads|2015-07-24
I have a rule that I have held to fairly robustly for many years that you should always finish the book you start. You owe it to yourself and to the |我有一个多年来一直坚持的原则，那就是你应该把你开始读的书读完。你欠你自己，也欠|59|7|积极|澳大利亚|GoodReads|2016-09-20
The most intricate alien-invasion story I have read. It is erudite, it is playful and it makes you struggle with the big questions throughout. It has|这是我读过的最复杂的外星人入侵故事。它是博学的，它是有趣的，它让你在整个大问题的斗争。它有|60|7|积极|马来西亚|GoodReads|2016-01-20
Addictive, gripping, filmic in scenes, big on ideas, but sloppy in execution and characterisation - 3.5 stars rounded downWhy, sometimes I've believe|Addictive, gripping, filmic in scenes, big on ideas, but sloppy in execution and characterisation - 3.5 stars rounded downWhy, sometimes I've believe|60|7|消极|马来西亚|GoodReads|2020-06-04
Brilliant and thrilling, fun and mind expanding. If this is what Chinese science fiction writers bring to the table, feed my head! This won the Hugo |精彩又刺激，有趣又开阔眼界。如果这就是中国科幻作家的作品，喂我的头!这赢得了雨果奖|57|7|积极|爱尔兰|GoodReads|2015-10-25
Alucinante.Me ha encantado, aunque es un libro bastante introductorio en el que en realidad todo está por ocurrir, pero ¡Menuda introducción!.Me ha g|催眠。我喜欢它，虽然这是一本相当介绍性的书，实际上一切都将发生，但这是一个多么好的介绍!我有g|57|7|积极|西班牙|GoodReads|2020-06-17
In the late 1960s, Ye Wenjie gets sent to the boonies to atone for all her capitalist and intellectual sins, as perceived during the Chinese Cultural|在20世纪60年代末，叶文杰被送到边远地区，以弥补她在资本主义和知识分子方面的所有罪行，正如中国文化所认为的那样|56|7|积极|英国|GoodReads|2022-02-18
Съвременната научна фантастика е рядкост на българския книжен пазар и излизането на всеки по-мащабен труд в този жанр е истинско събитие. То е двойно|现代科幻小说在保加利亚图书市场上很少见，任何这种类型的大型作品的发行都是一个真实的事件。它是双倍的|57|7|积极|保加利亚|GoodReads|2020-05-14
¿Te encanta la CF Hard? Enhorabuena, este libro lo disfrutas fijo.¿Te encantan los personajes bien construidos?. Ya lo siento, aquí no pillas ni uno.|你喜欢CF Hard吗?恭喜你，你喜欢这本书。你喜欢精心打造的角色吗?我很抱歉，你没有得到一个在这里。|54|7|积极|西班牙|GoodReads|2016-11-07
The Three-Body Problem exists as a vast, complex 4 dimensional object. Much of its byzantine structures are veiled behind the plane of a different re|三体问题是一个巨大而复杂的四维物体。它的许多拜占庭式建筑都隐藏在另一个建筑的平面后面|54|7|中立|爱尔兰|GoodReads|2022-07-05
‘The Three-Body Problem’ is a science fiction novel by Cixin Liu. The premise is not original but the way Liu writes is incredibly creative; he makes|《三体》是刘慈欣的科幻小说。故事的前提并非原创，但刘的写作方式却极具创意;他使|52|7|积极|牙买加|GoodReads|2023-04-30
Deja am trecut-o pe raftul special, cu foarte puține cărți de altfel, dedicat capodoperelor SF. În mod sigur cel mai bun SF citit de mine anul acesta|我已经把它放在特殊的书架上，很少有书，专门介绍科幻杰作。 绝对是我今年读过的最好的SF|53|7|积极|罗马尼亚|GoodReads|2023-02-25
This was a baffling and frustrating read. Translator Ken Liu states in a postscript that “The Chinese literary tradition shaped and was shaped by its|这是一个令人困惑和沮丧的阅读。译者刘宇昆在后记中写道:“中国文学传统塑造了它的传统，也被它的传统所塑造|48|7|积极|英国|GoodReads|2015-10-06
NYT has an article today... finishing it after I finish the book!http://www.nytimes.com/2014/11/11/boo...___From the author's postscript:I've always |纽约时报今天有篇文章…在我完成这本书之后再完成它!http://www.nytimes.com/2014/11/11/boo...___From作者的附言:我总是|46|7|积极|新加坡|GoodReads|2014-11-15
Hmmm. I liked it! I don't really know what I just read but I liked it. It was an interesting cultural exploration of Chinese scifi. I learned that so|嗯。我喜欢它!我真的不知道我刚刚读了什么，但我喜欢它。这是一次有趣的中国科幻文化探索。这是我学到的|48|7|积极|爱尔兰|GoodReads|2020-06-29
everyone points out how cold the characters are to each other and honestly i did see that but i thought it was funny. i think because i’m also kind o|每个人都指出角色之间有多冷漠，老实说，我确实看到了，但我认为这很有趣。我想因为我也很善良|46|7|积极|美国|GoodReads|2021-06-13
The Three-Body Problem is science fiction at its best. Most science fiction doesn't even discuss any science. Here is science in all its beauty, maje|《三体》是最好的科幻小说。大多数科幻小说甚至不讨论任何科学。这就是科学之美，陛下|52|7|积极|澳大利亚|GoodReads|2023-07-12
What an interesting novel. It's kind of all over the place, and that's its strength. Personally, as a fan of Chinese literature and science fiction I|多有趣的小说啊。它无处不在，这就是它的力量所在。就我个人而言，作为一个中国文学和科幻小说的爱好者|44|7|积极|牙买加|GoodReads|2017-06-15
18.12.2019 /Related article:https://m.phys.org/news/2019-12-newto...----Update: I just discovered that it will hit the big screen in 2017: http://www|18.12.2019 /相关文章:https://m.phys.org/news/2019-12-newto...----Update:我刚刚发现它将在2017年登上大银幕:http://www|43|7|积极|爱尔兰|GoodReads|2019-12-19
Too hard for me (and I kind of meant that as in 'hard SF' but tbh I'm happy to accept I'm not clever enough for this). Brilliant opening set in the C|Too hard for me (and I kind of meant that as in 'hard SF' but tbh I'm happy to accept I'm not clever enough for this). Brilliant opening set in the C|43|7|消极|澳大利亚|GoodReads|2022-02-10
Three Body Problem made me curious about mathematics. This is no small feat.I see math like Michael Bay sees movies that aren't based on a series of |《三体》让我对数学产生了好奇。这可不是一件小事。我看数学就像迈克尔·贝看电影不是基于一系列|42|7|积极|爱尔兰|GoodReads|2016-09-11
Впечатляващо добра книга. Започва от едно място с първата си част „Смълчана пролет“, където се проследяват събития от Културната революция в Китай (з|令人印象深刻的好书。它从一个地方开始，第一部分“寂静的春天”，追溯了中国文化大革命的事件。|49|7|积极|保加利亚|GoodReads|2022-12-27
All the craziness of how first contact might disrupt human society, packaged into a story that is DENSE with fun ideas. Like most harder science fict|所有关于第一次接触如何破坏人类社会的疯狂，都被包装成一个充满有趣想法的故事。就像大多数更难的科幻小说一样|42|7|积极|英国|GoodReads|2022-01-29
2.5خیلی طوفانی شروع شد ولی رفته رفته روند آرومی رو پیش گرفت. متأسفانه توی بخش‌های مربوط به توضیحات علمیش یا به زور می‌خوندم یا می‌پریدم، چون این بخش‌|2.5 它开始非常暴风雨，但逐渐缓慢地走向了。恐怕我要么被迫阅读，要么跳进关于他的科学解释的部分，因为这一部分|41|7|积极|塔吉克斯坦|GoodReads|2021-10-08
Hugely disappointed because I started this with great expectations. All those amazing five star reviews - I should have taken more notice of the one |非常失望，因为我一开始就抱有很大的期望。所有那些惊人的五星评价-我应该多注意一下|42|7|消极|马来西亚|GoodReads|2022-12-21
The Three-Body Problem is an inventive science fiction read that suffers, in my opinion, from some translation issues. None of the characters feel qu|《三体》是一部极具创意的科幻小说，但在我看来，它的翻译存在一些问题。没有一个人物让人觉得有趣|41|7|积极|澳大利亚|GoodReads|2019-09-19
Nota actual: 3,5/5 estrellasEl Problema de los Tres Cuerpos es un libro de extremos. Con esto quiero decir que no hay una parte que deje a medias. Su|目前评分:3.5 /5星《三体问题》是一本极端的书。我的意思是，任何部分都不能半途而行。他的|41|7|消极|西班牙|GoodReads|2016-10-27
Прочетох Трите тела от Лиу Цъсин, което за мен е постижение, тъй като научната фантастика е на светлинни години разстояние от литературната ми зона н|我读了刘慈星的《三体》，这对我来说是一项成就，因为科幻小说离我的文学区还有几光年之遥。|40|7|积极|保加利亚|GoodReads|2020-06-18
