content,translated,likes,workId,sentiment,country,platform,postTime
"I read the four-volume revised Kindle edition of this book, translated by Anthony C. Yu. The story is the fictive rendition of a journey made by a 7t","I read the four-volume revised Kindle edition of this book, translated by Anthony C. Yu. The story is the fictive rendition of a journey made by a 7t",26,1,消极,美国,Amazon,2013-9-19
"[The Journey to the West (西遊記) is so well-known a story in Chinese culture that I won't bother to review the story as such, but will focus on the tra","[The Journey to the West (西遊記) is so well-known a story in Chinese culture that I won't bother to review the story as such, but will focus on the tra",165,1,消极,美国,Amazon,2016-7-26
"One of the greatest characters of all time is Sun Wu Gong the monkey king. He's just the right amount of arrogant and noble, his wit and dogged attit","One of the greatest characters of all time is Sun Wu Gong the monkey king. He's just the right amount of arrogant and noble, his wit and dogged attit",12,1,中立,美国,Amazon,2021-8-28
"There are four widely-recognized classic Chinese novels. Seriously, do a web search for classic Chinese novels and you will find dozens of pages refe","There are four widely-recognized classic Chinese novels. Seriously, do a web search for classic Chinese novels and you will find dozens of pages refe",2,1,消极,美国,Amazon,2023-3-11
I am only halfway through this book and I love it. The story is so enticing that I don't want to put the book down. The introduction was very boring ,I am only halfway through this book and I love it. The story is so enticing that I don't want to put the book down. The introduction was very boring ,5,1,消极,美国,Amazon,2020-7-25
Book was perfect and arrived in good time. Just a but expensive as my child was responsible to buy it with her own hard earned money.,Book was perfect and arrived in good time. Just a but expensive as my child was responsible to buy it with her own hard earned money.,3,1,消极,美国,Amazon,2023-3-17
Immediately fell in love with this book and story and the poetry in between creates a beautiful rhythm making it a pleasure to read. I cannot put it ,Immediately fell in love with this book and story and the poetry in between creates a beautiful rhythm making it a pleasure to read. I cannot put it ,1,1,消极,美国,Amazon,2022-2-13
The book contains a lot of helpful footnotes explaining some of the lesser known cultural references.The story itself takes a lot of time to get goin,The book contains a lot of helpful footnotes explaining some of the lesser known cultural references.The story itself takes a lot of time to get goin,2,1,消极,美国,Amazon,2020-10-20
I bought this for myself after watching some interesting videos about the journey to the west. I am super excited to read it and learn more. My only ,I bought this for myself after watching some interesting videos about the journey to the west. I am super excited to read it and learn more. My only ,1,1,消极,美国,Amazon,2020-12-5
For anyone into Chinese culture and Eastern spirituality. This is a tale (which I believe is non-fiction like everything else including the leprechau,For anyone into Chinese culture and Eastern spirituality. This is a tale (which I believe is non-fiction like everything else including the leprechau,1,1,消极,美国,Amazon,2018-9-25
It's very good as a story but that's only once the story gets started. The intro is very long-winded but informative. Unfortunately it lasts the firs,It's very good as a story but that's only once the story gets started. The intro is very long-winded but informative. Unfortunately it lasts the firs,2,1,消极,美国,Amazon,2022-7-2
"The Journey to the West is a lengthy 16th century novel, regarded as one of the four great classics of Chinese literature. The author of the book is ","The Journey to the West is a lengthy 16th century novel, regarded as one of the four great classics of Chinese literature. The author of the book is ",33,1,消极,美国,Amazon,2017-9-9
The translation is generally excellent and the introduction and notes informative. Unfortunately the electronic presentation is inadequate given the ,The translation is generally excellent and the introduction and notes informative. Unfortunately the electronic presentation is inadequate given the ,4,1,消极,美国,Amazon,2022-3-28
"I've read Journey to the West, Yu's translation, every few years for the last decade or so now. It's wonderful, and improves with every reading. Ther","I've read Journey to the West, Yu's translation, every few years for the last decade or so now. It's wonderful, and improves with every reading. Ther",27,1,消极,美国,Amazon,2016-9-19
"This is a quite stilted professor's translation of a classic work of literature. I can't read the original, but since this was popular writing in its","This is a quite stilted professor's translation of a classic work of literature. I can't read the original, but since this was popular writing in its",4,1,消极,美国,Amazon,2017-9-28
"Very interesting story! The intro was as well, a bit long and academic, but educational. The book came in good condition, smelled a little like cigar","Very interesting story! The intro was as well, a bit long and academic, but educational. The book came in good condition, smelled a little like cigar",1,1,消极,美国,Amazon,2020-9-7
"Having read Waley's abridged edition Monkey, a good amount of these opening chapters were familiar. Nonetheless, Yu's translation reads differently e","Having read Waley's abridged edition Monkey, a good amount of these opening chapters were familiar. Nonetheless, Yu's translation reads differently e",4,1,消极,美国,Amazon,2013-5-30
We went to China this summer and visited the mountain where the monkey king has his office. Since we had never read the story we decided to purchase ,We went to China this summer and visited the mountain where the monkey king has his office. Since we had never read the story we decided to purchase ,5,1,消极,美国,Amazon,2019-8-9
Nothing,Nothing,0,1,中立,美国,Amazon,2021-10-13
