content,translated,likes,workId,sentiment,country,platform,postTime
很好看！！這部我刷了8遍雖然有很多笑點，但後面我哭爆,很好看！！這部我刷了8遍雖然有很多笑點，但後面我哭爆,4,10,积极,中国,Facebook,2022-08-29
這部電影真的好看去它的鳥命我命由我不由天… 展开,這部電影真的好看去它的鳥命我命由我不由天… 展开,3,10,积极,中国,Facebook,2022-10-31
他們竟然扛到了現在，不知道加上我頂不頂的住。這段話超帥,他們竟然扛到了現在，不知道加上我頂不頂的住。這段話超帥,2,10,消极,中国,Facebook,2022-09-05
我最记得申公豹的那句话 人心中的成见是一座大山，任你怎么努力都休想搬动,我最记得申公豹的那句话 人心中的成见是一座大山，任你怎么努力都休想搬动,2,10,积极,中国,Facebook,2022-08-29
是魔是仙，由我說了算！善本在自己的良知！,是魔是仙，由我說了算！善本在自己的良知！,0,10,积极,中国,Facebook,2022-08-29
这戏让人明白，父母对小孩的教育到底有多重要,这戏让人明白，父母对小孩的教育到底有多重要,5,10,积极,中国,Facebook,2022-08-29
現在動漫改版都好好看喔～,現在動漫改版都好好看喔～,3,10,积极,中国,Facebook,2022-09-05
超级成功的一部中国动画。。比很多外国的还好看很多。,超级成功的一部中国动画。。比很多外国的还好看很多。,0,10,积极,中国,Facebook,2022-08-29
希望继哪吒和姜子牙之后继续推出最后形成封神宇宙，很有意思的故事,希望继哪吒和姜子牙之后继续推出最后形成封神宇宙，很有意思的故事,0,10,积极,中国,Facebook,2022-09-05
是魔是仙 ，中國共產黨說了才算,是魔是仙 ，中國共產黨說了才算,2,10,积极,中国,Facebook,2022-10-17
我命由我不由天，是魔是仙我說了算,我命由我不由天，是魔是仙我說了算,2,10,积极,中国,Facebook,2022-09-05
真的非常好看的…我也看了很多遍了…後面也是哭到不行！,真的非常好看的…我也看了很多遍了…後面也是哭到不行！,1,10,积极,中国,Facebook,2022-09-05
背景音樂好好聽 歌名是什麼,背景音樂好好聽 歌名是什麼,5,10,积极,中国,Facebook,2022-09-05
經典台詞。現在聽到還會起雞皮疙瘩,經典台詞。現在聽到還會起雞皮疙瘩,5,10,消极,中国,Facebook,2022-09-05
怎麼看怎麼感人～好好看喔！百看不厭,怎麼看怎麼感人～好好看喔！百看不厭,4,10,积极,中国,Facebook,2022-09-05
這很好看 但我更想看後來敖丙跟哪吒的戰爭,這很好看 但我更想看後來敖丙跟哪吒的戰爭,5,10,积极,中国,Facebook,2023-01-09
非常好看,非常好看,5,10,积极,中国,Facebook,2022-09-05
好看,好看,4,10,积极,中国,Facebook,2022-10-31
那句话“我明由我不由天，是魔是仙，我自己说了算”真的非常热血听了整整4便越听越想哭,那句话“我明由我不由天，是魔是仙，我自己说了算”真的非常热血听了整整4便越听越想哭,1,10,积极,中国,Facebook,2022-09-05
要成為什麼樣的人.決定權在自己,要成為什麼樣的人.決定權在自己,2,10,消极,中国,Facebook,2022-09-05
我命由我不由天會看哭的電影,我命由我不由天會看哭的電影,4,10,消极,中国,Facebook,2022-08-29
好看,好看,4,10,积极,中国,Facebook,2022-09-05
好好看喔，後面會爆哭,好好看喔，後面會爆哭,3,10,消极,中国,Facebook,2022-08-29
好好看喔看到掉淚了,好好看喔看到掉淚了,2,10,消极,中国,Facebook,2022-09-05
真的很感動再看一次解說還是被感動了。好看。,真的很感動再看一次解說還是被感動了。好看。,2,10,积极,中国,Facebook,2022-09-05
張元再看一次還是感動到哭「去你個鳥命，我命由我不由天，是魔是仙我自己說了才算！！！」,張元再看一次還是感動到哭「去你個鳥命，我命由我不由天，是魔是仙我自己說了才算！！！」,0,10,积极,中国,Facebook,2022-09-05
