"content"|"translated"|"likes"|"workId"|"sentiment"|"country"|"platform"|"postTime"
" 哪吒之魔童降世  Ao Bing  敖丙NeZha"|" 哪咤之魔童降世  Ao Bing  敖丙NeZha"|"1493"|"19"|"积极"|"中国"|"Twitter"|"2019-12-19"|"Twitter"
"哪吒之魔童降世のなたとあおびんちゃん"|"哪咤之魔童降世之娜娜和小蓝瓶"|"75"|"19"|"积极"|"日本"|"Twitter"|"2021-07-23"|"Twitter"
"【哪吒之魔童降世】午休摸了个磕巴精#哪吒 #哪吒之魔童降世 #申公豹 #neza"|"【哪咤之魔童降世】午休摸了个磕巴精#哪咤 #哪咤之魔童降世 #申公豹 #neza"|"13"|"19"|"消极"|"中国"|"Twitter"|"2019-07-31"|"Twitter"
"中国でバカ売れしてる国産アニメ映画「哪吒之魔童降世」見てきた。これはすごい。東洋のディズニーはここにあったか、って感じ。映像美が素晴らしい。言葉じゃうまく伝わらないから実際に見てほしい。これはほんとすごい(語彙力)"|"看了在中国大卖的国产动画电影《哪咤之魔童降世》。这很厉害。东方的迪斯尼原来就在这里啊。画面美极了。因为语言无法很好地传达所以希望实际看。这真是太厉害了(词汇量)"|"758"|"19"|"积极"|"日本"|"Twitter"|"2019-07-28"|"Twitter"
"中国アニメ映画FA。『哪吒之魔童降世』『羅小黒戦記』『西遊記ヒーローイズバック』"|"中国动画电影FA。《哪咤之魔童降世》《罗小黑战记》《西游记英雄归来》"|"11"|"19"|"积极"|"日本"|"Twitter"|"2023-06-08"|"Twitter"
"반다이가 S.H.Figuarts 브랜드로 중국 오리지널 영화 상품을 전개哪吒之魔童降世 라고 나타를 다룬 2019년작 CG 애니메이션"|"班达伊以s.h. Figuarts品牌展开中国原创电影商品，展现了2019年的CG动画片"|"5"|"19"|"积极"|"韩国"|"Twitter"|"2020-07-15"|"Twitter"
"以前描いた『哪吒之魔童降世』のイラストです。"|"这是我以前画的《哪咤之魔童降世》的插图。"|"12"|"19"|"积极"|"日本"|"Twitter"|"2021-10-30"|"Twitter"
"今頃になって聴く中国語２月号。今回の中国大接近は中国語の親族呼称について。哪吒之魔童降世の大ヒットに合わせて哪吒特集。道教好きには貴重な記事。出版社に感謝。#聴く中国語#哪吒"|"现在才听到中文2月号。这次的中国大接近关于中文的亲属称呼。哪咤之魔童降世的大热配合哪咤特辑。对于道教爱好者来说，这是一篇珍贵的文章。感谢出版社。听中文#哪咤"""|"8"|"19"|"积极"|"日本"|"Twitter"|"2020-02-09"|"Twitter"
"#好きなアニメ10個あげると人柄がバレる見た人強制AKIRA機動警察パトレイバー the Movieドリフターズ吸血鬼すぐ死ぬゆるキャン天空の城ラピュタとんでもスキルで異世界放浪メシ羅小黒戦記呪術廻戦哪吒之魔童降世………人柄、わかりますかね"|"#给你最喜欢的10个动画就会暴露你的人品看过的人强制AKIRA机动警察the奇幻漂流:吸血鬼马上就死的天空之城天空之城用不得了的技能在异世界流浪罗小黑战记巫术轮回战哪咤之魔童降世……你了解他的人品吗"|"8"|"19"|"积极"|"日本"|"Twitter"|"2023-06-24"|"Twitter"
"Nezha(原題：哪吒之魔童降世)フォロワさんにおすすめしたくて書いたらくがき～。※Shipper(BL)要素注意～"|"Nezha(原题：哪咤之魔童降世)フォロワさんにおすすめしたくて书いたらくがき～。※Shipper(BL)要素注意～"|"55"|"19"|"消极"|"日本"|"Twitter"|"2021-03-07"|"Twitter"
"『羅小国戦記』の再上映も決まった事だし、是非『哪吒之魔童降世』『姜子牙』もお願いしますせめて配信を"|"『罗小国戦记』の再上映も决まった事だし、是非『哪咤之魔童降世』『姜子牙』もお愿いしますせめて配信を"|"13"|"19"|"积极"|"日本"|"Twitter"|"2020-10-13"|"Twitter"
"『哪吒之魔童降世 (2019)』動きの迫力最高文化に馴れ親しんでなくても楽しめるんじゃないかな質感がもっと独特なものになって来たら4年後Pixar超えているかもというぐらいの進化"|"《哪咤之魔童降世(2019)》动作的震撼力即使不熟悉最高文化也能享受到的质感如果变得更独特也许会超越四年后Pixar的进化"|"8"|"19"|"积极"|"日本"|"Twitter"|"2019-10-13"|"Twitter"
"戒め飾れてないリストポッパレの无限デカい无限蓝溪镇フィギュア3体哪吒之魔童降世の哪吒と敖丙POPMARTの20体くらいソフビブランドの15体くらい哪吒之魔童降世と江南百景图のねんどろ3体キューポスのDB2体おうちジオラマ4箱今月か来月に届く中華ミク無理では"|"诫命波巴莱的无限无限蓝溪镇人偶3尊哪咤之魔童降世的哪咤和敖丙POPMART的20尊哪咤之魔童降世的哪咤和江南百景图的哪咤3尊邱波斯的DB2体家立体模型4盒这个月或下个月寄到的中华未来不可能"|"0"|"19"|"积极"|"日本"|"Twitter"|"2023-06-13"|"Twitter"
"「東京・中国映画週間」、チケットが瞬殺となったのが「ナタ～魔童降臨～（哪吒之魔童降世）」。この夏の大ヒット作で、第92回のアカデミー賞出品作品となりました。神話を題材にしたストーリーはシンプルながら感動すること間違いなし。今回の上映は1度だけなので、一般公開を期待したいところです！"|"《哪咤之魔童降临》被秒杀。该片是今年夏天的热门影片，也是第92届奥斯卡金像奖的参赛作品。以神话为题材的故事虽然简单，但一定会让人感动。因为这次只上映一次，所以期待一般公开!"|"20"|"19"|"积极"|"日本"|"Twitter"|"2019-10-18"|"Twitter"
"哪吒之魔童降世，藕饼cp磕糖！！分享给大家 超喜欢他们呢！#藕饼 #哪吒#敖丙#哪咤之魔童降世"|"哪咤之魔童降世，藕饼cp磕糖！！分享给大家 超喜欢他们呢！#藕饼 #哪咤#敖丙#哪咤之魔童降世"|"59"|"19"|"消极"|"中国"|"Twitter"|"2019-07-29"|"Twitter"
"中国で特大ヒットしてる『哪吒之魔童降世』左が本気出すと右になるんだぜ"|"中国大热的《哪咤之魔童降世》左边认真起来就变成右边了"|"14"|"19"|"消极"|"日本"|"Twitter"|"2019-09-21"|"Twitter"
"北外のSICAナイトに…《哪吒之魔童降世》の敖丙の声優さんが来て、一番好きなシーンの所見れためっちゃいい声すぎた！！！#中国留学#中国生活"|"北外的SICA之夜…《哪咤之魔童降世》的敖丙的声优来了，最喜欢的场景的地方看到了超好听的声音! ! !#中国留学#中国生活"|"16"|"19"|"积极"|"日本"|"Twitter"|"2019-12-14"|"Twitter"
"28号去看了《哪吒之魔童降世》，非常好的一部动画，配音、动作、特效、人物塑造都超赞。中国动画史上的巨作！【敖丙超级帅，声音超好听】过两天打算二刷，一定要看哦！#哪吒之魔童降世 #哪吒#敖丙"|"28号去看了《哪咤之魔童降世》，非常好的一部动画，配音、动作、特效、人物塑造都超赞。中国动画史上的巨作！【敖丙超级帅，声音超好听】过两天打算二刷，一定要看哦！#哪咤之魔童降世 #哪咤#敖丙"|"8"|"19"|"积极"|"中国"|"Twitter"|"2019-08-02"|"Twitter"
"#水歌ななこ哪吒コレクション133哪吒之魔童降世フィギュア18×22×4.5cm（外箱）2019年に中国で大ヒットした映画「哪吒之魔童降世」のフィギュアです。日本未発売のバンダイ製。流石のバンダイクォリティで非の打ち所がない再現性です！メルカリで購入しました。#哪吒"|"#水歌鱼子哪咤系列133哪咤之魔童降世手办18×22×4.5cm(外盒)这是2019年在中国大热的电影《哪咤之魔童降世》的手办。日本未发售的万代产品。是流石的万代质量无懈可击的再现性!在mercari买的。#哪咤"|"13"|"19"|"积极"|"日本"|"Twitter"|"2021-10-05"|"Twitter"
"哪吒之魔童降世、キャラデザがめちゃくちゃ好みなんだよな……"|"哪咤之魔童降世，我特别喜欢这个角色啊……"|"10"|"19"|"积极"|"日本"|"Twitter"|"2019-12-29"|"Twitter"
