"content"|"translated"|"likes"|"workId"|"sentiment"|"country"|"platform"|"postTime"
"https://youtu.be/9nBU5J6WnwE for all who want to know why there are no updates"|"https://youtu.be/9nBU5J6WnwE为所有想知道为什么没有更新的人"|"1"|"5"|"消极"|"爱尔兰"|"Twitter"|"2023-07-21"|"Twitter"
"中国からも似たようなのが出てたっけこれも好き"|"中国也有类似的东西，我也喜欢。"|"0"|"5"|"积极"|"日本"|"Twitter"|"2023-07-22"|"Twitter"
"中文YouTube频道订阅数前50名是：办公室小野李子柒老高和小茉老E滇西小哥华农兄弟黑猫大叔陈翔六点半老番茄不咕剪辑老饭骨二仙桥老爸评测小约翰·尼尔森小翔哥美食猫叔小红帽王尼玛华农兄弟2张老汉阿木木徐大sao老番茄游戏小鹏汽车小白的玩具屋张老汉阿木木徐大sao(1-22)"|"中文YouTube频道订阅数前50名是：办公室小野李子柒老高和小茉老E滇西小哥华农兄弟黑猫大叔陈翔六点半老番茄不咕剪辑老饭骨二仙桥老爸评测小约翰·尼尔森小翔哥美食猫叔小红帽王尼玛华农兄弟2张老汉阿木木徐大sao老番茄游戏小鹏汽车小白的玩具屋张老汉阿木木徐大sao(1-22)"|"0"|"5"|"积极"|"中国"|"Twitter"|"2023-07-18"|"Twitter"
"李子柒、そろそろ復活して欲しいな〜。あくまで映像作品なので多かれ少なかれ演出はあるだろうけど、IP貸しで爆儲けしない所とかも含めて仙女的なブランディングにとても拘っていてそこがいいんだよね。"|"李子柒，差不多该复活了。毕竟是影像作品，多多少少也会有演出，不过，包括借IP爆赚的地方在内，仙女式的品牌化非常讲究，这一点很好。"|"0"|"5"|"积极"|"日本"|"Twitter"|"2023-07-23"|"Twitter"
"我发现只要是只能在海外赚中国人的钱，而又没能被CCP选为大外宣，那么海外的“精英华人”最终都会选择做YouTube。而针对墙外华人市场，要想能赚到足够多的钱，且必须体现出不劳而获的特质（李子柒那种视频费时难赚钱是万不能做的），最后都是迎合反共韭菜，编胡话做流量收割，这就是用户决定的视频智商。"|"我发现只要是只能在海外赚中国人的钱，而又没能被CCP选为大外宣，那么海外的“精英华人”最终都会选择做YouTube。而针对墙外华人市场，要想能赚到足够多的钱，且必须体现出不劳而获的特质（李子柒那种视频费时难赚钱是万不能做的），最后都是迎合反共韭菜，编胡话做流量收割，这就是用户决定的视频智商。"|"1"|"5"|"积极"|"中国"|"Twitter"|"2023-07-22"|"Twitter"
"王刚是油管最成功的中国形象宣传大使之一，另一个是李子柒。他们都是自己一个人弄的，没有专业团队来帮他们做文案 拍摄 剪辑 宣发 推广，但他们的仍然获得了上千万的粉丝关注。相比之下，我们的官方媒体却不知道在干什么，他们有拍出好视频所需的一切条件，但他们的作品往往成为传媒领域的反面教材"|"王刚是油管最成功的中国形象宣传大使之一，另一个是李子柒。他们都是自己一个人弄的，没有专业团队来帮他们做文案 拍摄 剪辑 宣发 推广，但他们的仍然获得了上千万的粉丝关注。相比之下，我们的官方媒体却不知道在干什么，他们有拍出好视频所需的一切条件，但他们的作品往往成为传媒领域的反面教材"|"9"|"5"|"积极"|"中国"|"Twitter"|"2023-07-21"|"Twitter"
""|"空文本"|"1"|"5"|"积极"|"马来西亚"|"Twitter"|"2023-07-19"|"Twitter"
"Milyon kat daha iyi bir fikir."|"一个想法好一百万倍。"|"0"|"5"|"积极"|"印度尼西亚"|"Twitter"|"2023-07-18"|"Twitter"
"i want to be rich enough to buy a plot of land in rural china and be my own 李子柒 （search on youtube if u dont know"|"我想变得足够富有，在中国农村买一块地，成为我自己的人柒(如果你不知道，可以在YouTube上搜索)"|"1"|"5"|"积极"|"爱尔兰"|"Twitter"|"2023-07-25"|"Twitter"
"以下是截至2023年7月18日，中国YouTube上观看次数最多的前25名作者：李子柒（134亿次）办公室小野（127亿次）老高和小茉（104亿次）老E（94亿次）滇西小哥（84亿次）华农兄弟（77亿次）黑猫大叔（67亿次）陈翔六点半（57亿次）老番茄（49亿次）不咕剪辑（44亿次）老饭骨（42亿"|"以下是截至2023年7月18日，中国YouTube上观看次数最多的前25名作者：李子柒（134亿次）办公室小野（127亿次）老高和小茉（104亿次）老E（94亿次）滇西小哥（84亿次）华农兄弟（77亿次）黑猫大叔（67亿次）陈翔六点半（57亿次）老番茄（49亿次）不咕剪辑（44亿次）老饭骨（42亿"|"0"|"5"|"积极"|"中国"|"Twitter"|"2023-07-18"|"Twitter"
""|"空文本"|"1"|"5"|"积极"|"加拿大"|"Twitter"|"2023-07-24"|"Twitter"
"ใครที่ยังไม่เคยดูช่องนี้ อยากชวนไปดูและกดติดตามกัน李子柒 Liziqihttps://youtube.com/@cnliziqi ของกินน่าอร่อย ภาพสวย เพลินมาก ชอบดูการถ่ายทำที่ปราณีตและตั"|"那些还没看过这个频道的人，他们想去看看，然后按下“youtube.com/@cnliziqi”的围观。我喜欢看精彩的拍摄。"|"39"|"5"|"积极"|"泰国"|"Twitter"|"2023-07-18"|"Twitter"
"看腐竹样子是李子柒吗"|"看腐竹样子是李子柒吗"|"0"|"5"|"积极"|"中国"|"Twitter"|"2023-07-26"|"Twitter"
