content|translated|likes|workId|sentiment|country|platform|postTime
这样的生活好惬意，真美好，四川的吗|这样的生活好惬意，真美好，四川的吗|119|5|积极|中国|Facebook|2020-07-27
她好厲害 好會做菜 又漂亮 做的菜好好吃喔|她好厉害 好会做菜 又漂亮 做的菜好好吃喔|3|5|积极|中国|Facebook|2020-07-27
Sungguh indah hidup di kampung dengan nuansa pedesaan ..salam saya dari indonesia|住在乡村里真好。来自印尼的问候|2|5|中立|印度尼西亚|Facebook|2023-07-27
現在這種女人比找隻恐龍還難....|现在这种女人比找只恐龙还难....|3|5|中立|中国|Facebook|2020-07-27
這戲太假：筍子都拔高出青了肯定纖維粗了 味道泛苦了 一般採筍都是選擇天未亮時採收|这戏太假：笋子都拔高出青了肯定纤维粗了 味道泛苦了 一般采笋都是选择天未亮时采收|5|5|消极|中国|Facebook|2020-07-27
只要出土的竹筍都很難吃...........|只要出土的竹笋都很难吃...........|4|5|消极|中国|Facebook|2020-07-27
山裡頭，每個都是大廚|山里头，每个都是大厨|1|5|积极|中国|Facebook|2020-07-27
Снято красиво.Но в каком состоянии руки и ноги при таком повседневном труде?|拍摄漂亮。但在这种日常工作中，手脚的状态如何呢?|5|5|积极|俄罗斯|Facebook|2023-07-27
Женщины- это герои всех времен! Всегда и везде они самотверженно несут все тяжести быта- без которого не может быть жизни на своих хрупких руках и пл|女人是有史以来的英雄!无论何时何地，他们都带着生活的重担，没有它，生命就不可能在他们脆弱的手中和广场上。|1|5|积极|俄罗斯|Facebook|2023-07-27
Living in a simple life yet full of love,respect and happiness. Everything she cooked are freshly picked in the garden. Utensils used are made from b|过着简单却充满爱、尊重和幸福的生活。她做的每样东西都是从花园里摘来的。使用的器皿是由b制成的|1|5|积极|加拿大|Facebook|2023-07-27
NiNi Win LattKyaw Kyaw Thein Htet|妮妮赢了|3|5|积极|加拿大|Facebook|2020-07-27
這位美女是住在人間仙境嗎？天然物資豐富加上一身的好手藝，真是難以想像她是什麼樣的奇女子，讓人好佩服又羨慕。|这位美女是住在人间仙境吗？天然物资丰富加上一身的好手艺，真是难以想像她是什么样的奇女子，让人好佩服又羨慕。|3|5|积极|中国|Facebook|2020-07-27
Awesome my daughter doesn't like to cook and few days ago she asked me what I was watching on YouTubeI told her I couldn't pronounce your name but sh|太棒了，我女儿不喜欢做饭，几天前她问我在youtube上看什么，我告诉她我不会念你的名字，但是嘘|5|5|积极|爱尔兰|Facebook|2023-07-27
Amo seus vídeos lugar maravilhoso, comidinhas coloridas parecem ótimas,gastaria de morar num lugar assim!!|我喜欢你的视频很棒的地方，五颜六色的食物看起来很棒，我愿意住在这样的地方!!|4|5|积极|葡萄牙|Facebook|2023-07-27
Mikan Suratemeekul|Mikan Suratemeekul|0|5|中立|荷兰|Facebook|2020-07-27
Every meals are prepared whole heartedly with passion & love|每一餐都是用心准备的，充满激情和爱|5|5|积极|新西兰|Facebook|2023-07-27
Yoonna Lim那个小河拿起来的竟然能吃 还很多青苔|Yoonna Lim那个小河拿起来的竟然能吃 还很多青苔|1|5|中立|中国|Facebook|2020-07-27
每道菜都讓人飢餓啊⋯⋯|每道菜都让人饥饿啊⋯⋯|1|5|中立|中国|Facebook|2020-07-27
Sele Cisneros mira las verdolagas|你可以独自一人成长|0|5|积极|西班牙|Facebook|2023-07-27
A man without dreams is nothing but a sardine. I aim to become a whale.|一个没有梦想的人只不过是一条沙丁鱼。我的目标是成为一条鲸鱼。|0|5|积极|新加坡|Facebook|2023-07-27
Cada vez me sorprendo más de lo lindo q cocinas y los ingredientes q utilizas hermoso|每次我都对厨房的可爱和你使用的漂亮的食材感到惊讶|5|5|积极|西班牙|Facebook|2023-07-27
Очень нравится смотреть.Полное еденение с природой,завораживает. Никакого пластика,все натуральное.Люблю быт и культуру Японии,есть чему учиться нам.|我真的很喜欢看。与自然共进晚餐，令人着迷。没有塑料，都是天然的。我喜欢日本的生活和文化，我们可以从中学到很多。|0|5|积极|俄罗斯|Facebook|2023-07-27
Я живу на Украине, у нас чудесная природа и национальная кухня. Но всегда с интересом и восхищением смотрю на работу, досуг и природу этой милой женщ|我住在乌克兰，我们有美丽的自然和国家美食。但我总是怀着兴趣和钦佩的心情看着这位可爱的女士的工作、休闲和本性。|0|5|积极|俄罗斯|Facebook|2023-07-27
หอยจุ้บก็มี โอ้ยเอาเค้าไปอยู่ด้วยเถอะนะ|我也有蛤蜊。|5|5|消极|泰国|Facebook|2023-07-27
Miw Nantawan|米乌南塔湾|2|5|中立|波兰|Facebook|2020-07-27
雖然我不清楚螺獅粉是什麼，這時候的麻竹筍，纖維質應該很粗吧！同為廚人，豪放不拘的料理方式，自家的天然食材，相信是每個廚人的渴望，看完後，思緒裡又有新菜的構思。|虽然我不清楚螺狮粉是什么，这时候的麻竹笋，纤维质应该很粗吧！同为厨人，豪放不拘的料理方式，自家的天然食材，相信是每个厨人的渴望，看完后，思绪里又有新菜的构思。|1|5|积极|中国|Facebook|2020-07-27
Que maravilla de comidas.. todo se ve muy rico|多么美味的食物啊。一切看起来都很丰富|3|5|积极|西班牙|Facebook|2023-07-27
Will you allow me to visit your house ? I really love your garden, and the way u liveI pray that one day I too I will get a house like your house..|你允许我去你家吗?我真的很喜欢你的花园和你的生活方式。我祈祷有一天我也能得到一所像你的房子一样的房子。|0|5|积极|美国|Facebook|2023-07-27
มีทุกอย่างในบ้านเลยอยากทานอะไรก็เดินเก็บรอบๆบ้านดูแล้วเหมือนครอบครัวชนบทไทยในสมัยก่อนนะคะ… 展开|ม ี ท ุ ก อ ย ่ า ง ใ น บ ้ า น เ ล ย อ ย า ก ท า น อ ะ ไ ร ก ็ เ ด ิ น เ ก ็ บ ร อ บ ๆ บ ้ า น ด ู แ ล ้ ว เ ห ม ื อ น ค ร อ บ ค ร ั ว ช น บ ท ไ ท ย ใ น ส ม ั ย ก ่ อ น น ะ ค ะ... unfold|3|5|消极|泰国|Facebook|2023-07-27
Love from myanmar|来自缅甸的爱|3|5|积极|爱尔兰|Facebook|2023-07-27
最喜歡聽奶奶哈哈大笑的聲音了子柒奶奶要一直這樣健康下去喔|最喜欢听奶奶哈哈大笑的声音了子柒奶奶要一直这样健康下去喔|4|5|积极|中国|Facebook|2020-07-27
แม่นางอาหมวยมาแล้ว เห็นหน่อไม้บ้านนางแล้วอยากกินแกงหน่อไม้แบบอีสานบ้านเฮา คือสิเป็นตาแซ่บ|中国小姐来了。看到她的芦笋，我想要一份伊甸园咖喱。|3|5|积极|泰国|Facebook|2023-07-27
i so enjoy your videos.. and seeing your grandma on the swing made me happy ..thank you for sharing again another video of your life there ..|我很喜欢你的视频…看到你奶奶在荡秋千，我很高兴……感谢你再次分享你在那里生活的另一个视频。|5|5|积极|马来西亚|Facebook|2023-07-27
Translation: Summer is the time to shoot bamboo shoots, I made some sour bamboo shoots. River snail rice noodle, Pig's barrel bone...Make it long eno|夏天是放笋的季节，我做了一些酸笋。螺蛳粉、猪桶骨……让它长一点|3|5|积极|英国|Facebook|2023-07-27
Trop envie d'apprendre à cuisiner ainsi...|太想学烹饪了……|0|5|积极|法国|Facebook|2023-07-27
Beau Panthapicha Karaya|Beau Panthapicha Karaya|0|5|中立|肯尼亚|Facebook|2020-07-27
Mai Huệ|Mai Huệ|0|5|中立|越南|Facebook|2020-07-27
Love your videos but I would love them more if they had subtitles in english I could understand more...|喜欢你的视频，但如果有英文字幕我会更喜欢，这样我就能看得更清楚了。|5|5|积极|新西兰|Facebook|2023-07-27
Có lẽ 1 ngày nào đó|也许有一天|3|5|中立|越南|Facebook|2023-07-27
เห็นแม่นางทำเมนูหน่อไม้แล้วอยากให้แม่นางมาลองกินแกงหน่อไม้ของอีสานจัง ถ้าข้าไปงมหอยนะ ข้าจะเอามาแกงกระทิอร่อยนะแม่นาง|我看到她在做芦笋，我想让她尝尝伊甸园的芦笋，如果我去找蛤蜊，我会带一些来。|4|5|中立|泰国|Facebook|2023-07-27
Ahmed Mazin صايره مدالحكلها هههه يوميا فديو|艾哈迈德·马辛·赛拉·马达勒·胡克拉哈·哈哈希亚·费达约|0|5|积极|坦桑尼亚|Facebook|2023-07-27
Wow that crunchy sound of fresh string beans and bamboo shoots yummyjust walking around barefoot pick up some snails for the soup later while I wash |哇，新鲜的四季豆和竹笋嘎吱嘎吱的声音太好吃了，光着脚走来走去，在我洗碗的时候捡了一些蜗牛做汤|4|5|消极|加拿大|Facebook|2023-07-27
Có những cái video minh thấy chả có cái mẹ rì ma sao vẫn cứ nhiều like với lượt xem ..Nhưng những video như này thi ko có rì để thắc mắc -vì mọi thứ |有一些视频显示没有鬼妈妈，但仍然有更多的点击量。但是像这样的视频没有任何意义。|1|5|积极|越南|Facebook|2023-07-27
Love from Washington DC!!! Can I come over for dinner!! I would be your helper cleaning the kitchen!!!|来自华盛顿的爱!!我能过来吃晚饭吗?我愿意帮你打扫厨房!!|2|5|中立|新加坡|Facebook|2023-07-27
Trang Phạm|页犯|4|5|中立|越南|Facebook|2020-07-27
台灣以前也是這樣現在完全失去那充滿生態資源的環境 了 看到妳的影片真是美好|台湾以前也是这样现在完全失去那充满生态资源的环境 了 看到妳的影片真是美好|5|5|积极|中国|Facebook|2020-07-27
Vorrei le ricette tradotte in italiano..o inglese|我想把食谱翻译成意大利语或英语|3|5|积极|瑞士|Facebook|2023-07-27
妳們那叫筍衣我們這叫筍蓉|妳们那叫笋衣我们这叫笋蓉|3|5|消极|中国|Facebook|2020-07-27
Another amazing video, I wish I lived in a place like that and could eat healthy, but sadly I'm stuck in a cramped apartment with no yard eating a tu|另一个很棒的视频，我希望我住在这样的地方，可以吃得健康，但遗憾的是我被困在一个狭窄的公寓里，没有院子吃东西|2|5|积极|牙买加|Facebook|2023-07-27
น่ากินมาก ถ้าตัวได้ลองแกงทิใส่หอยใส่ใบพลูทางใต้บ้านเรานะ บอกเลยว่าหรอยอย่างแรงนิตัว|听起来很好吃，如果你能在我们家的南面吃点加蛤蜊的咖喱酱，那就太棒了。|5|5|积极|泰国|Facebook|2023-07-27
She reminding me when I was child living with my grandparents. They had house, garden, Organic vegetables, and pets. At that time I don’t appreciate |她让我想起小时候和爷爷奶奶住在一起的时候。他们有房子、花园、有机蔬菜和宠物。那时候我不感激|69|5|积极|加拿大|Facebook|2023-07-27
很喜歡幽靜的田園風光還有很悅耳的背景音樂欣賞主角唾手可得… 展开|很喜欢幽静的田园风光还有很悦耳的背景音乐欣赏主角唾手可得… 展开|4|5|积极|中国|Facebook|2020-07-27
I love that they eat at the little table in the garden. And so much pumpkin! I had no idea you could make so much with just a couple of pumpkins. Als|我喜欢他们在花园里的小桌子上吃饭。还有这么多南瓜!我不知道几个南瓜就能做出这么多东西。肌萎缩性侧索硬化症|4|5|积极|牙买加|Facebook|2023-07-27
看你的视频很疗愈，除了因为那个烹饪的过程，还有的就是和婆婆的点点滴滴。对老人家而言，不是你把家里做得有多好，把花园种得有多美，还是煮得有多美味。而是，无价的陪伴，就算每一餐的粗茶淡饭都是天堂|看你的视频很疗愈，除了因为那个烹饪的过程，还有的就是和婆婆的点点滴滴。对老人家而言，不是你把家里做得有多好，把花园种得有多美，还是煮得有多美味。而是，无价的陪伴，就算每一餐的粗茶淡饭都是天堂|4|5|积极|中国|Facebook|2020-07-27
Love watching Grandmother with you... Keep her close...|喜欢和你一起看奶奶……让她靠近……|4|5|积极|马来西亚|Facebook|2023-07-27
cual es su nombre real???|你的真名是什么?|2|5|中立|西班牙|Facebook|2023-07-27
Очень интересно, прямо завораживает. Такое чувство, что девушка собирает плоды в райском саду. Конечно, понимаю какой это нелегкий труд. Спасибо за ф|非常有趣，非常迷人。感觉就像一个女孩在伊甸园里摘水果。当然，我知道这是一项多么艰巨的工作。谢谢你的f|2|5|积极|俄罗斯|Facebook|2023-07-27
遠離了田園故土 時時念故土啊 看你的影片生活點滴是我嚮往的 兒時盼著遠離農村 覺得農村苦 然而長大果真遠離了 在這燈紅酒綠的城市 默然發現兒時的農村只是身體勞累的苦 而嚮往的城市確是身心俱疲的。。。。。渴望和你一樣過著原始的生活 遠離塵囂 日出而作日落而息 有親人陪伴|远离了田园故土 时时念故土啊 看你的影片生活点滴是我向往的 儿时盼着远离农村 觉得农村苦 然而长大果真远离了 在这灯红酒绿的城市 默然发现儿时的农村只是身体劳累的苦 而向往的城市确是身心俱疲的。。。。。渴望和你一样过着原始的生活 远离尘嚣 日出而作日落而息 有亲人陪伴|0|5|积极|中国|Facebook|2020-07-27
子柒的南瓜料理，有留皮的，也有不留皮的。不知這是依料理方式不同決定留或不留，或是因有特殊需要才留皮？我雖然知道南瓜皮也有藥效，但一直不知如何把帶皮的南瓜做得好吃，不知子柒能否簡單說明一下您的經驗？|子柒的南瓜料理，有留皮的，也有不留皮的。不知这是依料理方式不同决定留或不留，或是因有特殊需要才留皮？我虽然知道南瓜皮也有药效，但一直不知如何把带皮的南瓜做得好吃，不知子柒能否简单说明一下您的经验？|5|5|消极|中国|Facebook|2020-07-27
ดูแล้วมีความว้าวและสงบสุข..ในทุกๆคลิป #พอเพียงเพียงพอ|在每一个片段中都有一种“哇”和“平静”的感觉。|3|5|积极|泰国|Facebook|2023-07-27
I need pumpkin soup today|我今天需要南瓜汤|1|5|积极|法国|Facebook|2023-07-27
Berbagai msakan dari labu..kelihatanx lezat sekaligadis yg lincah dan gesittidak pernah bosan mengikutix|南瓜馅很好吃，女孩也很活泼，格思特从不厌倦跟踪|5|5|积极|马来西亚|Facebook|2023-07-27
another wonderful video.. i look forward to them..they always calm me..great to see your lovely grandma in them..thank you for sharing alil of your w|又一个精彩的视频…我期待着它们，它们总是能让我平静下来，很高兴看到你可爱的奶奶在它们里面，谢谢你分享你的一切|3|5|积极|新加坡|Facebook|2023-07-27
每次看你的视频都很享受有疗愈的感觉让我对南瓜有了期望有了新的吃法|每次看你的视频都很享受有疗愈的感觉让我对南瓜有了期望有了新的吃法|1|5|积极|中国|Facebook|2020-07-27
Kelvin Dương|开尔文阳|2|5|中立|越南|Facebook|2020-07-27
Healthy fresh vegs/fruits she & grandma eat all the time. Awesome|她和奶奶总是吃健康新鲜的蔬菜/水果。太棒了|1|5|积极|美国|Facebook|2023-07-27
看您的分享，已经成为我生命中的一部分。金钱买不到的精神粮食|看您的分享，已经成为我生命中的一部分。金钱买不到的精神粮食|2|5|积极|中国|Facebook|2020-07-27
Correct translation:~ Same as last year, we've build a lovely pumpkin path garden. Have not have time to savour all these pumpkins. They have all gro|和去年一样，我们建了一个可爱的南瓜小径花园。我没有时间细细品味这些南瓜。他们都长大了|0|5|积极|爱尔兰|Facebook|2023-07-27
