content|translated|likes|workId|sentiment|country|platform|postTime
没个三五年是不会回来吧|没个三五年是不会回来吧|0|5|消极|中国|Youtube|2023-07-22
李子柒是世界上最佳的自媒体代表，她的选择是千千万万人的梦想，好地方好题材。让人们想入非非。|李子柒是世界上最佳的自媒体代表，她的选择是千千万万人的梦想，好地方好题材。让人们想入非非。|0|5|积极|中国|Youtube|2023-07-20
非常的棒你終於回來了！期待好久終於歸隊，我是台灣粉絲非常的欣賞每一個作品！都是現學習呈現成品！每一道食物都非常吸引我們李子柒再接再厲期待你的作品。|非常的棒你终于回来了！期待好久终于归队，我是台湾粉丝非常的欣赏每一个作品！都是现学习呈现成品！每一道食物都非常吸引我们李子柒再接再厉期待你的作品。|0|5|积极|中国|Youtube|2023-07-08
真好好再看她回歸PO影片...李子柒和蘇暢滿像的...|真好好再看她回归PO影片...李子柒和苏畅满像的...|0|5|积极|中国|Youtube|2023-06-14
我還是會等李子柒的回歸，因為別人模仿不出來她的風格的|我还是会等李子柒的回归，因为别人模仿不出来她的风格的|0|5|积极|中国|Youtube|2023-06-12
來台灣找我好嗎？一起努力來開業！ㄢ|来台湾找我好吗？一起努力来开业！ㄢ|1|5|积极|中国|Youtube|2023-06-01
何時會更新？|何时会更新？|0|5|消极|中国|Youtube|2023-05-15
每一条视频都是花了心思和长时间录制，这个不容易模仿。期待回归|每一条视频都是花了心思和长时间录制，这个不容易模仿。期待回归|5|5|积极|中国|Youtube|2023-05-13
以她的力量是干不过资本的，背后有政治大佬撑腰了应该，要不然够呛让对方让步的。|以她的力量是干不过资本的，背后有政治大佬撑腰了应该，要不然够呛让对方让步的。|1|5|积极|中国|Youtube|2023-05-11
期待李子柒回歸|期待李子柒回归|2|5|积极|中国|Youtube|2023-04-30
就說他是靠背後團隊的操作.很多人還不相信說他是真紅.既然他那麼紅跟經紀公司鬧翻了他可以自己出去作阿.怎可能就消失.很多YT的主播也跟經紀公司鬧翻不是照作也很紅不會說跟經濟公獅鬧翻就消失..他要多少都嘛日背後的操作甚至可以1兆的點閱率.要多少都可以.|就说他是靠背后团队的操作.很多人还不相信说他是真红.既然他那么红跟经纪公司闹翻了他可以自己出去作阿.怎可能就消失.很多YT的主播也跟经纪公司闹翻不是照作也很红不会说跟经济公狮闹翻就消失..他要多少都嘛日背后的操作甚至可以1兆的点阅率.要多少都可以.|1|5|积极|中国|Youtube|2023-04-26
原來海外平台就是YouTube |原来海外平台就是YouTube |0|5|积极|中国|Youtube|2023-04-11
結論不同意。他的回歸是眾所盼望的，她是個天后，她要打了個噴涕，世界都發抖了|结论不同意。他的回归是众所盼望的，她是个天后，她要打了个喷涕，世界都发抖了|2|5|积极|中国|Youtube|2023-04-11
看好她的回归，更期待高品质作品出现，不担心被类似或抄袭，唯有更优质的真实内容可以震撼人心、传播长久！|看好她的回归，更期待高品质作品出现，不担心被类似或抄袭，唯有更优质的真实内容可以震撼人心、传播长久！|9|5|积极|中国|Youtube|2023-04-05
商業氣息太濃，做作|商业气息太浓，做作|0|5|中立|中国|Youtube|2023-03-27
我等待李子柒回歸|我等待李子柒回归|2|5|积极|中国|Youtube|2023-03-14
加油|加油|0|5|积极|中国|Youtube|2023-03-14
人是漂亮 可是 不實在 騙 流量 看了很多之前的視頻 全是假的 只顧自己賺錢 天下 有哪一位 穿得這麼漂亮的衣服 下田耕作 海僱用兩個攝影師拍視頻 好笑什麼東西 騙 騙 騙|人是漂亮 可是 不实在 骗 流量 看了很多之前的视频 全是假的 只顾自己赚钱 天下 有哪一位 穿得这么漂亮的衣服 下田耕作 海僱用两个摄影师拍视频 好笑什么东西 骗 骗 骗|0|5|消极|中国|Youtube|2023-03-09
假的人設大家都喜歡。演員不一定有作品的所有權，這視頻是有點搞笑。|假的人设大家都喜欢。演员不一定有作品的所有权，这视频是有点搞笑。|0|5|积极|中国|Youtube|2023-03-08
吃人不吐骨頭…圖謀圖利…拉著屎…演著戲…新聞台…老子土特產…請你＋妳們全部…享受接導彈…地雷…榮華富貴與財富慘死！…|吃人不吐骨头…图谋图利…拉着屎…演着戏…新闻台…老子土特产…请你＋妳们全部…享受接导弹…地雷…荣华富贵与财富惨死！…|1|5|积极|中国|Youtube|2023-03-08
Welcome back, stay safe healthy and happily |欢迎回来，平安、健康、快乐|1|5|积极|新加坡|Youtube|2023-03-03
只要用心做，喜欢你的人会一直支持你的！加油！|只要用心做，喜欢你的人会一直支持你的！加油！|6|5|积极|中国|Youtube|2023-03-02
有些好難抄,要浸時間.創意這麼容易抄就不會達到那個訂閱數|有些好难抄,要浸时间.创意这么容易抄就不会达到那个订阅数|1|5|积极|中国|Youtube|2023-02-26
她做的是国宝级的艺术美食。博主|她做的是国宝级的艺术美食。博主|8|5|积极|中国|Youtube|2023-02-24
期待妳早日歸來|期待妳早日归来|5|5|积极|中国|Youtube|2023-02-23
李子柒和鎮西小哥都是非常用心和努力的女士.我們都非常喜歡和感謝他們倆給我們訊息各有不同的意境.他們的取材給觀眾是不同的感受.希望小編不要 挑撥是非.拜託拜託請口下留情|李子柒和镇西小哥都是非常用心和努力的女士.我们都非常喜欢和感谢他们俩给我们讯息各有不同的意境.他们的取材给观众是不同的感受.希望小编不要 挑拨是非.拜讬拜讬请口下留情|11|5|积极|中国|Youtube|2023-02-20
她还是别回来了，继续和资本周旋吧，支持湘西小哥|她还是别回来了，继续和资本周旋吧，支持湘西小哥|2|5|积极|中国|Youtube|2023-02-19
這又是蹭的？|这又是蹭的？|0|5|中立|中国|Youtube|2023-02-17
轉夠了|转够了|0|5|积极|中国|Youtube|2023-02-15
其他我都覺得仿真而已，重點我要的是李子柒|其他我都觉得仿真而已，重点我要的是李子柒|4|5|消极|中国|Youtube|2023-02-03
只要是劉同明的一切產品我不會再買，之前買李子柒周邊商品味道很一般，買也只因為是李佳佳，就算李子柒頻道没了，我也會重新粉她的頻道。|只要是刘同明的一切产品我不会再买，之前买李子柒周边商品味道很一般，买也只因为是李佳佳，就算李子柒频道没了，我也会重新粉她的频道。|8|5|消极|中国|Youtube|2023-01-30
我沒搞懂，李子柒在微念有49%的股份，為什麼分成會很低。簽的是什麼鬼不平等合約呀！|我没搞懂，李子柒在微念有49%的股份，为什么分成会很低。签的是什么鬼不平等合约呀！|2|5|消极|中国|Youtube|2023-01-28
其實她是很堅強的女生~~很多事情都是她努力學習的~~~最早就關注過她~~~好好過生活吧~~別忘了自己為何回家鄉~~~~|其实她是很坚强的女生~~很多事情都是她努力学习的~~~最早就关注过她~~~好好过生活吧~~别忘了自己为何回家乡~~~~|16|5|积极|中国|Youtube|2023-01-27
期待她赶快回归|期待她赶快回归|12|5|积极|中国|Youtube|2023-01-25
快點回來吧。我們都等得不耐煩了。|快点回来吧。我们都等得不耐烦了。|5|5|消极|中国|Youtube|2023-01-24
李子柒個人特質是無可替代..網黑要失望了|李子柒个人特质是无可替代..网黑要失望了|10|5|积极|中国|Youtube|2023-01-23
由于整件事的前前后后我不很清楚，但个人认为，李子七和资本合作为前，订阅量不可能超越CNN，以李子七之力，也不可能制作如此精美的视频。现在她想甩掉原来的资本，有忘恩负义之感。若她再出视频，订阅应从零开始，而不能用回原来的订阅数据。|由于整件事的前前后后我不很清楚，但个人认为，李子七和资本合作为前，订阅量不可能超越CNN，以李子七之力，也不可能制作如此精美的视频。现在她想甩掉原来的资本，有忘恩负义之感。若她再出视频，订阅应从零开始，而不能用回原来的订阅数据。|6|5|积极|中国|Youtube|2023-01-20
得罪了包子呗|得罪了包子呗|1|5|消极|中国|Youtube|2023-01-18
期待……………|Expect ……………|1|5|中立|印度|Youtube|2023-01-14
一直在等她|一直在等她|6|5|中立|中国|Youtube|2023-01-08
没有平台，她什么都不是 其实对于任何一个人都是如此！|没有平台，她什么都不是 其实对于任何一个人都是如此！|3|5|中立|中国|Youtube|2023-01-07
Confucius says, seek wealth but do it in the ethical way.liutongmin the thief, will b asking himself for a life time , y o y , didn't I return her th|孔子说，追求财富，但要有道德。柳通民这个贼，会问自己一辈子，咦咦，我没还她吗|2|5|积极|牙买加|Youtube|2023-01-06
What is the relevant to talk shit about whether she could could b no.1 ? Have u even ask her about it ?When  A n B fight, if A wins that clearly men'|说她能不能不能有什么关系呢?1 ？ 你问过她吗?当A和B打架时，如果A赢了，那显然是男人。|0|5|消极|马来西亚|Youtube|2023-01-06
資本與人民為敵！高層出手，微念才徹底服軟。|资本与人民为敌！高层出手，微念才彻底服软。|10|5|积极|中国|Youtube|2023-01-04
真髙興 ！李子柒回來了  ，期待能快點看新視頻 。|真髙兴 ！李子柒回来了  ，期待能快点看新视频 。|22|5|积极|中国|Youtube|2023-01-03
真金不怕火炼|真金不怕火炼|4|5|中立|中国|Youtube|2023-01-03
股权是那么好拿的？。。。99%过剩股权对公司控制权毫无意义，徒增费用和责任。|股权是那么好拿的？。。。99%过剩股权对公司控制权毫无意义，徒增费用和责任。|3|5|中立|中国|Youtube|2023-01-01
一這看一邊一直忍不住笑，真的太好笑太無語了，鏡頭都一樣|一这看一边一直忍不住笑，真的太好笑太无语了，镜头都一样|1|5|消极|中国|Youtube|2022-04-19
不是我那啥，东南亚人的长相真的是就是一言难尽|不是我那啥，东南亚人的长相真的是就是一言难尽|0|5|积极|中国|Youtube|2022-03-24
盜賊創作者冒充假名李子柒×李亞鵬×王菲罵別人盜賊……|盗贼创作者冒充假名李子柒×李亚鹏×王菲骂别人盗贼……|0|5|积极|中国|Youtube|2021-11-18
这是我老婆|这是我老婆|0|5|积极|中国|Youtube|2021-09-23
她们跟不上中国小姐姐拍的好榉有中国美景色世外挑园也有古代风味|她们跟不上中国小姐姐拍的好榉有中国美景色世外挑园也有古代风味|0|5|积极|中国|Youtube|2021-07-16
沃得天，真的是完全復刻，可是沒用啊，外表可以模仿，靈魂模仿不了|沃得天，真的是完全复刻，可是没用啊，外表可以模仿，灵魂模仿不了|0|5|积极|中国|Youtube|2021-07-03
再怎樣模仿也沒用，子柒骨子裡的堅強和孝順，還有自己本身的氣質……是模仿不來的，超越不了的，一時的熱度能持續多久？只能是東施效顰，得不償失。|再怎样模仿也没用，子柒骨子里的坚强和孝顺，还有自己本身的气质……是模仿不来的，超越不了的，一时的热度能持续多久？只能是东施效颦，得不偿失。|1|5|积极|中国|Youtube|2021-07-02
一看就是山寨版的 細膩度與美感 還是有很大落差的 真金不怕火煉啊 其實也不用維權啦 大海能納百川 更可看出高度與格局的!!|一看就是山寨版的 细腻度与美感 还是有很大落差的 真金不怕火炼啊 其实也不用维权啦 大海能纳百川 更可看出高度与格局的!!|1|5|积极|中国|Youtube|2021-06-27
沒那個氣質不要學，東施效顰，李子柒是獨一無二的~~|没那个气质不要学，东施效颦，李子柒是独一无二的~~|1|5|积极|中国|Youtube|2021-06-26
只有名字是她自己的，镜头服装发型没有一样是她的专利。并不侵权。|只有名字是她自己的，镜头服装发型没有一样是她的专利。并不侵权。|1|5|消极|中国|Youtube|2021-06-22
氣質是模仿不了, 一個是仙氣, 一個土來土氣|气质是模仿不了, 一个是仙气, 一个土来土气|1|5|消极|中国|Youtube|2021-06-21
不是那個人要仿、是太多金主在動腦筋...|不是那个人要仿、是太多金主在动脑筋...|1|5|积极|中国|Youtube|2021-06-20
又沒法律規定不能拍 一堆智能不足的 在那哭|又没法律规定不能拍 一堆智能不足的 在那哭|1|5|积极|中国|Youtube|2021-06-19
这模仿的简直一模一样啊……是有多无聊！|这模仿的简直一模一样啊……是有多无聊！|2|5|消极|中国|Youtube|2021-06-15
仿的終究贏不了原版的魔力|仿的终究赢不了原版的魔力|0|5|积极|中国|Youtube|2021-06-14
這麼多相似的，還是子柒的看起來最舒服最習慣~|这么多相似的，还是子柒的看起来最舒服最习惯~|2|5|积极|中国|Youtube|2021-06-14
中國人還講模仿?? 中國不是盜版大國嗎?? 本來就抄來抄去的|中国人还讲模仿?? 中国不是盗版大国吗?? 本来就抄来抄去的|1|5|消极|中国|Youtube|2021-06-14
