content|translated|likes|workId|sentiment|country|platform|postTime
苏大学士怎会举荐高俅这位小人呢？怪哉|苏大学士怎会举荐高俅这位小人呢？怪哉|0|17|积极|中国|Youtube|2023-07-13
I love this movie|我喜欢这部电影|0|17|积极|新西兰|Youtube|2023-06-09
不懂 林冲被招安后 多了很多进京机会 以自己名义就可以杀死高球了|不懂 林冲被招安后 多了很多进京机会 以自己名义就可以杀死高球了|0|17|积极|中国|Youtube|2023-06-29
二师兄,等你更新等的好辛苦.|二师兄,等你更新等的好辛苦.|1|17|中立|中国|Youtube|2023-06-25
四大名著里，最不喜欢的就是小江，一整天的要招安，天下英雄，为使君于曹耳，宋江，我必擒之，就算是宝玉也比小江看的清楚，国贼禄鬼，宁愿出家也不考功名|四大名着里，最不喜欢的就是小江，一整天的要招安，天下英雄，为使君于曹耳，宋江，我必擒之，就算是宝玉也比小江看的清楚，国贼禄鬼，宁愿出家也不考功名|0|17|积极|中国|Youtube|2023-06-24
水滸傳看到最後真的很憋屈。明明能殺了高俅，卻不讓人殺，還間接害死了兄弟。宋江真的可恨|水浒传看到最后真的很憋屈。明明能杀了高俅，却不让人杀，还间接害死了兄弟。宋江真的可恨|3|17|积极|中国|Youtube|2023-06-23
解说的真好|解说的真好|1|17|积极|中国|Youtube|2023-06-23
何成爺爺不虧 後來投胎到台灣賣馬桶 賺爆了|何成爷爷不亏 后来投胎到台湾卖马桶 赚爆了|0|17|积极|中国|Youtube|2023-06-23
二棉裤讲的太好了，激发了我的兴趣，最近也重新看了水浒原著，也做了几期水浒原型真实历史的影片，自己也学习了很多|二棉裤讲的太好了，激发了我的兴趣，最近也重新看了水浒原着，也做了几期水浒原型真实历史的影片，自己也学习了很多|1|17|积极|中国|Youtube|2023-06-23
棉褲大大 確定陛下耳軟？|棉裤大大 确定陛下耳软？|0|17|消极|中国|Youtube|2023-06-23
能不能每天更新|能不能每天更新|1|17|消极|中国|Youtube|2023-06-23
大局只是宋江自己的大局，噁心|大局只是宋江自己的大局，恶心|0|17|消极|中国|Youtube|2023-06-23
电视剧这个改编林冲真的理性很多了。书里的其实很多人后期，自己的故事完了之后全部做了没有感情，没有性格的工具人|电视剧这个改编林冲真的理性很多了。书里的其实很多人后期，自己的故事完了之后全部做了没有感情，没有性格的工具人|0|17|积极|中国|Youtube|2023-06-23
吴用说了句明白话|吴用说了句明白话|4|17|中立|中国|Youtube|2023-06-23
接著奏樂，接著舞|接着奏乐，接着舞|0|17|积极|中国|Youtube|2023-06-23
拖更王|拖更王|4|17|积极|中国|Youtube|2023-06-23
三国比这说的话|三国比这说的话|0|17|中立|中国|Youtube|2023-07-23
我也就只听了十几遍而已|我也就只听了十几遍而已|0|17|积极|中国|Youtube|2023-07-21
评得太好了，尤其对潘金莲的评说合情合理，很赞！|评得太好了，尤其对潘金莲的评说合情合理，很赞！|0|17|积极|中国|Youtube|2023-07-19
毛就没有投降，，开创了中华人民共和国，屠杀一大批人，，造成无尽的伤亡|毛就没有投降，，开创了中华人民共和国，屠杀一大批人，，造成无尽的伤亡|0|17|积极|中国|Youtube|2023-07-11
24:48|24:48|0|17|中立|马来西亚|Youtube|2023-07-11
作者分析了诏安的深层原因。在当朝腐败，官逼民反和农民起义的大背景下，出现了一群社会成分复杂人物聚集梁伯山，打着替天行道旗帜劫富济贫，最终却以被朝廷诏安为结局，读过常为此惋惜不是以推翻朝廷为目的的农民起义。然而就其误入强盗之途的宋押司及一些人期望功名青史始终有正途归宿的愿望，说明自古儒家思想根深蒂固|作者分析了诏安的深层原因。在当朝腐败，官逼民反和农民起义的大背景下，出现了一群社会成分复杂人物聚集梁伯山，打着替天行道旗帜劫富济贫，最终却以被朝廷诏安为结局，读过常为此惋惜不是以推翻朝廷为目的的农民起义。然而就其误入强盗之途的宋押司及一些人期望功名青史始终有正途归宿的愿望，说明自古儒家思想根深蒂固|0|17|积极|中国|Youtube|2023-07-10
有無虞有 趣的 說書人  好像在打屁。|有无虞有 趣的 说书人  好像在打屁。|0|17|消极|中国|Youtube|2023-07-10
命运多舛，不是喘 不是我挑剔 可是准备花一个半小时听文学评论 上来2分组就“喘” 让听者情何以堪啊|命运多舛，不是喘 不是我挑剔 可是准备花一个半小时听文学评论 上来2分组就“喘” 让听者情何以堪啊|0|17|积极|中国|Youtube|2023-07-08
廢話一堆|废话一堆|0|17|消极|中国|Youtube|2023-07-06
讲述员京.腔正流。捧！可是老先生你说了半天，作者施耐庵写该本的目的和宗旨是什么？你不敢讲。我替你说吧，象高俅这个流氓无赖，就会踢个球，就当上帅太府太尉，相當今天国防部长，这大宋能不衰败？|讲述员京.腔正流。捧！可是老先生你说了半天，作者施耐庵写该本的目的和宗旨是什么？你不敢讲。我替你说吧，象高俅这个流氓无赖，就会踢个球，就当上帅太府太尉，相当今天国防部长，这大宋能不衰败？|0|17|消极|中国|Youtube|2023-06-25
水泊梁山当然是农民起义，因真正的力量是众多的兵勇，他们绝大多数是农民，不能以108个首领的出身来否定这一点。就像共产主义运动的高级领导人大多是有文化并出身富裕，但它是代表工人和农民(特别是中国)的无产阶级革命，中西方没有人有异议。|水泊梁山当然是农民起义，因真正的力量是众多的兵勇，他们绝大多数是农民，不能以108个首领的出身来否定这一点。就像共产主义运动的高级领导人大多是有文化并出身富裕，但它是代表工人和农民(特别是中国)的无产阶级革命，中西方没有人有异议。|1|17|积极|中国|Youtube|2023-06-07
/|/|0|17|中立|英国|Youtube|2023-06-02
好|好|0|17|积极|中国|Youtube|2023-05-31
中国社会就是体制内的反体制。|中国社会就是体制内的反体制。|0|17|积极|中国|Youtube|2023-05-30
中国依然一人犯罪影响后代，不可以当公务员，不可入党。我想问我们现在的制度是共产还是封建帝制。|中国依然一人犯罪影响后代，不可以当公务员，不可入党。我想问我们现在的制度是共产还是封建帝制。|0|17|积极|中国|Youtube|2023-05-30
解读的真好点赞|解读的真好点赞|2|17|积极|中国|Youtube|2023-05-25
"这个解说的人并不客观、严谨，而且油腔滑调，很喜欢只说偏话，喜欢嘲讽别人，其实是看问题片面。在施耐庵为扈三娘并不喜欢祝家这件事上铺垫了很多但解说只字未提，她都不同意结婚，全程被迫，而解说只会一个劲说她是未婚夫。当然，扈三娘的选择很有问题，但你说话很不客观，很故意偏颇。这种情况还有几个地方。全篇你说"|"这个解说的人并不客观、严谨，而且油腔滑调，很喜欢只说偏话，喜欢嘲讽别人，其实是看问题片面。在施耐庵为扈三娘并不喜欢祝家这件事上铺垫了很多但解说只字未提，她都不同意结婚，全程被迫，而解说只会一个劲说她是未婚夫。当然，扈三娘的选择很有问题，但你说话很不客观，很故意偏颇。这种情况还有几个地方。全篇你说"|0|17|中立|中国|Youtube|2023-05-24
文化糟粕|文化糟粕|0|17|中立|中国|Youtube|2023-05-24
【宋江是为了自己封官鬻爵才招安的吗？为了自己他后来自杀？显然是觉得没办好这件事才自杀的。他是为了兄弟们包括带着家眷们的未来着想！】你看这么久水浒看的是个屎呀？还解读。宋江可以为了梁山的兄弟们去死的人，他是为了自己封官鬻爵？即便以李逵的角度也没认为宋江是为自己。你自以为解读幽默，其实是不精准，故意为|【宋江是为了自己封官鬻爵才招安的吗？为了自己他后来自杀？显然是觉得没办好这件事才自杀的。他是为了兄弟们包括带着家眷们的未来着想！】你看这么久水浒看的是个屎呀？还解读。宋江可以为了梁山的兄弟们去死的人，他是为了自己封官鬻爵？即便以李逵的角度也没认为宋江是为自己。你自以为解读幽默，其实是不精准，故意为|0|17|积极|中国|Youtube|2023-05-16
水浒传的原版是梁山推翻了大宋王朝好吧。、。只不过当时被批判为妥妥的禁书。施耐庵是水浒传的修改者而并非原著。所以才修改了故事的后半段改为招安。什么社会尊重光宗耀祖都是扯淡。成王败寇，我当了皇帝谁TM还敢说我是草寇？这些理由不过是为了让招安这个牵强且蹩脚的结尾变得勉强通顺罢了。|水浒传的原版是梁山推翻了大宋王朝好吧。、。只不过当时被批判为妥妥的禁书。施耐庵是水浒传的修改者而并非原着。所以才修改了故事的后半段改为招安。什么社会尊重光宗耀祖都是扯淡。成王败寇，我当了皇帝谁TM还敢说我是草寇？这些理由不过是为了让招安这个牵强且蹩脚的结尾变得勉强通顺罢了。|0|17|积极|中国|Youtube|2023-05-12
字幕錯字一堆]|字幕错字一堆]|0|17|消极|中国|Youtube|2023-05-09
求评论者是谁？|求评论者是谁？|0|17|中立|中国|Youtube|2023-05-07
老以外了，除了宋江，剩下其他的都死绝了，。|老以外了，除了宋江，剩下其他的都死绝了，。|0|17|积极|中国|Youtube|2023-05-06
您好，再墙内再哪个平台播放呢？|您好，再墙内再哪个平台播放呢？|0|17|消极|中国|Youtube|2023-05-05
宋江也洗不白啊，不仅当时的朝代洗不白，而且换朝代后还会落下骂名。最多只能说明他的求生欲很强，为了保命，踩着兄弟们的尸骨活下去。|宋江也洗不白啊，不仅当时的朝代洗不白，而且换朝代后还会落下骂名。最多只能说明他的求生欲很强，为了保命，踩着兄弟们的尸骨活下去。|0|17|积极|中国|Youtube|2023-05-04
百度了燕青没那么胖吧！|百度了燕青没那么胖吧！|0|17|消极|中国|Youtube|2023-05-04
声音好听、风趣又清晰！真棒|声音好听、风趣又清晰！真棒|1|17|中立|中国|Youtube|2023-05-04
水浒里的所谓英雄，绝大多数都是些杀人如麻的货|水浒里的所谓英雄，绝大多数都是些杀人如麻的货|0|17|积极|中国|Youtube|2023-05-02
大赞|大赞|0|17|积极|中国|Youtube|2023-05-02
有没有可能几百年前编剧情比较粗糙，造成了逻辑不通。|有没有可能几百年前编剧情比较粗糙，造成了逻辑不通。|0|17|消极|中国|Youtube|2023-05-01
潘金莲确实命苦|潘金莲确实命苦|0|17|积极|中国|Youtube|2023-05-01
差点儿以为打开的不是Youtube上的节目，这个思路应该上百家讲坛啊～ 在youtube上可惜了。|差点儿以为打开的不是Youtube上的节目，这个思路应该上百家讲坛啊～ 在youtube上可惜了。|1|17|消极|中国|Youtube|2023-04-30
水浒，西游，封神，这三部开篇已经点明了全书。善恶一念间，命由天注定。活一世，要么潇洒，要么有追求，但最终逃不过命。这个命就是天注定。水浒的36天罡，72地煞，结局也是归位。封神的360正神也要归位。西游历经磨难结局也是归位。放现在就是干部下基层，锻炼完了再各就各位，就是一个考核，但考不好完成不了指|水浒，西游，封神，这三部开篇已经点明了全书。善恶一念间，命由天注定。活一世，要么潇洒，要么有追求，但最终逃不过命。这个命就是天注定。水浒的36天罡，72地煞，结局也是归位。封神的360正神也要归位。西游历经磨难结局也是归位。放现在就是干部下基层，锻炼完了再各就各位，就是一个考核，但考不好完成不了指|0|17|积极|中国|Youtube|2023-04-30
扈三娘那是有阶级爱阶级恨。|扈三娘那是有阶级爱阶级恨。|0|17|积极|中国|Youtube|2023-04-30
