content|translated|likes|workId|sentiment|country|platform|postTime
李逵的爱情 文/碎岁 电视剧《水浒传》中李逵的爱情，是我见过的最美的爱情之一。 故事始于泰安打擂，燕青李逵二人，在客栈与方腊手下庞万春兄妹相遇，心粗眼拙的李逵开始未认出庞秋霞女扮男装，只说，这位兄弟好秀气。打擂时庞露出真身，李逵恍然。再看庞秋霞，面如春花，目似...  |李逵的爱情 文/碎岁 电视剧《水浒传》中李逵的爱情，是我见过的最美的爱情之一。 故事始于泰安打擂，燕青李逵二人，在客栈与方腊手下庞万春兄妹相遇，心粗眼拙的李逵开始未认出庞秋霞女扮男装，只说，这位兄弟好秀气。打擂时庞露出真身，李逵恍然。再看庞秋霞，面如春花，目似...  |900|17|积极|中国|豆瓣|2009-05-10
央视98版《水浒传》好在哪里？ ——超出“投降”与“招安”的视界 原作者：市隐侠兽 十年前，小说《水浒传》是少年的我一部“圣经”，是四大名著当时给我印象最好的一部；十年后，央视43集电视连续剧《水浒传》在我平淡的生活中滴进一滴烈酒，使我找回成年时不再有的豪迈和...  |央视98版《水浒传》好在哪里？ ——超出“投降”与“招安”的视界 原作者：市隐侠兽 十年前，小说《水浒传》是少年的我一部“圣经”，是四大名著当时给我印象最好的一部；十年后，央视43集电视连续剧《水浒传》在我平淡的生活中滴进一滴烈酒，使我找回成年时不再有的豪迈和...  |439|17|积极|中国|豆瓣|2008-04-03
俺来总结央视版《水浒传》对原著的修改。该剧集有列传风格，大致可以分为九个段落，拣要紧的说。 第1—4集 鲁达传 1、开篇砍掉“张天师祈禳瘟疫”，径直写高俅发迹，决定了本剧的现实主义风格。后面同样砍掉了罗真人、公孙胜、高廉、包道乙等神怪情节。 2、剧集把王进父亲王升...  |俺来总结央视版《水浒传》对原著的修改。该剧集有列传风格，大致可以分为九个段落，拣要紧的说。 第1—4集 鲁达传 1、开篇砍掉“张天师祈禳瘟疫”，径直写高俅发迹，决定了本剧的现实主义风格。后面同样砍掉了罗真人、公孙胜、高廉、包道乙等神怪情节。 2、剧集把王进父亲王升...  |871|17|积极|中国|豆瓣|2010-09-01
这篇剧评可能有剧透卡尔维诺说：一部经典作品是一本每次重读都像初读那样带来发现的书。 经典影视作品亦然。 小时候不懂事，看98央视版《水浒传》电视剧，光顾着看武松景阳冈打虎了，最近重温，有了很多新发现，才逐渐明白这部剧有多经典。 比如，看潘金莲那段时，弹幕上飘过“怎么老是洗澡”、“...  |这篇剧评可能有剧透卡尔维诺说：一部经典作品是一本每次重读都像初读那样带来发现的书。 经典影视作品亦然。 小时候不懂事，看98央视版《水浒传》电视剧，光顾着看武松景阳冈打虎了，最近重温，有了很多新发现，才逐渐明白这部剧有多经典。 比如，看潘金莲那段时，弹幕上飘过“怎么老是洗澡”、“...  |346|17|积极|中国|豆瓣|2021-10-12
“爷爷生在天地间”的几个版本~ 许久前在《英雄志》里看到的，很是豪迈，搜索了一下，得到几个版本，贴出来，将来“杀官造反”的时候可以吼一吼。 1、阮氏兄弟《渔歌》专辑 爷爷生在石碣村！禀性生来要杀人！ 先斩何涛巡检首！再杀东京鸟官人！ 英雄不会读诗书！只在梁山泊里...  |“爷爷生在天地间”的几个版本~ 许久前在《英雄志》里看到的，很是豪迈，搜索了一下，得到几个版本，贴出来，将来“杀官造反”的时候可以吼一吼。 1、阮氏兄弟《渔歌》专辑 爷爷生在石碣村！禀性生来要杀人！ 先斩何涛巡检首！再杀东京鸟官人！ 英雄不会读诗书！只在梁山泊里...  |76|17|积极|中国|豆瓣|2008-12-25
电视比小说好懂。 然后有些小小的想法 1 果然是有“逼上梁山”一说。逼他们，不仅是当时的政权，也有那些哥哥们。林冲是朝廷逼的。可是卢俊义，好好一个地主，混着过他的太平日子，有点事情也不至于忍受不了。偏偏好汉们要结交他，也没做什么事情，可是一来二去的就成了结交匪...  |电视比小说好懂。 然后有些小小的想法 1 果然是有“逼上梁山”一说。逼他们，不仅是当时的政权，也有那些哥哥们。林冲是朝廷逼的。可是卢俊义，好好一个地主，混着过他的太平日子，有点事情也不至于忍受不了。偏偏好汉们要结交他，也没做什么事情，可是一来二去的就成了结交匪...  |68|17|积极|中国|豆瓣|2015-09-16
关于央视水浒的拍摄思路问题之前在几处论坛都留过言，整理起来再顺便添点新内容： 1. 央视水浒对于许多角色的树立是前后有逻辑、互相有关联的。例如原著林冲武气远胜文气，而央水几乎塑造成了儒雅温润的文士形象，央水林冲因而颇受诟病，然而，首先这个形象是由宝剑记、野猪林...  |关于央视水浒的拍摄思路问题之前在几处论坛都留过言，整理起来再顺便添点新内容： 1. 央视水浒对于许多角色的树立是前后有逻辑、互相有关联的。例如原著林冲武气远胜文气，而央水几乎塑造成了儒雅温润的文士形象，央水林冲因而颇受诟病，然而，首先这个形象是由宝剑记、野猪林...  |56|17|积极|中国|豆瓣|2018-10-04
作者：段品章 链接：https://www.zhihu.com/question/27897924/answer/66071782 来源：知乎 著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。 水浒是我人生中读过的第一部小说，它对我的影响是一生的。但说实话，小孩子还是去看电视剧|作者：段品章 链接：https://www.zhihu.com/question/27897924/answer/66071782 来源：知乎 著作权归作者所有。商业转载请联系作者获得授权，非商业转载请注明出处。 水浒是我人生中读过的第一部小说，它对我的影响是一生的。但说实话，小孩子还是去看电视剧|64|17|积极|中国|豆瓣|2017-06-23
这篇剧评可能有剧透张绍林既是导演又是摄像，摄而优则导。张纪中是制片主任。 第一集开头就是着力展现《清明上河图》的全景。 打打杀杀，不一定是宣扬暴力，但有一定作用。 “这个老王八蛋，打完人就跑了”，难道还留下来给你疗伤？ 高俅高二哥要做打死人不必吃官司的人。苏轼推荐他到太尉那...  |这篇剧评可能有剧透张绍林既是导演又是摄像，摄而优则导。张纪中是制片主任。 第一集开头就是着力展现《清明上河图》的全景。 打打杀杀，不一定是宣扬暴力，但有一定作用。 “这个老王八蛋，打完人就跑了”，难道还留下来给你疗伤？ 高俅高二哥要做打死人不必吃官司的人。苏轼推荐他到太尉那...  |46|17|积极|中国|豆瓣|2009-11-26
这篇剧评可能有剧透发现“四大名著”，我只写了《水浒》这一篇剧评。《红楼》、《三国》是真写不出来，只有三个字：好！好！好！想起宝玉怀念黛玉，当年晴雯死了尚能写《芙蓉诔》，如今林妹妹死了，却一个字写不出。现在自己也遁入红尘了，是不是玉也浊了，遗失了？反倒喜欢上了这真实版《清明上...  |这篇剧评可能有剧透发现“四大名著”，我只写了《水浒》这一篇剧评。《红楼》、《三国》是真写不出来，只有三个字：好！好！好！想起宝玉怀念黛玉，当年晴雯死了尚能写《芙蓉诔》，如今林妹妹死了，却一个字写不出。现在自己也遁入红尘了，是不是玉也浊了，遗失了？反倒喜欢上了这真实版《清明上...  |49|17|积极|中国|豆瓣|2018-02-27
