"content"|"translated"|"likes"|"workId"|"sentiment"|"country"|"platform"|"postTime"
"浅谈在看《流浪地球2》，说实话确实没想到特效这么厉害。我认为作为一个商业电影其实没啥问题，因为电影本身没有任何深度的讨论，既没有对数字生命的讨论，也没有对随机抽取放弃35亿人的讨论。实际上电影真正的主线剧情其实是人工智能企图毁灭人类，但是也没有对人工智能这一伦理的讨论。1/n"|"浅谈在看《流浪地球2》，说实话确实没想到特效这么厉害。我认为作为一个商业电影其实没啥问题，因为电影本身没有任何深度的讨论，既没有对数字生命的讨论，也没有对随机抽取放弃35亿人的讨论。实际上电影真正的主线剧情其实是人工智能企图毁灭人类，但是也没有对人工智能这一伦理的讨论。1/n"|"1900"|"2"|"积极"|"中国"|"Twitter"|"2023-01-25"|"Twitter"
"刚突然发现一件事情。我没事去IMDB上想看看老外如何评价流浪地球2的但是我打开10分评价(图1)我大概点了前10个，我点进去发现他们清一色的电影评价和打分记录都只有流浪地球2但是如果你点开7分，6分，5分的评价你会发现完全不一样，至少3分之2的人都有大量的点评记录(图2,3)"|"刚突然发现一件事情。我没事去IMDB上想看看老外如何评价流浪地球2的但是我打开10分评价(图1)我大概点了前10个，我点进去发现他们清一色的电影评价和打分记录都只有流浪地球2但是如果你点开7分，6分，5分的评价你会发现完全不一样，至少3分之2的人都有大量的点评记录(图2,3)"|"501"|"2"|"消极"|"中国"|"Twitter"|"2023-02-12"|"Twitter"
"这是大温哥华地区的流浪地区售票情况图1是西人偏多的社区的电影院图2是华人偏多的社区的电影院很显然流浪地球主要还是卖给华人的"|"这是大温哥华地区的流浪地区售票情况图1是西人偏多的社区的电影院图2是华人偏多的社区的电影院很显然流浪地球主要还是卖给华人的"|"324"|"2"|"积极"|"中国"|"Twitter"|"2023-01-30"|"Twitter"
"流浪地球2比1还难看。特效做的跟PS5里的游戏水平差不多。剧情太长了，两条线都非常差劲，数字永生的内容，都已经可以让月球变换位置了却没有高科技武器还在用肉搏。流浪地球计划这条线，根本就是中国统治了世界…中途差点都要睡着了。ai换脸做的连推上的明星换脸黄片的技术都不如。爆米花倒是吃光了。"|"流浪地球2比1还难看。特效做的跟PS5里的游戏水平差不多。剧情太长了，两条线都非常差劲，数字永生的内容，都已经可以让月球变换位置了却没有高科技武器还在用肉搏。流浪地球计划这条线，根本就是中国统治了世界…中途差点都要睡着了。ai换脸做的连推上的明星换脸黄片的技术都不如。爆米花倒是吃光了。"|"357"|"2"|"积极"|"中国"|"Twitter"|"2023-01-23"|"Twitter"
"希望中国立即立法：1. 给《流浪地球2》差评的人直接判处间谍罪、开除党籍、剥夺政治权利终身2. 给《满江红》《无名》好评的人一律判处寻衅滋事罪"|"希望中国立即立法：1. 给《流浪地球2》差评的人直接判处间谍罪、开除党籍、剥夺政治权利终身2. 给《满江红》《无名》好评的人一律判处寻衅滋事罪"|"371"|"2"|"积极"|"中国"|"Twitter"|"2023-01-25"|"Twitter"
"不知道澳洲其他城市怎样，但是流浪地球2将在2月2日在喵本下线，2月1日是最后机会。还没看的和想二刷的抓紧机会，错过了真没了。"|"不知道澳洲其他城市怎样，但是流浪地球2将在2月2日在喵本下线，2月1日是最后机会。还没看的和想二刷的抓紧机会，错过了真没了。"|"45"|"2"|"积极"|"中国"|"Twitter"|"2023-01-28"|"Twitter"
"流浪地球都出了2了啊，我连流浪地球1都还没看呢……"|"流浪地球都出了2了啊，我连流浪地球1都还没看呢……"|"14"|"2"|"积极"|"中国"|"Twitter"|"2023-01-24"|"Twitter"
"【#海外爆料】流浪地球1的时候，大多数国人还是“韭菜”；流浪地球2的时候，就变成“人矿”了"|"【#海外爆料】流浪地球1的时候，大多数国人还是“韭菜”；流浪地球2的时候，就变成“人矿”了"|"12"|"2"|"积极"|"中国"|"Twitter"|"2023-01-28"|"Twitter"
"流浪地球1刚出来的时候我还是半个粉红，因为捧的人多，去电影院看了，只想说失望，吹的那些建议多看看国外大片，差距不是一点点。现在流浪地球2又被捧上天了，上过一次当了，反正我是不会去电影院花钱看的。"|"流浪地球1刚出来的时候我还是半个粉红，因为捧的人多，去电影院看了，只想说失望，吹的那些建议多看看国外大片，差距不是一点点。现在流浪地球2又被捧上天了，上过一次当了，反正我是不会去电影院花钱看的。"|"381"|"2"|"消极"|"中国"|"Twitter"|"2023-01-23"|"Twitter"
"流浪地球2，啟動!（話說上次看國產電影還是流浪地球1"|"流浪地球2，启动!（话说上次看国产电影还是流浪地球1"|"6"|"2"|"积极"|"中国"|"Twitter"|"2023-07-23"|"Twitter"
"《流浪地球2》23.3亿，超棒了电影，昨天带孩子去看，女儿15岁打了8.5分，儿子11岁打了9.5分，我给9分。以下为烂番茄和IMBD对《流浪地球》1与2的评分变化。"|"《流浪地球2》23.3亿，超棒了电影，昨天带孩子去看，女儿15岁打了8.5分，儿子11岁打了9.5分，我给9分。以下为烂番茄和IMBD对《流浪地球》1与2的评分变化。"|"38"|"2"|"积极"|"中国"|"Twitter"|"2023-01-30"|"Twitter"
"早会的时候（就不具体说是谁了)老大说。币圈四年一个周期，19年2月流浪地球上映。比特币后面反弹到6月涨了一倍。 23年1月流浪地球又上映，这次能涨到5月。他是不是刻舟求剑魔怔了 #twitfi"|"早会的时候（就不具体说是谁了)老大说。币圈四年一个周期，19年2月流浪地球上映。比特币后面反弹到6月涨了一倍。 23年1月流浪地球又上映，这次能涨到5月。他是不是刻舟求剑魔怔了 #twitfi"|"72"|"2"|"积极"|"中国"|"Twitter"|"2023-01-29"|"Twitter"
"小破球2的代码公式原来都是来真的，原剧本改了将近1/3，这个建模视频也是非常震撼。危难当头，唯有责任  MOREVFX「流浪地球2」视效花絮"|"小破球2的代码公式原来都是来真的，原剧本改了将近1/3，这个建模视频也是非常震撼。危难当头，唯有责任  MOREVFX「流浪地球2」视效花絮"|"12"|"2"|"积极"|"中国"|"Twitter"|"2023-03-19"|"Twitter"
"相比《流浪地球1》世界团结的内核，《流浪地球2》的价值观基本上已经属于抱着鹅爹的屁股舔了。就算这样，还是热脸贴冷屁股，国内一群黄俄精神高潮，到俄爹那，票房甚至被有轻微黑俄罗斯背景的美国大片爆杀毕竟是世界文学艺术的发源地之一，人家俄爹这点品味还是有的，食物和屎还是分得清的"|"相比《流浪地球1》世界团结的内核，《流浪地球2》的价值观基本上已经属于抱着鹅爹的屁股舔了。就算这样，还是热脸贴冷屁股，国内一群黄俄精神高潮，到俄爹那，票房甚至被有轻微黑俄罗斯背景的美国大片爆杀毕竟是世界文学艺术的发源地之一，人家俄爹这点品味还是有的，食物和屎还是分得清的"|"437"|"2"|"积极"|"中国"|"Twitter"|"2023-04-25"|"Twitter"
"《流浪地球2》观影指南#微剧透预警1.该电影是2019年上映的第一部的前传，假如你对四年前的第一部满意，那么这一部绝对不会让你失望。2.该电影无特别血腥的场面，可以放心带小孩观看。(几年前的红海行动可刺激了)3.第二部主演都是成年人，相比第一部的兄妹俩对演技有更高要求，我个人是满意的。"|"《流浪地球2》观影指南#微剧透预警1.该电影是2019年上映的第一部的前传，假如你对四年前的第一部满意，那么这一部绝对不会让你失望。2.该电影无特别血腥的场面，可以放心带小孩观看。(几年前的红海行动可刺激了)3.第二部主演都是成年人，相比第一部的兄妹俩对演技有更高要求，我个人是满意的。"|"164"|"2"|"积极"|"中国"|"Twitter"|"2023-01-25"|"Twitter"
"一言以蔽之，流浪地球1和流浪地球2说的是，21世纪中叶，60亿人在外敌天灾（可以是氦闪，可以是疫情）的威胁下，集体放下生活，修建金字塔，长城的世界新奇观的过程流浪地球2特地强调了，这一切都是在一位中山装老人的指挥下，顺利完成的。而且关键靠“我们的人”。这就是东方审美：大力出奇迹"|"一言以蔽之，流浪地球1和流浪地球2说的是，21世纪中叶，60亿人在外敌天灾（可以是氦闪，可以是疫情）的威胁下，集体放下生活，修建金字塔，长城的世界新奇观的过程流浪地球2特地强调了，这一切都是在一位中山装老人的指挥下，顺利完成的。而且关键靠“我们的人”。这就是东方审美：大力出奇迹"|"190"|"2"|"积极"|"中国"|"Twitter"|"2023-01-26"|"Twitter"
"胡鑫宇缢吊尸体在仓库里被发现，舆论哗然。为什么胡鑫宇案件引起巨大反响？胡鑫宇会不会像铁链女和唐山女一样，石沉大海？另外，《流浪地球2》用抽签的方式牺牲35亿人的生命，这样的价值观会给文明带来什么样的归宿？美国之音【时事大家谈】将在2月1日上午8点讨论这些话题，请发表您的看法或提问。"|"胡鑫宇缢吊尸体在仓库里被发现，舆论哗然。为什么胡鑫宇案件引起巨大反响？胡鑫宇会不会像铁链女和唐山女一样，石沉大海？另外，《流浪地球2》用抽签的方式牺牲35亿人的生命，这样的价值观会给文明带来什么样的归宿？美国之音【时事大家谈】将在2月1日上午8点讨论这些话题，请发表您的看法或提问。"|"308"|"2"|"积极"|"中国"|"Twitter"|"2023-02-01"|"Twitter"
"《满江红》观后感#微剧透预警假如时光倒流再给我一次机会，我会毫不犹豫的选择二刷流浪地球，而不是去看满江红。1.喜剧&悬疑？电影分类定为喜剧/悬疑片。要说喜剧，那基本全靠演员的夸张表情和说话抖机灵。比如岳云鹏，基本镜头一给到他，还没说话，影院里的小朋友已经开始笑了。"|"《满江红》观后感#微剧透预警假如时光倒流再给我一次机会，我会毫不犹豫的选择二刷流浪地球，而不是去看满江红。1.喜剧&悬疑？电影分类定为喜剧/悬疑片。要说喜剧，那基本全靠演员的夸张表情和说话抖机灵。比如岳云鹏，基本镜头一给到他，还没说话，影院里的小朋友已经开始笑了。"|"97"|"2"|"积极"|"中国"|"Twitter"|"2023-01-25"|"Twitter"
"昨天看了流浪地球2，Bellevue就有。上座率还行。这个片子从特效来讲还行，确实是花了一番心思的。但是这部片子的剧情可以说跟原著毫无关系，除了同名之外，毫无联系。而电影传递的价值观非常令人担忧：为了伟大的目标是不是可以kamikaze 1/n"|"昨天看了流浪地球2，Bellevue就有。上座率还行。这个片子从特效来讲还行，确实是花了一番心思的。但是这部片子的剧情可以说跟原着毫无关系，除了同名之外，毫无联系。而电影传递的价值观非常令人担忧：为了伟大的目标是不是可以kamikaze 1/n"|"405"|"2"|"积极"|"中国"|"Twitter"|"2023-01-23"|"Twitter"
"晚上又刷了一遍“流浪地球1”还是觉得2好看"|"晚上又刷了一遍“流浪地球1”还是觉得2好看"|"37"|"2"|"积极"|"中国"|"Twitter"|"2023-01-29"|"Twitter"
"走，一起为刘培强接生在电影《流浪地球》中，吴京饰演的刘培强于今天——2023年1月22日出生，2075年2月15日为拯救地球点燃木星，壮烈牺牲。你今天看电影了吗？你觉得值得推荐吗？"|"走，一起为刘培强接生在电影《流浪地球》中，吴京饰演的刘培强于今天——2023年1月22日出生，2075年2月15日为拯救地球点燃木星，壮烈牺牲。你今天看电影了吗？你觉得值得推荐吗？"|"72"|"2"|"积极"|"中国"|"Twitter"|"2023-01-22"|"Twitter"
"流浪地球2真不错明天重温一遍流浪地球1"|"流浪地球2真不错明天重温一遍流浪地球1"|"9"|"2"|"积极"|"中国"|"Twitter"|"2023-01-30"|"Twitter"
