content|translated|likes|workId|sentiment|country|platform|postTime
最新终极预告https://youtu.be/VGKIdYzmwd0|最新终极预告https://youtu.be/VGKIdYzmwd0|98|2|积极|中国|Youtube|2019-02-02
上映好几年了，回来看看，想念达叔|上映好几年了，回来看看，想念达叔|0|2|积极|中国|Youtube|2022-08-25
全球35亿人？不止吧|全球35亿人？不止吧|0|2|积极|中国|Youtube|2022-02-23
癌檢測詐騙不要相信，吃素菜大餐無癌無病，觀音菩薩，阿彌陀佛，全世界的醫院未來無癌騙部門，誰醫院用癌騙騙錢死後找閻王 , 慈濟醫院愛動物推素食善業功德無量，但慈濟醫院癌騙部門殺人無數惡貫滿盈，全球所有的醫院癌騙險也騙局，癌化療檢測不用去相信|癌检测诈骗不要相信，吃素菜大餐无癌无病，观音菩萨，阿弥陀佛，全世界的医院未来无癌骗部门，谁医院用癌骗骗钱死后找阎王 , 慈济医院爱动物推素食善业功德无量，但慈济医院癌骗部门杀人无数恶贯满盈，全球所有的医院癌骗险也骗局，癌化疗检测不用去相信|0|2|消极|中国|Youtube|2021-09-25
great movie! but my complaint is that it is filled with heavy chinese propaganda like the 1:20 scene. lmao can you not be anymore obvious?|很棒的电影!但我的抱怨是，它充满了沉重的中国宣传，比如1:20的场景。哈哈，你能不能别太明显了?|0|2|积极|爱尔兰|Youtube|2021-09-19
进入长辈朋友圈，了解最新谣言。|进入长辈朋友圈，了解最新谣言。|0|2|积极|中国|Youtube|2020-12-21
1:30 我同意，made in China|1:30 我同意，made in China|0|2|消极|中国|Youtube|2020-12-19
吸我大气者，虽远必诛|吸我大气者，虽远必诛|0|2|消极|中国|Youtube|2020-11-18
大家不要理那个free Chinese，到处都有他，整天找存在感。你理他，你就输了。|大家不要理那个free Chinese，到处都有他，整天找存在感。你理他，你就输了。|0|2|中立|中国|Youtube|2020-11-03
共匪, 五毛党|共匪, 五毛党|0|2|积极|中国|Youtube|2020-05-29
不明白为什么会有喷子……但多年的经验告诉我：习惯了谎言、随着谎言而扭曲的人们，在遇到真正实干性的逻辑思维熏陶时，他们的第一反应不是有如久旱逢甘霖，而是像末日临头……|不明白为什么会有喷子……但多年的经验告诉我：习惯了谎言、随着谎言而扭曲的人们，在遇到真正实干性的逻辑思维熏陶时，他们的第一反应不是有如久旱逢甘霖，而是像末日临头……|0|2|积极|中国|Youtube|2020-02-28
這部片證明 中國人西化是成功的 在東湊西湊後 拼接出的成果 集世界各國各部科幻大成|这部片证明 中国人西化是成功的 在东凑西凑后 拼接出的成果 集世界各国各部科幻大成|0|2|积极|中国|Youtube|2019-12-05
本来中国人都在自嘲拍三体 这回好了··是真的期待了···|本来中国人都在自嘲拍三体 这回好了··是真的期待了···|0|2|积极|中国|Youtube|2019-11-26
the debate of traveling with earth just shows culture differences between east and west. “Home” is one of the core values in Chinese people, not to a|“与地球同行”的争论恰恰反映了东西方文化的差异。“家”是中国人的核心价值观之一，不是一个|1|2|积极|澳大利亚|Youtube|2019-09-24
I saw this is a sacrifice. The 100 generations gave up the sun and lived underground. Only for the children after 2000 can see the sun.|我看到这是一种牺牲。100代人放弃了阳光，生活在地下。只有2000年以后的孩子才能看到太阳。|0|2|积极|加拿大|Youtube|2019-08-29
男主角非常帅，女主角演技非常好，没有想到新的演员，演技这么好，最后给编剧和导演，一个大赞～期待以后也可以多制作出一些类似对于未来的电影感谢！|男主角非常帅，女主角演技非常好，没有想到新的演员，演技这么好，最后给编剧和导演，一个大赞～期待以后也可以多制作出一些类似对于未来的电影感谢！|0|2|积极|中国|Youtube|2019-07-26
Good: Its awesome to see humans pool their resources and bring all they could bear against the coming calamity. Of course, its from the chinese persp|很好:看到人类集中资源，尽其所能抵御即将到来的灾难，真是太棒了。当然，这是中国人说的|0|2|积极|新加坡|Youtube|2019-07-07
Looks great!|看起来太棒了!|0|2|积极|新加坡|Youtube|2019-06-30
沒花大錢請小鮮肉的大片就是好片|没花大钱请小鲜肉的大片就是好片|0|2|消极|中国|Youtube|2019-06-13
本来不抱希望 看完这部电影 我开始超级期待三体 希望接下来可以拍三体|本来不抱希望 看完这部电影 我开始超级期待三体 希望接下来可以拍三体|0|2|积极|中国|Youtube|2019-05-24
看不到爛片、糞片怎麼辦啊～就讓我一輩子都看不到唄|看不到烂片、粪片怎么办啊～就让我一辈子都看不到呗|0|2|消极|中国|Youtube|2019-05-12
五千年前，我们和古埃及人一样面对洪水；四千年前，我们和古巴比伦人一样玩青铜器；三千年前，我们和古希腊人一样思考哲学；两千年前，我们和罗马人一样四处征伐；一千年前，我们和阿拉伯人一样无比富足；五百年前，我们和西班牙人一样游荡大洋；现在，我们和美利坚一较长短！五千年了，我们一直在世界的牌桌上打着麻将，|五千年前，我们和古埃及人一样面对洪水；四千年前，我们和古巴比伦人一样玩青铜器；三千年前，我们和古希腊人一样思考哲学；两千年前，我们和罗马人一样四处征伐；一千年前，我们和阿拉伯人一样无比富足；五百年前，我们和西班牙人一样游荡大洋；现在，我们和美利坚一较长短！五千年了，我们一直在世界的牌桌上打着麻将，|0|2|积极|中国|Youtube|2019-05-03
一万台醒醒发动机全功率运转也无法带我驶离床铺，受床铺吸力增强，我将于1分钟后睡着，起床，起床，闹钟不停地响着，这注定是一场徒劳的救援，我错过了最后的逃逸机会，看看左边的老婆，已经不在，或许已经叛逃了。|一万台醒醒发动机全功率运转也无法带我驶离床铺，受床铺吸力增强，我将于1分钟后睡着，起床，起床，闹钟不停地响着，这注定是一场徒劳的救援，我错过了最后的逃逸机会，看看左边的老婆，已经不在，或许已经叛逃了。|0|2|消极|中国|Youtube|2019-04-29
Hello，My name is Ngan Kwan Yiu，有關上述電影如果在2012年至2018年內在廉政公署高級職員曹永年與及其相關人員在保密調查本人顏坤堯懷疑貪污的調查時內拿出來拍攝電影相關提材收取利益或輸送利益，本人已經控罪於相關所有由職權保密調查內而以任何途徑變成利益！|Hello，My name is Ngan Kwan Yiu，有关上述电影如果在2012年至2018年内在廉政公署高级职员曹永年与及其相关人员在保密调查本人颜坤尧怀疑贪污的调查时内拿出来拍摄电影相关提材收取利益或输送利益，本人已经控罪于相关所有由职权保密调查内而以任何途径变成利益！|0|2|消极|中国|Youtube|2019-04-09
请问，你们攒够了秋裤了吗？|请问，你们攒够了秋裤了吗？|0|2|消极|中国|Youtube|2019-04-08
叶式特攻的广告|叶式特攻的广告|0|2|消极|中国|Youtube|2019-04-07
台湾喷子只能在youtube找存在感的  大陆人很少可以上youtube|台湾喷子只能在youtube找存在感的  大陆人很少可以上youtube|0|2|积极|中国|Youtube|2019-04-06
接近一百万观看才1000多点赞是不是有人在搞鬼啊|接近一百万观看才1000多点赞是不是有人在搞鬼啊|2|2|积极|中国|Youtube|2019-03-31
The characters are not likeable, maybe with the exception of Grandpa and Wujing.  The two young characters behaved like  delinquents.  Some of the ot|人物都不讨人喜欢，也许除了爷爷和悟净。这两个年轻人的行为就像少年犯一样。其中的一些|1|2|积极|英国|Youtube|2019-03-23
So cool!  Looks good, I need to read the books first!!|太酷了!看起来不错，我得先看书!!|0|2|积极|新加坡|Youtube|2019-03-18
1:18|1:18|0|2|中立|爱尔兰|Youtube|2019-03-17
地球走到一半，遇到了正对面驶来的三体星舰队。啥？！你们也在逃离自己的星系？|地球走到一半，遇到了正对面驶来的三体星舰队。啥？！你们也在逃离自己的星系？|1|2|积极|中国|Youtube|2019-03-15
同樣是華語海外票房，新喜劇之王可以破千萬美元，中國內地新導演的所有電影，包括流浪地球海外票房均在千萬美元以下，中國內地就是喜歡看吹牛逼，瘋狂的外星人也比流浪地球好太多。|同样是华语海外票房，新喜剧之王可以破千万美元，中国内地新导演的所有电影，包括流浪地球海外票房均在千万美元以下，中国内地就是喜欢看吹牛逼，疯狂的外星人也比流浪地球好太多。|0|2|积极|中国|Youtube|2019-03-15
