content|translated|likes|workId|sentiment|country|platform|postTime
我的感受： 1 远超预期 2比第一部强 3 格局打开 境界打开 4中国影史第一科幻系列作可期！ 对于部分影评的感受： 在荧幕上 美国人孤胆英雄可以 中国人大杀四方不可以 美国人大聪明 亚裔非裔背景板 毛子大坏蛋可以 中国人主事拯救世界不可以 美国人星条旗当战袍 名字直接就是美国...  |我的感受： 1 远超预期 2比第一部强 3 格局打开 境界打开 4中国影史第一科幻系列作可期！ 对于部分影评的感受： 在荧幕上 美国人孤胆英雄可以 中国人大杀四方不可以 美国人大聪明 亚裔非裔背景板 毛子大坏蛋可以 中国人主事拯救世界不可以 美国人星条旗当战袍 名字直接就是美国...  |5626|2|积极|中国|豆瓣|2023-01-22
作为科幻电影，流浪地球2是一座冰山。你能在电影院看到的所有的细节都像是浮在水面的部分。当你向水底观察，又会发现惊人的质量。 《流浪地球2》是《流浪地球》的前传，讲述的是2044年太空电梯危机和2058月球坠落危机。 以下第一部分是剧情梳理，不需要梳理的话可以直接跳到下...  |作为科幻电影，流浪地球2是一座冰山。你能在电影院看到的所有的细节都像是浮在水面的部分。当你向水底观察，又会发现惊人的质量。 《流浪地球2》是《流浪地球》的前传，讲述的是2044年太空电梯危机和2058月球坠落危机。 以下第一部分是剧情梳理，不需要梳理的话可以直接跳到下...  |4208|2|积极|中国|豆瓣|2023-01-29
最近看了主创团队的路演，和观众交流的时候又透露出很多新的细节，感兴趣的大家也可以去其他平台上搜搜看。 推荐最近听的三期聊流浪地球的播客给大家，可以在各类播客和音乐平台搜索播客名字： 铥铥科幻电波——这是未来事物管理局旗下的播客，三位主播都是科幻迷，本职工作也...  |最近看了主创团队的路演，和观众交流的时候又透露出很多新的细节，感兴趣的大家也可以去其他平台上搜搜看。 推荐最近听的三期聊流浪地球的播客给大家，可以在各类播客和音乐平台搜索播客名字： 铥铥科幻电波——这是未来事物管理局旗下的播客，三位主播都是科幻迷，本职工作也...  |3922|2|积极|中国|豆瓣|2023-01-23
我觉得全片这些动人看点中，片尾那句“致敬吴孟达先生”一定是最让人有感触的一个。 不知不觉达叔已经离开我们两年了，时至今日还能以这样的方式再在大荧幕上看到他，实在是惊喜又感动。 非黑非粉，但是站在普通路人的角度上真的忍不住想夸一下《流浪地球2》的用心程度，以及那...  |我觉得全片这些动人看点中，片尾那句“致敬吴孟达先生”一定是最让人有感触的一个。 不知不觉达叔已经离开我们两年了，时至今日还能以这样的方式再在大荧幕上看到他，实在是惊喜又感动。 非黑非粉，但是站在普通路人的角度上真的忍不住想夸一下《流浪地球2》的用心程度，以及那...  |3109|2|积极|中国|豆瓣|2023-01-22
好评夸赞不说了，豆瓣满街都是。这一部非常震撼，中国式科幻美学巅峰。 说说那些打差评的，无非两种： 1、“大家都睡着了，垃圾电影”。 首先我也睡着了15分钟，旁边一堆人在打鼾，不过我很理解，毕竟昨天是大年三十，我相信全国人民昨天都睡很晚，今天初一要早起，应该都犯困...  |好评夸赞不说了，豆瓣满街都是。这一部非常震撼，中国式科幻美学巅峰。 说说那些打差评的，无非两种： 1、“大家都睡着了，垃圾电影”。 首先我也睡着了15分钟，旁边一堆人在打鼾，不过我很理解，毕竟昨天是大年三十，我相信全国人民昨天都睡很晚，今天初一要早起，应该都犯困...  |2761|2|积极|中国|豆瓣|2023-01-23
我承认，刘培强和韩朵朵的爱情线虽然份额没那么多但是很好嗑。我也承认，图恒宇和丫丫的父女亲情线赚了我一波眼泪。但是我万万没想到，看似“搞笑担当”出场的张鹏，和刘培强之间的师徒情竟然还给我来了一波奇袭，直接撞到了我的心巴上，久久不能平静...... 一开场的时候，看着...  |我承认，刘培强和韩朵朵的爱情线虽然份额没那么多但是很好嗑。我也承认，图恒宇和丫丫的父女亲情线赚了我一波眼泪。但是我万万没想到，看似“搞笑担当”出场的张鹏，和刘培强之间的师徒情竟然还给我来了一波奇袭，直接撞到了我的心巴上，久久不能平静...... 一开场的时候，看着...  |1755|2|积极|中国|豆瓣|2023-01-22
写了篇这影评谈了谈对影片的几点看法，其中有些看法也引起了很多豆友的讨论。结合这些讨论，我又重新梳理了一下自己的几个观点，跟大家探讨，跟在原评论后面。新增以下内容： 1、 关于数字生命派和流浪地球派之争，主要是对数字生命这一事物的思考；2、周喆直和郝晓希这条线的...  |写了篇这影评谈了谈对影片的几点看法，其中有些看法也引起了很多豆友的讨论。结合这些讨论，我又重新梳理了一下自己的几个观点，跟大家探讨，跟在原评论后面。新增以下内容： 1、 关于数字生命派和流浪地球派之争，主要是对数字生命这一事物的思考；2、周喆直和郝晓希这条线的...  |1245|2|积极|中国|豆瓣|2023-01-22
没想到第一时间看完电影，第一时间随手发感想，有那么多质疑和有质量回复，正儿八经写一下。 实话，买票时，我正在看《阿凡达2》，除了失望还是失望，回家立刻补看1，弥补一下。走出影厅，看到《球2》和《满江红》的海报，都想看，特别有沈腾和张译。 大年初一和朋友一起观影，...  |没想到第一时间看完电影，第一时间随手发感想，有那么多质疑和有质量回复，正儿八经写一下。 实话，买票时，我正在看《阿凡达2》，除了失望还是失望，回家立刻补看1，弥补一下。走出影厅，看到《球2》和《满江红》的海报，都想看，特别有沈腾和张译。 大年初一和朋友一起观影，...  |1094|2|消极|中国|豆瓣|2023-01-22
一些观感，不涉及剧透 中国科幻特效已经接近卡梅隆水平了，真正欠缺的是概念和哲学。虚拟人作用于现实世界从而拯救世界的概念12年前的《源代码》就玩过了，《流浪地球2》无非在此之上加了一些煽情成分。至于对于AI的探讨（根据某知名影评公众号3号厅检票员工的分析是全片最大的...  |一些观感，不涉及剧透 中国科幻特效已经接近卡梅隆水平了，真正欠缺的是概念和哲学。虚拟人作用于现实世界从而拯救世界的概念12年前的《源代码》就玩过了，《流浪地球2》无非在此之上加了一些煽情成分。至于对于AI的探讨（根据某知名影评公众号3号厅检票员工的分析是全片最大的...  |1261|2|积极|中国|豆瓣|2023-01-22
1. 网上一水的好评，让我怀疑是不是因为我没有看过原著，所以不能理解里面的各种故事和感情线，三个小时啊，我看的好努力，尽量在找电影的可圈可点，但我能力有限，真的找不到，好累。 2. 没有主线，各种场景流水线似得穿插描述，很多地方其实可以说的更透彻更深入一点 比如刘...  |1. 网上一水的好评，让我怀疑是不是因为我没有看过原著，所以不能理解里面的各种故事和感情线，三个小时啊，我看的好努力，尽量在找电影的可圈可点，但我能力有限，真的找不到，好累。 2. 没有主线，各种场景流水线似得穿插描述，很多地方其实可以说的更透彻更深入一点 比如刘...  |3896|2|积极|中国|豆瓣|2023-01-22
先打四星。特效精良主题宏大等优点太多人说过了，我也不重复了。说点自己的胡思乱想： 1 不明白为什么数字派和流浪派要掐，为什么要禁止人类数字化研究。电影里说是因为人类能数字化就没人愿活在现实了，但这说不通，人类当然是先在现实中活够了再数字化自己，而且数字化很可能...  |先打四星。特效精良主题宏大等优点太多人说过了，我也不重复了。说点自己的胡思乱想： 1 不明白为什么数字派和流浪派要掐，为什么要禁止人类数字化研究。电影里说是因为人类能数字化就没人愿活在现实了，但这说不通，人类当然是先在现实中活够了再数字化自己，而且数字化很可能...  |494|2|积极|中国|豆瓣|2023-01-27
YO！在本期解析开始前，想问下大家，何为科幻，又如何定义什么才是好的科幻作品。 科幻，又叫科学幻想，最初存在于文学小说，反映的是当时科学技术发展对于社会和个人造成的冲击所带来日益强烈的矛盾心态。 电影问世之后，科幻往往伴随着天马行空的想象，以满足观众永远无法填...  |YO！在本期解析开始前，想问下大家，何为科幻，又如何定义什么才是好的科幻作品。 科幻，又叫科学幻想，最初存在于文学小说，反映的是当时科学技术发展对于社会和个人造成的冲击所带来日益强烈的矛盾心态。 电影问世之后，科幻往往伴随着天马行空的想象，以满足观众永远无法填...  |612|2|积极|中国|豆瓣|2023-02-03
本影评含剧透，请小心观看。 一共3条线，吴京，李雪健的线剧情优秀，平铺直叙，容易代入感情。 重点想说说刘德华（图恒宇）的线。这个部分涉及到数字永生，人伦道德，影片描述的也比较繁琐，现在就我的理解，重新理一下时间线。 图恒宇年轻的时候工作的研究所（550所？）是研究...  |本影评含剧透，请小心观看。 一共3条线，吴京，李雪健的线剧情优秀，平铺直叙，容易代入感情。 重点想说说刘德华（图恒宇）的线。这个部分涉及到数字永生，人伦道德，影片描述的也比较繁琐，现在就我的理解，重新理一下时间线。 图恒宇年轻的时候工作的研究所（550所？）是研究...  |413|2|积极|中国|豆瓣|2023-01-22
我对小破球2只是失望，没觉得烂，影评本身就是主观的，而且作为消费者而言，既然消费了，就有评价的自由，也欢迎那些喜欢的豆友提不同的意见，不过一进来就人身攻击的，就别怪我说话阴阳怪气恶心人了。 《流浪地球2》相比于第一部而言，除了资金更多了，从而在特效方面肉眼可见...  |我对小破球2只是失望，没觉得烂，影评本身就是主观的，而且作为消费者而言，既然消费了，就有评价的自由，也欢迎那些喜欢的豆友提不同的意见，不过一进来就人身攻击的，就别怪我说话阴阳怪气恶心人了。 《流浪地球2》相比于第一部而言，除了资金更多了，从而在特效方面肉眼可见...  |581|2|消极|中国|豆瓣|2023-01-22
0. 片尾彩蛋一定要看！！不然全片的小红点都白看了！！ 1. 中国人真的是讲究传承，新老发言人的接替贯，正是有这种传统，才会有移山计划和后面流浪地球计划。能够传下去的火种，才会生生不息； 2. 老飞行员出列，看哭了； 3. 550c是个什么玩意……卧槽，这都能连上moss，6666；...  |0. 片尾彩蛋一定要看！！不然全片的小红点都白看了！！ 1. 中国人真的是讲究传承，新老发言人的接替贯，正是有这种传统，才会有移山计划和后面流浪地球计划。能够传下去的火种，才会生生不息； 2. 老飞行员出列，看哭了； 3. 550c是个什么玩意……卧槽，这都能连上moss，6666；...  |351|2|积极|中国|豆瓣|2023-01-22
轻度剧透。 农历新年的首次观影，大年初一上午场，犹豫之下还是选择了《流浪地球2》，虽然对《满江红》和《深海》也很期待。 这一部从时间线上来说是第一部的前传，属于“前刹车时代”，除了沿用原著的故事设定以外，基本上都是原创的情节和人物。特别是在“流浪地球计划”以外...  |轻度剧透。 农历新年的首次观影，大年初一上午场，犹豫之下还是选择了《流浪地球2》，虽然对《满江红》和《深海》也很期待。 这一部从时间线上来说是第一部的前传，属于“前刹车时代”，除了沿用原著的故事设定以外，基本上都是原创的情节和人物。特别是在“流浪地球计划”以外...  |413|2|积极|中国|豆瓣|2023-01-22
带着喜欢1的期待来看，不及预期。2虽然肉眼可见的有钱，大量硬桥硬码的特效场面，大量全世界各地的外景，比1更“国际视野”。 但最大的问题是，2的前三分之二部分，根本就没有故事啊！看起来就像是新闻集锦或者说航天纪录片。 比如说你要写一篇长评，1你是能复述出整个故事和主...  |带着喜欢1的期待来看，不及预期。2虽然肉眼可见的有钱，大量硬桥硬码的特效场面，大量全世界各地的外景，比1更“国际视野”。 但最大的问题是，2的前三分之二部分，根本就没有故事啊！看起来就像是新闻集锦或者说航天纪录片。 比如说你要写一篇长评，1你是能复述出整个故事和主...  |304|2|积极|中国|豆瓣|2023-01-23
这是一次集体记忆的书写，是只有中国人才能写出的科幻故事。现实中的每一个中国人也都深切的生活在“百年计划”之中。虽是画面是好莱坞式的视觉奇观，内核是典型的中国宏观叙事。 如果换做老美的思路，大概率会探讨自我、自由、生命等哲学命题，而中国人的传统，讲的是轮回传承...  |这是一次集体记忆的书写，是只有中国人才能写出的科幻故事。现实中的每一个中国人也都深切的生活在“百年计划”之中。虽是画面是好莱坞式的视觉奇观，内核是典型的中国宏观叙事。 如果换做老美的思路，大概率会探讨自我、自由、生命等哲学命题，而中国人的传统，讲的是轮回传承...  |458|2|积极|中国|豆瓣|2023-01-22
看完随便抒发几条感想。 1. 美国的华语电影。上一次在美国电影院里看中文对话的片子还是张艺谋的《英雄》，一查都20年了。 住处不远有家电影院一到周末就放印度电影，有时还枪战片连着歌舞片放两场，却从来没有华语电影。王健林买下美国电影院线AMC后，也不搞搞文化输出。 2. ...  |看完随便抒发几条感想。 1. 美国的华语电影。上一次在美国电影院里看中文对话的片子还是张艺谋的《英雄》，一查都20年了。 住处不远有家电影院一到周末就放印度电影，有时还枪战片连着歌舞片放两场，却从来没有华语电影。王健林买下美国电影院线AMC后，也不搞搞文化输出。 2. ...  |222|2|积极|中国|豆瓣|2023-01-26
可能因为《流浪地球》卖的太好，让流浪地球这个ip获得了太多的关注，导致郭帆野心膨胀，在《流浪地球2》里，他装进去太多东西了。 刘德华、李雪健、吴京三条线，每条线郭帆都想深度挖掘，结果就是一场危机接一场危机，电影做的跟流水账一样，不停的“发生危机——解决危机——...  |可能因为《流浪地球》卖的太好，让流浪地球这个ip获得了太多的关注，导致郭帆野心膨胀，在《流浪地球2》里，他装进去太多东西了。 刘德华、李雪健、吴京三条线，每条线郭帆都想深度挖掘，结果就是一场危机接一场危机，电影做的跟流水账一样，不停的“发生危机——解决危机——...  |312|2|积极|中国|豆瓣|2023-01-22
四年前，我从电影版《流浪地球》出发写过三篇短文（详见：[一]、[二]、[三]）。今天刚看完这部电影的续集，给一个粗暴结论的话，我认为这部电影还是值得一看的——即便是对于不同意它代表的意识形态的观众而言。它的问题很明显，就是节奏比较拖沓，而且那种“大力出奇迹”式的...  |四年前，我从电影版《流浪地球》出发写过三篇短文（详见：[一]、[二]、[三]）。今天刚看完这部电影的续集，给一个粗暴结论的话，我认为这部电影还是值得一看的——即便是对于不同意它代表的意识形态的观众而言。它的问题很明显，就是节奏比较拖沓，而且那种“大力出奇迹”式的...  |170|2|积极|中国|豆瓣|2023-01-24
《流浪地球2》有点土。 在一个未来的世界里，还是太主观了。 谁有资格去定义“最优解”呢。 还是保持着独有的主旋律就是：一个人说了算。 再大的全人类事件、再千钧一发的时刻，都得听一个人的。 他款款而来，缓缓开口，那些话，“感人至深”，等于没说。 我的妈呀真的有点土，...  |《流浪地球2》有点土。 在一个未来的世界里，还是太主观了。 谁有资格去定义“最优解”呢。 还是保持着独有的主旋律就是：一个人说了算。 再大的全人类事件、再千钧一发的时刻，都得听一个人的。 他款款而来，缓缓开口，那些话，“感人至深”，等于没说。 我的妈呀真的有点土，...  |517|2|积极|中国|豆瓣|2023-01-24
看预告片的时候，我是把《流浪地球2》和《星际穿越》作比较的，从预告片来看，我猜测里面刘德华饰演的角色应该会有人文情感的戏份，加上科幻的内容，应该不比《星际穿越》差。但实际上，流浪地球还是没达到我心中《星际穿越》带给我的预期高度。 这么说可能有点得罪人，但导演...  |看预告片的时候，我是把《流浪地球2》和《星际穿越》作比较的，从预告片来看，我猜测里面刘德华饰演的角色应该会有人文情感的戏份，加上科幻的内容，应该不比《星际穿越》差。但实际上，流浪地球还是没达到我心中《星际穿越》带给我的预期高度。 这么说可能有点得罪人，但导演...  |302|2|积极|中国|豆瓣|2023-01-22
整个第二部其实是moss的计算推演，时间点可能是第三部，对应的有两个镜头：李雪健光头造型按着手动爆炸按钮，刘德华光头战士造型正在奋战，这两个镜头可以理解为真实时间线闪现。 也就是说，moss在叛军攻击UEG的最后关头、周喆直犹豫是否要毁掉行星发动机、UEG战士在坚守总部大...  |整个第二部其实是moss的计算推演，时间点可能是第三部，对应的有两个镜头：李雪健光头造型按着手动爆炸按钮，刘德华光头战士造型正在奋战，这两个镜头可以理解为真实时间线闪现。 也就是说，moss在叛军攻击UEG的最后关头、周喆直犹豫是否要毁掉行星发动机、UEG战士在坚守总部大...  |203|2|积极|中国|豆瓣|2023-01-22
“中国电影试图将我们的星球带离太阳系，在它的故事情节中有一个前所未见的元素，它看起来甚至超越了好莱坞的标准。中国电影终于加入了太空竞赛。”这是《流浪地球》当年引发全球轰动时，印度媒体给出的评价。 《流浪地球》太成功了，让人有点担心：《流浪地球2》还能怎么创新...  |“中国电影试图将我们的星球带离太阳系，在它的故事情节中有一个前所未见的元素，它看起来甚至超越了好莱坞的标准。中国电影终于加入了太空竞赛。”这是《流浪地球》当年引发全球轰动时，印度媒体给出的评价。 《流浪地球》太成功了，让人有点担心：《流浪地球2》还能怎么创新...  |238|2|积极|中国|豆瓣|2023-01-22
看到一些说法说这个剧情很不合理甚至让人尴尬的说法… 李雪健之所以那么坚持要点火，那是因为他知道这次危机一定能渡过。毕竟每次危机的时间都有预告，片中也明说了是有人在帮助现在的人类；而且之前也有一个镜头是李雪健一个人意味深长的和房间里的摄像头直视，虽然我不完全理...  |看到一些说法说这个剧情很不合理甚至让人尴尬的说法… 李雪健之所以那么坚持要点火，那是因为他知道这次危机一定能渡过。毕竟每次危机的时间都有预告，片中也明说了是有人在帮助现在的人类；而且之前也有一个镜头是李雪健一个人意味深长的和房间里的摄像头直视，虽然我不完全理...  |225|2|积极|中国|豆瓣|2023-01-22
【彩蛋一定要看】 买了我能买到的最早的一场票去看。 看完我就要安利全世界，小破球牛逼，郭帆牛逼！！！！（破音） 我以为作为一的粉丝，并且每一个预告，每一个MV都没落下的，把剧透全部看了一遍，我对二的期望值已经拉的很高了，没有想到他还能让我坐在那边看了三个小时，还...  |【彩蛋一定要看】 买了我能买到的最早的一场票去看。 看完我就要安利全世界，小破球牛逼，郭帆牛逼！！！！（破音） 我以为作为一的粉丝，并且每一个预告，每一个MV都没落下的，把剧透全部看了一遍，我对二的期望值已经拉的很高了，没有想到他还能让我坐在那边看了三个小时，还...  |225|2|积极|中国|豆瓣|2023-01-22
全文约 8000 字，阅读约需 16 分钟。 写于 2023.01.29 . 把流浪地球2拆成两部电影，我愿意打11分。 我之前看了《流浪地球1》，很不错，但不足也很多，我觉得可以给个3.5星，出于对中国科幻电影的热爱，四舍五入是4星。（原因下面会详细说） 现在我看了《流浪地球2》，可能是因...|全文约 8000 字，阅读约需 16 分钟。 写于 2023.01.29 . 把流浪地球2拆成两部电影，我愿意打11分。 我之前看了《流浪地球1》，很不错，但不足也很多，我觉得可以给个3.5星，出于对中国科幻电影的热爱，四舍五入是4星。（原因下面会详细说） 现在我看了《流浪地球2》，可能是因...|165|2|积极|中国|豆瓣|2023-01-29
相较于近年来相当多广受诟病的科幻电影，《流浪地球》第一部的成功，很大程度上归功于，它具备源自刘慈欣的丰富文学文本。 它从来就不止是《流浪地球》，而是以“流浪地球”计划为主线，以足够的投资，来呈现一个丰富的刘慈欣宇宙。电影的基础永远是文学，幻想一直发源于生活，...  |相较于近年来相当多广受诟病的科幻电影，《流浪地球》第一部的成功，很大程度上归功于，它具备源自刘慈欣的丰富文学文本。 它从来就不止是《流浪地球》，而是以“流浪地球”计划为主线，以足够的投资，来呈现一个丰富的刘慈欣宇宙。电影的基础永远是文学，幻想一直发源于生活，...  |141|2|积极|中国|豆瓣|2023-01-23
直接切入正题，目前流浪地球2有两个导演埋的坑很多人正在讨论，这里说一下个人解读，做抛砖引玉用。如有幸言中流浪地球3的剧情，纯属巧合! 坑1，MOSS为什么说图恒宇是那个变量？ 因为是图恒宇开发了550系列的量子计算机，在图恒宇上传记忆之前，550系列只是人工智能和机器学习...  |直接切入正题，目前流浪地球2有两个导演埋的坑很多人正在讨论，这里说一下个人解读，做抛砖引玉用。如有幸言中流浪地球3的剧情，纯属巧合! 坑1，MOSS为什么说图恒宇是那个变量？ 因为是图恒宇开发了550系列的量子计算机，在图恒宇上传记忆之前，550系列只是人工智能和机器学习...  |142|2|积极|中国|豆瓣|2023-01-24
本文首发于公众号【不散】 豆瓣开分8.3，春节档7部电影排名第一！ 年初一票房4.74亿元，春节档7部电影排名第一！ 《流浪地球2》作为最早定档本年度春节档的电影作品，从一开始就承载了无数人的期待与瞩目，其173分钟的超长片长更是创造了春节档有史以来的最高纪录。 而这样口碑...  |本文首发于公众号【不散】 豆瓣开分8.3，春节档7部电影排名第一！ 年初一票房4.74亿元，春节档7部电影排名第一！ 《流浪地球2》作为最早定档本年度春节档的电影作品，从一开始就承载了无数人的期待与瞩目，其173分钟的超长片长更是创造了春节档有史以来的最高纪录。 而这样口碑...  |120|2|积极|中国|豆瓣|2023-01-23
整部电影，导演都在骗你。所有的真相都被故意隐藏在浅显的外壳之下。 流浪地球 2 真正在讲的是人工智能的残忍对决，一场你根本没有注意到的，没有硝烟的战争。 Part 0 疑问 一边是 Moss 策划危机，一边是“有人在帮我们”，Moss 到底在干啥？ 幕后大 Boss 策划了一堆危机，结果...  |整部电影，导演都在骗你。所有的真相都被故意隐藏在浅显的外壳之下。 流浪地球 2 真正在讲的是人工智能的残忍对决，一场你根本没有注意到的，没有硝烟的战争。 Part 0 疑问 一边是 Moss 策划危机，一边是“有人在帮我们”，Moss 到底在干啥？ 幕后大 Boss 策划了一堆危机，结果...  |146|2|积极|中国|豆瓣|2023-01-30
接下来的解读全程关键剧透，没看过电影的朋友可以先马。 论点： 马兆是人类最重要的面壁人，他成功地执行了流浪地球版的“阶梯计划”，将 “云天明” 也就是图恒宇和图丫丫父女的数字人格打入了 “MOSS” 内部。 首先马兆这条线的重要性是编剧 @龚格尔 自己剧透的： 所以对暗线...  |接下来的解读全程关键剧透，没看过电影的朋友可以先马。 论点： 马兆是人类最重要的面壁人，他成功地执行了流浪地球版的“阶梯计划”，将 “云天明” 也就是图恒宇和图丫丫父女的数字人格打入了 “MOSS” 内部。 首先马兆这条线的重要性是编剧 @龚格尔 自己剧透的： 所以对暗线...  |100|2|积极|中国|豆瓣|2023-01-25
记得2019年的除夕夜，零点，我买了一张流浪地球1的电影票。我妈说没人会大年初一跨年看电影，我就是个异类。事实上我当时也没想那么多，就想刘慈欣的改编电影应该会不一样。事实证明，小破球1确实不负我的选择。 这四年，发生了很多很多的事，尤其是在疯控隔离把人们的生活搞得...  |记得2019年的除夕夜，零点，我买了一张流浪地球1的电影票。我妈说没人会大年初一跨年看电影，我就是个异类。事实上我当时也没想那么多，就想刘慈欣的改编电影应该会不一样。事实证明，小破球1确实不负我的选择。 这四年，发生了很多很多的事，尤其是在疯控隔离把人们的生活搞得...  |184|2|积极|中国|豆瓣|2023-01-22
豆瓣真的是个很神奇的场域，有人在讨论科技元素、有人在讨论剧情走向。但是也有人在讨论“爹味重不重”、“主旋律含量高不高”，这或许就是人类物种多样性的体现。电影所渴望的“人类命运共同体”般的大团结或许只能存在于“科幻电影”中，因为现实世界里，“团结互助”正在被...  |豆瓣真的是个很神奇的场域，有人在讨论科技元素、有人在讨论剧情走向。但是也有人在讨论“爹味重不重”、“主旋律含量高不高”，这或许就是人类物种多样性的体现。电影所渴望的“人类命运共同体”般的大团结或许只能存在于“科幻电影”中，因为现实世界里，“团结互助”正在被...  |160|2|积极|中国|豆瓣|2023-01-22
一、画面和特效 从震撼程度和画面完成度来看，是很不错的水准，可达4.5星。（但没有3D version有点遗憾） 二、剧情 太空电梯、数字生命确实是本片的亮点，整体逻辑架构也较为完整，但图恒宇这个角色的设定实在有些拉跨（and这个名字属实俗还难听，不知道背后有什么寓意）。从过...  |一、画面和特效 从震撼程度和画面完成度来看，是很不错的水准，可达4.5星。（但没有3D version有点遗憾） 二、剧情 太空电梯、数字生命确实是本片的亮点，整体逻辑架构也较为完整，但图恒宇这个角色的设定实在有些拉跨（and这个名字属实俗还难听，不知道背后有什么寓意）。从过...  |107|2|积极|中国|豆瓣|2023-01-23
