content|translated|likes|workId|sentiment|country|platform|postTime
一部让中国电影冲破天花板的杰作。也让美国好莱坞对中国大跌眼睛的科幻片， 一部科幻片最伟大的成功之处。是要由国家硬实力的基础来支撑的。中国人今天做到了。可以自豪的用自己古文明的厚重内涵来诉说中国故事。这是向全世界郑重宣布，也是有麝自然香最沉默的展现。不是要来跪求贵国的认可的|一部让中国电影冲破天花板的杰作。也让美国好莱坞对中国大跌眼睛的科幻片， 一部科幻片最伟大的成功之处。是要由国家硬实力的基础来支撑的。中国人今天做到了。可以自豪的用自己古文明的厚重内涵来诉说中国故事。这是向全世界郑重宣布，也是有麝自然香最沉默的展现。不是要来跪求贵国的认可的|3|4|积极|中国|Facebook|2023-02-09
流浪氣球|流浪气球|5|4|积极|中国|Facebook|2023-03-30
刘德华帅哥|刘德华帅哥|5|4|积极|中国|Facebook|2023-02-16
与歌迷、影迷同欢聚！|与歌迷、影迷同欢聚！|4|4|积极|中国|Facebook|2023-02-09
快啲開演唱會啦￼|快啲开演唱会啦￼|3|4|中立|中国|Facebook|2023-02-02
等華哥演唱會|等华哥演唱会|3|4|中立|中国|Facebook|2023-02-09
所有香港藝術家好棒和好厉害|所有香港艺术家好棒和好厉害|2|4|积极|中国|Facebook|2023-02-02
辛苦了|辛苦了|5|4|积极|中国|Facebook|2023-03-30
Tui kg ưa chính phủ trung quốc , nhưng lại yêu thích những diễn viên trung quốc , nói về phim kháng nhật , thì mong trung đánh thắng nhật , thật là t|我喜欢中国政府，但我喜欢中国演员。|1|4|积极|越南|Facebook|2023-07-27
華哥，人在那都ok不必帶錢，勝至筆也不用，因為您就是財富了。票房的保證|华哥，人在那都ok不必带钱，胜至笔也不用，因为您就是财富了。票房的保证|0|4|积极|中国|Facebook|2023-02-16
流浪人球！奶共華|流浪人球！奶共华|4|4|积极|中国|Facebook|2023-02-09
槟城|槟城|2|4|积极|中国|Facebook|2023-02-09
Kong hei fatt choy to Andy Lau & the rest.|孔熙辉，刘德华和其他人。|4|4|积极|牙买加|Facebook|2023-07-27
มาฉายในไทยด้วยครับ|在泰国上映。|2|4|积极|泰国|Facebook|2023-07-27
永遠天王帥哥！|永远天王帅哥！|2|4|积极|中国|Facebook|2023-02-23
不見香港宣傳，衹見頻頻內地宣傳，香港人|不见香港宣传，只见频频内地宣传，香港人|2|4|消极|中国|Facebook|2023-02-02
刘伯搭沉船。导演心里讲紧粗口，你不来蹭今年票房肯定第一，怎么输俾《满江红》呢？|刘伯搭沉船。导演心里讲紧粗口，你不来蹭今年票房肯定第一，怎么输俾《满江红》呢？|0|4|积极|中国|Facebook|2023-02-16
God Bless us all,,,Good luck...your success wondering Earth|愿上帝保佑我们大家……你的成功令地球惊叹|3|4|积极|美国|Facebook|2023-07-27
老头子|gaffer|1|4|中立|日本|Facebook|2023-03-09
李雪健 68 刘德华 62|李雪健 68 刘德华 62|3|4|积极|中国|Facebook|2023-02-23
有很多種太不可能，沒有故事情節，科技再厲害也沒有可能，太不真實。|有很多种太不可能，没有故事情节，科技再厉害也没有可能，太不真实。|0|4|积极|中国|Facebook|2023-02-23
Respect|尊重|1|4|中立|牙买加|Facebook|2023-07-27
難看|难看|5|4|消极|中国|Facebook|2023-02-23
小编，无名有吗？|小编，无名有吗？|2|4|中立|中国|Facebook|2023-01-12
Filem Pathaan?|Pathaan电影?|0|4|积极|爱尔兰|Facebook|2023-07-27
这部新戏比前一集还要好看。今年的故事很差|这部新戏比前一集还要好看。今年的故事很差|3|4|积极|中国|Facebook|2023-01-12
CY Chong|CY庄|4|4|积极|牙买加|Facebook|2023-01-12
Choon Jie我想看這個|Choon Jie我想看这个|0|4|中立|中国|Facebook|2023-01-19
Chun Siu Lee|Chun Siu Lee|2|4|中立|中国|Facebook|2023-01-12
马家凯 去看这个|马家凯 去看这个|1|4|中立|中国|Facebook|2023-01-12
這兩個偶像，唱這首歌還真是讚啊|这两个偶像，唱这首歌还真是讚啊|2|4|积极|中国|Facebook|2023-01-19
哇！好棒的新歌。|哇！好棒的新歌。|3|4|积极|中国|Facebook|2023-01-19
好听爱了爱了|好听爱了爱了|2|4|积极|中国|Facebook|2023-01-19
好正好好聽|好正好好听|2|4|积极|中国|Facebook|2023-01-19
好听|好听|5|4|消极|中国|Facebook|2023-01-19
歌星就是歌星唱得真好聽““|歌星就是歌星唱得真好听““|5|4|积极|中国|Facebook|2023-01-19
真好聽合唱完美|真好听合唱完美|2|4|积极|中国|Facebook|2023-01-19
兩個是合拍的朋友， 高山有流水， 萬物有生機， 平原有大地， 大海有感應， 地球這是最美的， 靈感所在， 華哥|两个是合拍的朋友， 高山有流水， 万物有生机， 平原有大地， 大海有感应， 地球这是最美的， 灵感所在， 华哥|1|4|积极|中国|Facebook|2023-01-19
真好听～～|真好听～～|1|4|消极|中国|Facebook|2023-01-19
是啊！敬這個年紀，細水長流！|是啊！敬这个年纪，细水长流！|2|4|积极|中国|Facebook|2023-01-19
吳京唱歌都幾好|吴京唱歌都几好|0|4|积极|中国|Facebook|2023-01-19
真好聽|真好听|1|4|消极|中国|Facebook|2023-01-19
好好聽|好好听|2|4|中立|中国|Facebook|2023-01-19
好好聽|好好听|3|4|中立|中国|Facebook|2023-01-19
好聽借分享感謝！|好听借分享感谢！|5|4|积极|中国|Facebook|2023-01-19
