content|translated|likes|workId|sentiment|country|platform|postTime
A great movie|一部伟大的电影|135|4|积极|马来西亚|IMDb|2023-02-01
A New Benchmark for Hardcore Sci-fi Film|硬核科幻电影的新标杆|329|4|积极|牙买加|IMDb|2023-01-24
Beautfully made, but pacing problems|制作精美，但节奏有问题|24|4|积极|新西兰|IMDb|2023-04-17
Great Progress.|很大的进步。|279|4|积极|美国|IMDb|2023-01-22
A surprise in 2023|2023年的惊喜|84|4|积极|英国|IMDb|2023-01-31
Fantastic movie!|精彩的电影!|122|4|积极|加拿大|IMDb|2023-01-24
A Chinese science fiction movie surprisingly great|A Chinese science fiction movie surprisingly great|133|4|积极|新西兰|IMDb|2023-01-24
Good movie created by remarkable team|优秀团队创造的好电影|85|4|积极|牙买加|IMDb|2023-02-01
Every time you watch it, your evaluation of it will be higher than before. Chinese people know that the plot of the movie is better than the special |每看一次，你对它的评价都会比以前高。中国人知道电影的情节比特辑好|165|4|积极|澳大利亚|IMDb|2023-01-24
A refreshing line of sci-fi movies the undermines Hollywood traditions|一系列令人耳目一新的科幻电影正在破坏好莱坞的传统|55|4|积极|澳大利亚|IMDb|2023-01-30
Some feelings|一些感情|68|4|积极|马来西亚|IMDb|2023-01-22
This film from China opened a new world for me.|这部来自中国的电影为我打开了一个新世界。|135|4|积极|牙买加|IMDb|2023-01-25
Incipient epic momentum -- A sense of the Wandering Earth II|Incipient epic momentum -- A sense of the Wandering Earth II|100|4|消极|英国|IMDb|2023-01-22
Fascinating film that is worth your 3 hours|引人入胜的电影，值得你花3个小时|72|4|积极|加拿大|IMDb|2023-02-02
A chinese space opera|中国太空剧|31|4|积极|澳大利亚|IMDb|2023-02-02
Epic, thought provoking, and tearjerker sci-fi apocalyptic movie|史诗，发人深省，催人泪下的科幻末日电影|52|4|积极|新加坡|IMDb|2023-01-23
An opening scence to rival the best sci-fi Holywood flicks with a logical and solid storyline|片头情节逻辑性强，故事情节扎实，可与好莱坞最佳科幻电影相媲美|39|4|积极|新西兰|IMDb|2023-01-26
Much better than I thought|比我想象的好多了|59|4|积极|加拿大|IMDb|2023-01-28
A different kind of science fiction commercial|A different kind of science fiction commercial|84|4|中立|新西兰|IMDb|2023-01-23
I choose hope|我选择希望|28|4|积极|英国|IMDb|2023-02-08
A great progress|巨大的进步|43|4|中立|新加坡|IMDb|2023-01-22
Intense and a bit exhausting|紧张，有点累|27|4|积极|加拿大|IMDb|2023-01-25
A sequel (well, prequel) that's better than the first one.|一个比第一部更好的续集(好吧，前传)。|11|4|积极|加拿大|IMDb|2023-04-17
the greatest sai-fi moive I've ever seen|我看过的最棒的科幻电影|52|4|积极|牙买加|IMDb|2023-01-23
great progress|great progress|15|4|中立|加拿大|IMDb|2023-02-04
A milestone of Asian Sci-Fi movie, totally competing with Hollywood.|亚洲科幻电影的里程碑，完全与好莱坞竞争。|68|4|积极|澳大利亚|IMDb|2023-01-25
Much better than the 1st one|比第一个好多了|61|4|积极|美国|IMDb|2023-01-24
A hymn of world unity|世界团结的赞美诗|33|4|积极|英国|IMDb|2023-02-01
we won't abandon our homeland when disaster strikes|灾难来临时，我们不会放弃家园|53|4|积极|爱尔兰|IMDb|2023-01-23
Amazing movie|神奇的电影|26|4|积极|新加坡|IMDb|2023-02-01
The only way forward is through responsibility|The only way forward is through responsibility|30|4|消极|爱尔兰|IMDb|2023-01-31
Hope Netflix will buy 2 as soon as possible.|希望Netflix能尽快购买2部。|26|4|消极|马来西亚|IMDb|2023-01-25
A great beginning of Chinese science fiction|中国科幻小说的伟大开端|30|4|积极|美国|IMDb|2023-01-23
A stunning marvelous sci-fi/disaster movie|一部令人惊叹的科幻/灾难电影|47|4|积极|挪威|IMDb|2023-01-25
Future is expected|未来值得期待|13|4|积极|马来西亚|IMDb|2023-02-04
Better than Earth1 and expect for the next|比地球1号好，期待下一个|26|4|积极|马来西亚|IMDb|2023-01-26
Expected the plot to be tighter|Expected the plot to be tighter|7|4|中立|加拿大|IMDb|2023-02-05
it's interesting for both Chinese/Non-Chinese|这对中国人和非中国人都很有趣|37|4|积极|马来西亚|IMDb|2023-02-02
So Good so Grand|好极了好极了|26|4|积极|新西兰|IMDb|2023-01-27
A Superbly Brilliant Film And One Of The Best Sci-Fi Films of all time!|一部非常出色的电影，也是有史以来最好的科幻电影之一!|6|4|积极|英国|IMDb|2023-04-16
Brilliant, soul-stirring, and intensely epic.|精彩绝伦，惊心动魄，气势磅礴。|21|4|积极|牙买加|IMDb|2023-02-02
Surprisely much better then 1st episode|出乎意料的是，比第一集好多了|9|4|积极|英国|IMDb|2023-02-25
The mirrored image of the Chinese culture|The mirrored image of the Chinese culture|27|4|消极|加拿大|IMDb|2023-02-01
It surprises me|这让我很惊讶|45|4|积极|新西兰|IMDb|2023-01-22
When we put aside our prejudices, I rate this movie at least 7.5/10|抛开偏见，我给这部电影打了至少7.5分(满分10分)|33|4|积极|美国|IMDb|2023-01-24
An Absolute Materpiece|绝对的材料|20|4|积极|澳大利亚|IMDb|2023-01-26
Marvelous movie|不可思议的电影|16|4|积极|爱沙尼亚|IMDb|2023-01-30
Echo of the Golden Age|黄金时代的回声|21|4|积极|美国|IMDb|2023-02-02
A visual treat for sci-fi blockbuster fans|A visual treat for sci-fi blockbuster fans|8|4|积极|挪威|IMDb|2023-02-07
Wow wow honestly I did not expect this|哇，哇，老实说，我没想到会这样|15|4|消极|爱尔兰|IMDb|2023-02-03
Hope it is the begining of a Chinese Sci-fi Golden Age|希望这是中国科幻黄金时代的开始|40|4|积极|马来西亚|IMDb|2023-01-25
Mankind with a shared future|人类命运共同体|23|4|积极|新加坡|IMDb|2023-01-26
Milestone of Chinese film, but the words on it are too small|中国电影的里程碑，但是上面的字太小了|20|4|积极|新加坡|IMDb|2023-01-23
Really Really hit the spot|真的真的很中肯|8|4|积极|美国|IMDb|2023-02-22
100% Focused and shocked throughout whole movie time|100% Focused and shocked throughout whole movie time|35|4|积极|新西兰|IMDb|2023-02-01
It's freaking awesome! Beyond my mind!|太棒了!超出我的想象!|24|4|积极|新西兰|IMDb|2023-01-25
