content,translated,likes,workId,sentiment,country,platform,postTime
谢谢吴京大哥。期待更多作品和中国电影,谢谢吴京大哥。期待更多作品和中国电影,5,2,积极,中国,Facebook,2023-02-13
新年快乐,新年快乐,1,2,积极,中国,Facebook,2023-01-30
我也祝福我的明星们新年快乐,我也祝福我的明星们新年快乐,5,2,积极,中国,Facebook,2023-01-30
Gong Xi Fa Cai semoga sukses selalu,Gong Xi Fa Cai semoga sukses selalu,3,2,消极,印度尼西亚,Facebook,2023-07-24
是为了刘德华再去看。,是为了刘德华再去看。,4,2,积极,中国,Facebook,2023-02-13
沒有更爛只有更爛,沒有更爛只有更爛,0,2,消极,中国,Facebook,2023-02-06
好好看,好好看,2,2,积极,中国,Facebook,2023-01-30
太棒了加油！,太棒了加油！,2,2,积极,中国,Facebook,2023-02-20
真的好看至少比那个Purple Potato打个响指半个宇宙生命消失，还有一群蓝色人在… 展开,真的好看至少比那个Purple Potato打个响指半个宇宙生命消失，还有一群蓝色人在… 展开,1,2,积极,中国,Facebook,2023-01-30
新電影一定好看,新電影一定好看,4,2,积极,中国,Facebook,2023-02-06
新年快乐～,新年快乐～,0,2,积极,中国,Facebook,2023-01-30
Judul filmnya apa?,Judul filmnya apa?,1,2,消极,印度尼西亚,Facebook,2023-07-24
看到最后，不知道在演什么半场有人离了。,看到最后，不知道在演什么半场有人离了。,1,2,消极,中国,Facebook,2023-02-06
哈哈哈哈我只想笑,哈哈哈哈我只想笑,5,2,积极,中国,Facebook,2023-02-13
看什么吐啊？马航370都没了，一会儿不又没了,看什么吐啊？马航370都没了，一会儿不又没了,3,2,消极,中国,Facebook,2023-02-20
看了。非常好看！！,看了。非常好看！！,5,2,积极,中国,Facebook,2023-01-30
Heheh bnyk org bosan tengok wayang ni,Heheh bnyk org bosan tengok wayang ni,0,2,消极,菲律宾,Facebook,2023-07-24
垃圾片,垃圾片,4,2,消极,中国,Facebook,2023-02-06
這兩個偶像，唱這首歌還真是讚啊,這兩個偶像，唱這首歌還真是讚啊,1,2,积极,中国,Facebook,2023-01-23
哇！好棒的新歌。,哇！好棒的新歌。,1,2,积极,中国,Facebook,2023-01-23
好听爱了爱了,好听爱了爱了,3,2,积极,中国,Facebook,2023-01-23
好正好好聽,好正好好聽,5,2,积极,中国,Facebook,2023-01-16
好听,好听,1,2,消极,中国,Facebook,2023-01-23
真好聽合唱完美,真好聽合唱完美,2,2,积极,中国,Facebook,2023-01-23
兩個是合拍的朋友， 高山有流水， 萬物有生機， 平原有大地， 大海有感應， 地球這是最美的， 靈感所在， 華哥,兩個是合拍的朋友， 高山有流水， 萬物有生機， 平原有大地， 大海有感應， 地球這是最美的， 靈感所在， 華哥,2,2,积极,中国,Facebook,2023-01-23
歌星就是歌星唱得真好聽““,歌星就是歌星唱得真好聽““,0,2,积极,中国,Facebook,2023-01-16
真好听～～,真好听～～,4,2,消极,中国,Facebook,2023-01-23
是啊！敬這個年紀，細水長流！,是啊！敬這個年紀，細水長流！,5,2,消极,中国,Facebook,2023-01-23
吳京唱歌都幾好,吳京唱歌都幾好,4,2,积极,中国,Facebook,2023-01-16
真好聽,真好聽,5,2,积极,中国,Facebook,2023-01-23
好好聽,好好聽,1,2,积极,中国,Facebook,2023-01-16
好好聽,好好聽,4,2,积极,中国,Facebook,2023-01-23
好聽借分享感謝！,好聽借分享感謝！,5,2,积极,中国,Facebook,2023-01-16
妖言惑眾,妖言惑眾,2,2,积极,中国,Facebook,2023-03-13
黃國祐,黃國祐,2,2,积极,中国,Facebook,2023-05-08
原来电影编剧才是学习的最佳老师,原来电影编剧才是学习的最佳老师,3,2,积极,中国,Facebook,2023-05-08
