content,translated,likes,workId,sentiment,country,platform,postTime
Barbie和奥本海默的影迷，都他妈能打起来，这群傻逼有点去年《满江红》和《流浪地球2》两波智障粉丝互掐的即视感,Barbie和奥本海默的影迷，都他妈能打起来，这群傻逼有点去年《满江红》和《流浪地球2》两波智障粉丝互掐的即视感,62,2,积极,中国,Twitter,2023-07-23,Twitter
等了半年的电子骨灰盒#流浪地球2,等了半年的电子骨灰盒#流浪地球2,0,2,积极,中国,Twitter,2023-07-17,Twitter
《三体》中山杉惠子，表面上是大和抚子型的贤内助，其实是破壁人，失败后在联合国总部用武士刀切腹智子，大和扶子审美的人工智能，三体人入侵以后拿着武士刀砍人，搞澳洲集中营《流浪地球》杉山加代子，主角的老婆，毫无存在感，最后加入了叛军，在澳洲阵亡。,《三体》中山杉惠子，表面上是大和抚子型的贤内助，其实是破壁人，失败后在联合国总部用武士刀切腹智子，大和扶子审美的人工智能，三体人入侵以后拿着武士刀砍人，搞澳洲集中营《流浪地球》杉山加代子，主角的老婆，毫无存在感，最后加入了叛军，在澳洲阵亡。,145,2,积极,中国,Twitter,2023-07-16,Twitter
星球大战，流浪地球,星球大战，流浪地球,0,2,积极,中国,Twitter,2023-07-16,Twitter
行车不规范，亲人两行泪——流浪地球,行车不规范，亲人两行泪——流浪地球,1,2,积极,中国,Twitter,2023-07-22,Twitter
近期玩具流浪地球2 机器狗&moss,近期玩具流浪地球2 机器狗&moss,0,2,积极,中国,Twitter,2023-07-23,Twitter
这番言论真是暴露出你根本就没看过多少科幻作品，是不是只看过三体流浪地球啊，千禧年粉红真是既野蛮又无知。我都不拿其他国家的科幻来说了，同样是中国科幻作家的柳文杨，迟卉，何夕......人文气息可不少啊，哪怕刘自己也有乡村教师，带上她的眼睛，圆圆的肥皂泡这些人文关怀作品,这番言论真是暴露出你根本就没看过多少科幻作品，是不是只看过三体流浪地球啊，千禧年粉红真是既野蛮又无知。我都不拿其他国家的科幻来说了，同样是中国科幻作家的柳文杨，迟卉，何夕......人文气息可不少啊，哪怕刘自己也有乡村教师，带上她的眼睛，圆圆的肥皂泡这些人文关怀作品,18,2,积极,中国,Twitter,2023-07-18,Twitter
他們屁都不懂，而且觀眾絕大多數也是屁都不懂，自然不會尷尬。就那個垃圾科幻片《流浪地球》都能在那地方火很久。,他們屁都不懂，而且觀眾絕大多數也是屁都不懂，自然不會尷尬。就那個垃圾科幻片《流浪地球》都能在那地方火很久。,2,2,消极,中国,Twitter,2023-07-20,Twitter
“起初，没有人在意这一场灾难，这不过是一场山火、一次旱灾、一个物种的灭绝、一座城市的消失，直到这场灾难和每个人息息相关。”                         　——《流浪地球》,“起初，没有人在意这一场灾难，这不过是一场山火、一次旱灾、一个物种的灭绝、一座城市的消失，直到这场灾难和每个人息息相关。”                         　——《流浪地球》,0,2,积极,中国,Twitter,2023-07-22,Twitter
顾客您好，这是我们新推出的流浪地球5D沉浸式服务。前面这个不是光头，而是我们真人扮演的木星。谢谢您的理解和支持，祝你观头愉快。,顾客您好，这是我们新推出的流浪地球5D沉浸式服务。前面这个不是光头，而是我们真人扮演的木星。谢谢您的理解和支持，祝你观头愉快。,18,2,积极,中国,Twitter,2023-07-18,Twitter
相信这些消息的人，多半也是相信流浪地球、白毛女、闪闪的红星等文学作品，试图制造永动机却不了解牛顿三大定律，试图反驳爱因斯坦相对论或者这个宇宙内光速最高…的群体。洗脑的对象，假想敌的受众，迷之自信的一群人…,相信这些消息的人，多半也是相信流浪地球、白毛女、闪闪的红星等文学作品，试图制造永动机却不了解牛顿三大定律，试图反驳爱因斯坦相对论或者这个宇宙内光速最高…的群体。洗脑的对象，假想敌的受众，迷之自信的一群人…,3,2,积极,中国,Twitter,2023-07-15,Twitter
流浪地球2流浪地球3流浪地球4.jpg（,流浪地球2流浪地球3流浪地球4.jpg（,0,2,积极,中国,Twitter,2023-07-21,Twitter
@ekodascienchu 「流浪地球」だけとりあえず読み終わっためちゃくちゃ現代のSFって感じで新鮮だ,@ekodascienchu先看完《流浪地球》，感觉是乱七八糟的现代科幻，很新鲜,2,2,积极,日本,Twitter,2023-07-14,Twitter
