content|translated|likes|workId|sentiment|country|platform|postTime
这个做法真的没试过|这个做法真的没试过|5|18|消极|中国|Facebook|2022-07-27
疫情過後回去食一次|疫情过后回去食一次|0|18|积极|中国|Facebook|2022-10-06
你要吃他為什麼還要說他受了很多罪|你要吃他为什么还要说他受了很多罪|0|18|中立|中国|Facebook|2022-07-27
我喜欢看你的视频|我喜欢看你的视频|0|18|积极|中国|Facebook|2022-07-27
一刀一個準？需要多久的經驗啊？|一刀一个准？需要多久的经验啊？|3|18|中立|中国|Facebook|2022-07-27
今天这集的卫生真的不错，所以应该很好吃。哪天搞只小野猪来试试！|今天这集的卫生真的不错，所以应该很好吃。哪天搞只小野猪来试试！|0|18|积极|中国|Facebook|2022-07-27
看他試吃真的會流口水啦！|看他试吃真的会流口水啦！|1|18|中立|中国|Facebook|2022-08-04
燒整隻豬見得多.蒸第一次見、多謝分享|烧整只猪见得多.蒸第一次见、多谢分享|1|18|消极|中国|Facebook|2022-07-27
鱼饼的蘸料是蚬介，酒盐蚬肉发酵做的|鱼饼的蘸料是蚬介，酒盐蚬肉发酵做的|4|18|积极|中国|Facebook|2022-07-27
说实话，并不怎么好吃|说实话，并不怎么好吃|1|18|消极|中国|Facebook|2022-08-18
李小龙家乡，上次去还不懂有这美食。下次一定去吃。|李小龙家乡，上次去还不懂有这美食。下次一定去吃。|1|18|积极|中国|Facebook|2022-07-27
沾上辣椒大蒜，配上白酒四兩，可能更帶勁？|沾上辣椒大蒜，配上白酒四两，可能更带劲？|0|18|中立|中国|Facebook|2022-07-27
佳作...麦总..！ 加油！！|佳作...麦总..！ 加油！！|1|18|积极|中国|Facebook|2022-07-27
顺德菜是粤菜的基础。|顺德菜是粤菜的基础。|2|18|中立|中国|Facebook|2022-07-27
那個豬的耳朵好好玩，好可愛 ... 真像麥總講的，這個豬啊，真不知吃了多少苦 ... 麥總辛苦了 ！|那个猪的耳朵好好玩，好可爱 ... 真像麦总讲的，这个猪啊，真不知吃了多少苦 ... 麦总辛苦了 ！|0|18|积极|中国|Facebook|2022-07-27
人间美味|人间美味|1|18|中立|中国|Facebook|2022-07-27
非常好吃…一流口感|非常好吃…一流口感|5|18|积极|中国|Facebook|2022-07-27
麦总你好，我是住马来西亚你的粉丝|麦总你好，我是住马来西亚你的粉丝|0|18|积极|中国|Facebook|2022-07-27
看起来很好吃|看起来很好吃|2|18|积极|中国|Facebook|2022-07-27
总共蒸多久时间|总共蒸多久时间|2|18|消极|中国|Facebook|2022-09-08
阿彌陀佛|阿弥陀佛|0|18|中立|中国|Facebook|2022-08-04
我来自马来西亚，去吃过两次，真的好吃谢谢你再让我想起这道美食。|我来自马来西亚，去吃过两次，真的好吃谢谢你再让我想起这道美食。|4|18|积极|中国|Facebook|2022-07-27
我食過，我覺得麻麻地|我食过，我觉得麻麻地|1|18|消极|中国|Facebook|2022-07-27
好味|好味|4|18|中立|中国|Facebook|2022-07-27
麥總～調味料吃太多對身體不好！|麦总～调味料吃太多对身体不好！|0|18|中立|中国|Facebook|2022-07-27
舅父你好|舅父你好|4|18|积极|中国|Facebook|2022-07-27
78元一個例牌|78元一个例牌|4|18|中立|中国|Facebook|2022-07-27
問商家豬的新鮮度 ？說什麼豬遭罪 真是說話欠考慮|问商家猪的新鲜度 ？说什么猪遭罪 真是说话欠考虑|0|18|消极|中国|Facebook|2022-10-27
