"content"|"translated"|"likes"|"workId"|"sentiment"|"country"|"platform"|"postTime"
"感谢吃货浩友捎上孤苦伶仃可怜的俺老农民继续舌尖上的中国✪ω✪西安面食卤菜咪西咪西✪ω✪"|"感谢吃货浩友捎上孤苦伶仃可怜的俺老农民继续舌尖上的中国✪ω✪西安面食卤菜咪西咪西✪ω✪"|"0"|"18"|"积极"|"中国"|"Twitter"|"2023-07-21"|"Twitter"
"“中国寻根之旅”淮安营探营第一天——学文化，品美食，游运河——海外华裔青少年深度体验舌尖上的淮安。"|"“中国寻根之旅”淮安营探营第一天——学文化，品美食，游运河——海外华裔青少年深度体验舌尖上的淮安。"|"1"|"18"|"积极"|"中国"|"Twitter"|"2023-07-21"|"Twitter"
"这间是舌尖上的中国，味道不错。"|"这间是舌尖上的中国，味道不错。"|"0"|"18"|"积极"|"中国"|"Twitter"|"2023-07-24"|"Twitter"
"广州职校食堂吃出避孕套?校方:系鸭子眼球膜。鸭子又成了背锅侠，这个比鼠头更恶心！已经无力吐槽了，在当今社会戾气如此严重的情况下，吃出什么异物都不足为奇。你所不知道的，在后厨有些更恶心“异物”进入锅里从有形变成无形，可能感觉味道还很不错。舌尖上的中国"|"广州职校食堂吃出避孕套?校方:系鸭子眼球膜。鸭子又成了背锅侠，这个比鼠头更恶心！已经无力吐槽了，在当今社会戾气如此严重的情况下，吃出什么异物都不足为奇。你所不知道的，在后厨有些更恶心“异物”进入锅里从有形变成无形，可能感觉味道还很不错。舌尖上的中国"|"0"|"18"|"消极"|"中国"|"Twitter"|"2023-07-18"|"Twitter"
"#我在好客山东等你#2023山东夏日消费季#清凉好“食”光     #奶汤蒲菜 是一道“最济南”的特色美食、济南汤菜界的“扛把子”，汤色乳白，蒲菜脆嫩、鲜香，具有清凉解毒的功效，曾作为鲁菜的代表荣登央视《舌尖上的中国Ⅱ》。"|"#我在好客山东等你#2023山东夏日消费季#清凉好“食”光     #奶汤蒲菜 是一道“最济南”的特色美食、济南汤菜界的“扛把子”，汤色乳白，蒲菜脆嫩、鲜香，具有清凉解毒的功效，曾作为鲁菜的代表荣登央视《舌尖上的中国Ⅱ》。"|"0"|"18"|"积极"|"中国"|"Twitter"|"2023-07-18"|"Twitter"
"奶汤蒲菜是一道“最济南”的特色美食、济南汤菜界的“扛把子”，汤色乳白，蒲菜脆嫩、鲜香，具有清凉解毒的功效，曾作为鲁菜的代表荣登央视《舌尖上的中国Ⅱ》。《济南快览》中记载：“大明湖之蒲菜，其形似茭白，味似笋，遍植湖中，为北方数省植物菜类之珍品。”#济南 #好客山东"|"奶汤蒲菜是一道“最济南”的特色美食、济南汤菜界的“扛把子”，汤色乳白，蒲菜脆嫩、鲜香，具有清凉解毒的功效，曾作为鲁菜的代表荣登央视《舌尖上的中国Ⅱ》。《济南快览》中记载：“大明湖之蒲菜，其形似茭白，味似笋，遍植湖中，为北方数省植物菜类之珍品。”#济南 #好客山东"|"1"|"18"|"积极"|"中国"|"Twitter"|"2023-07-18"|"Twitter"
"最近没什么特别好的中国电影，可以看一看老电影或者纪录片。这里我推荐电影—周星驰《功夫》或者纪录片—中央广播电视总台《舌尖上的中国》。"|"最近没什么特别好的中国电影，可以看一看老电影或者纪录片。这里我推荐电影—周星驰《功夫》或者纪录片—中央广播电视总台《舌尖上的中国》。"|"2"|"18"|"积极"|"中国"|"Twitter"|"2023-07-23"|"Twitter"
"食在中国、味在四川大运会期间除了提供世界各地的美食川菜更是必不可少回锅肉等经典川菜自不必说火锅、串串等也将进入运动员餐厅另外成都还评选出120家“大运推荐餐厅”相信“美食之都”成都让外国友人满足味蕾的同时更能深刻感受“舌尖上的中国”体验地道“中国味”"|"食在中国、味在四川大运会期间除了提供世界各地的美食川菜更是必不可少回锅肉等经典川菜自不必说火锅、串串等也将进入运动员餐厅另外成都还评选出120家“大运推荐餐厅”相信“美食之都”成都让外国友人满足味蕾的同时更能深刻感受“舌尖上的中国”体验地道“中国味”"|"0"|"18"|"积极"|"中国"|"Twitter"|"2023-07-24"|"Twitter"
"如果说犹太民族是智慧的民族、中华民族就是会吃的民族。他们被世界赞誉为舌尖上的中国人、这世上凡是会动的东西中国人都敢吃。"|"如果说犹太民族是智慧的民族、中华民族就是会吃的民族。他们被世界赞誉为舌尖上的中国人、这世上凡是会动的东西中国人都敢吃。"|"1"|"18"|"积极"|"中国"|"Twitter"|"2023-07-22"|"Twitter"
"A Bite of ChinaⅡ EP7｜《舌尖上的中国2》第7集 - 三餐 https://youtu.be/4a0vc3fESq8 via @YouTube"|"A Bite of ChinaⅡ EP7｜《舌尖上的中国2》第7集 - 三餐 https://youtu.be/4a0vc3fESq8 via @YouTube"|"1"|"18"|"积极"|"中国"|"Twitter"|"2023-07-20"|"Twitter"
"来 让你体验一下什么叫舌尖上的中国  https://twitter.com/ttong199/status/1682827597930172417…"|"来 让你体验一下什么叫舌尖上的中国  https://twitter.com/ttong199/status/1682827597930172417…"|"0"|"18"|"积极"|"中国"|"Twitter"|"2023-07-24"|"Twitter"
"来 让你体验一下什么叫舌尖上的中国  https://twitter.com/ttong199/status/1682827597930172417…"|"来 让你体验一下什么叫舌尖上的中国  https://twitter.com/ttong199/status/1682827597930172417…"|"0"|"18"|"积极"|"中国"|"Twitter"|"2023-07-23"|"Twitter"
"舌尖上的中国空间站看看他们满足的笑容，大吃货国实锤啦"|"舌尖上的中国空间站看看他们满足的笑容，大吃货国实锤啦"|"749"|"18"|"积极"|"中国"|"Twitter"|"2021-11-07"|"Twitter"
"舌尖上的中国：《雾霾专享版》"|"舌尖上的中国：《雾霾专享版》"|"111"|"18"|"积极"|"中国"|"Twitter"|"2018-11-15"|"Twitter"
"舌尖上的中国"|"舌尖上的中国"|"16"|"18"|"积极"|"中国"|"Twitter"|"2023-04-04"|"Twitter"
"《舌尖上的中国》败下阵来。"|"《舌尖上的中国》败下阵来。"|"47"|"18"|"积极"|"中国"|"Twitter"|"2021-09-03"|"Twitter"
"人肉核酸拭子包装机，卫生杠杠滴近日，网络流出一条核酸拭子生产包装过程，触目惊心！每一根拭子咸淡各不相同哟~舌尖上的中国#澳喜要闻"|"人肉核酸拭子包装机，卫生杠杠滴近日，网络流出一条核酸拭子生产包装过程，触目惊心！每一根拭子咸淡各不相同哟~舌尖上的中国#澳喜要闻"|"38"|"18"|"消极"|"中国"|"Twitter"|"2022-09-07"|"Twitter"
"从《舌尖上的中国》之 #台湾牛肉面 到《航拍中国》之 #台湾篇 ，一个时代的篇章即将展开新的一页。"|"从《舌尖上的中国》之 #台湾牛肉面 到《航拍中国》之 #台湾篇 ，一个时代的篇章即将展开新的一页。"|"1"|"18"|"积极"|"中国"|"Twitter"|"2023-04-30"|"Twitter"
"凉山彝族吃饭，怎么和舌尖上的中国里面的不一样？"|"凉山彝族吃饭，怎么和舌尖上的中国里面的不一样？"|"4"|"18"|"积极"|"中国"|"Twitter"|"2018-07-15"|"Twitter"
"果然是舌尖上的中国空间站，这美食让人看了都垂涎欲滴，吃货表示很羡慕"|"果然是舌尖上的中国空间站，这美食让人看了都垂涎欲滴，吃货表示很羡慕"|"9"|"18"|"积极"|"中国"|"Twitter"|"2021-11-07"|"Twitter"
"马蹄滑虾球、酸辣笋、土豆牛肉...航天员在太空的伙食还很丰富呢——舌尖上的中国空间站 "|"马蹄滑虾球、酸辣笋、土豆牛肉...航天员在太空的伙食还很丰富呢——舌尖上的中国空间站 "|"13"|"18"|"积极"|"中国"|"Twitter"|"2021-11-08"|"Twitter"
