content|translated|likes|workId|sentiment|country|platform|postTime
“鲜哩”不是东北话，听着像陕北河南山东一带都有这么说，东北没有。|“鲜哩”不是东北话，听着像陕北河南山东一带都有这么说，东北没有。|2|18|消极|中国|Youtube|2023-04-15
連吃飯都不會避嘴|连吃饭都不会避嘴|0|18|中立|中国|Youtube|2023-03-15
What is the name of the song in the intro? Can somebody tell me please|这首歌的名字是什么?有人能告诉我吗|0|18|积极|新加坡|Youtube|2023-02-01
半夜真不能看这个|半夜真不能看这个|4|18|消极|中国|Youtube|2022-11-24
Very|非常|0|18|中立|爱尔兰|Youtube|2022-10-31
我太喜欢看这个系列的视频了，反复的看，实在制作的太好了，也是非常专业。|我太喜欢看这个系列的视频了，反复的看，实在制作的太好了，也是非常专业。|9|18|积极|中国|Youtube|2022-10-05
这么好的纪录片，居然只有3万多的播放量。那些韩国日本做些小吃的视频却有几十几百万的播放，油管真不要脸！|这么好的纪录片，居然只有3万多的播放量。那些韩国日本做些小吃的视频却有几十几百万的播放，油管真不要脸！|11|18|积极|中国|Youtube|2022-09-28
为什么红烧肉不用上海人做 要拍一个外地人学的红烧肉？只是小疑惑哈 也没觉得不好|为什么红烧肉不用上海人做 要拍一个外地人学的红烧肉？只是小疑惑哈 也没觉得不好|5|18|消极|中国|Youtube|2021-05-31
工作虽然重要可是因为工作很多人患上忧郁症。忧郁症者从来就没有人关心。冷漠的社会|工作虽然重要可是因为工作很多人患上忧郁症。忧郁症者从来就没有人关心。冷漠的社会|0|18|积极|中国|Youtube|2023-07-23
想起怀孕的时候 和娃爹一起做饭一起看舌尖1的烟火生活|想起怀孕的时候 和娃爹一起做饭一起看舌尖1的烟火生活|1|18|积极|中国|Youtube|2023-05-21
富士康宿舍外墙一二楼之间为什么有网子？|富士康宿舍外墙一二楼之间为什么有网子？|1|18|中立|中国|Youtube|2023-04-24
陳師傅忙碌了一天.....|陈师傅忙碌了一天.....|0|18|消极|中国|Youtube|2023-04-13
吃饱了，鼓起勇气看一集.|吃饱了，鼓起勇气看一集.|7|18|积极|中国|Youtube|2023-04-12
十四億人口，想出人頭地，幸苦，|十四亿人口，想出人头地，幸苦，|2|18|中立|中国|Youtube|2023-04-12
excellent episode!|优秀的插曲!|1|18|积极|荷兰|Youtube|2023-04-11
个幼儿园 给孩子 就不用 见不到孩子了 |个幼儿园 给孩子 就不用 见不到孩子了 |3|18|积极|中国|Youtube|2023-04-07
这季，特别是这集，讲故事多，吃谈得少且浅，有失水准|这季，特别是这集，讲故事多，吃谈得少且浅，有失水准|2|18|积极|中国|Youtube|2023-03-26
富士康那一段看得五味杂陈……唯愿亲人不再离分、生活不再艰辛……|富士康那一段看得五味杂陈……唯愿亲人不再离分、生活不再艰辛……|9|18|积极|中国|Youtube|2023-03-20
十年了她们都还好吗？|十年了她们都还好吗？|2|18|积极|中国|Youtube|2023-02-18
父母的爱如滔滔江水连绵不绝，受不了！|父母的爱如滔滔江水连绵不绝，受不了！|3|18|中立|中国|Youtube|2023-02-18
很好|很好|4|18|积极|中国|Youtube|2022-08-18
加油|加油|3|18|积极|中国|Youtube|2022-07-22
此案是告诉你好不好吃！没有告诉你健不健康！|此案是告诉你好不好吃！没有告诉你健不健康！|5|18|积极|中国|Youtube|2022-05-07
真係好勤奮 ....|真系好勤奋 ....|0|18|消极|中国|Youtube|2023-06-11
Дякую Дякую Дякую Вам |谢谢谢谢谢谢|1|18|积极|白俄罗斯|Youtube|2023-06-11
中华民族五千年的历史底蕴|中华民族五千年的历史底蕴|0|18|积极|中国|Youtube|2023-07-04
