content|translated|likes|workId|sentiment|country|platform|postTime
Less an action fantasy than a fantasy romance, this third chapter of Soi Cheang's 'Monkey King' franchise sidelines its titular character as well as |与其说这是一部动作奇幻片，不如说是一部奇幻爱情片，《孙悟空》系列电影的第三章也与剧中的孙悟空人物保持了一定的联系|14|1|积极|新西兰|IMDb|2018-02-14
This has nothing to do with the book, not with the two previous movies|这与原着无关，也与前两部电影无关|6|1|积极|爱尔兰|IMDb|2018-04-03
Such an entertaining movie!|多么有趣的一部电影!|13|1|积极|新加坡|IMDb|2018-02-23
Ancient World Brought to Life|古代世界重现生机|6|1|积极|英国|IMDb|2018-02-18
Stupid Adaptation|愚蠢的适应|4|1|消极|澳大利亚|IMDb|2018-03-15
Not a good movie|不是一部好电影|6|1|积极|牙买加|IMDb|2018-07-22
Way better quality than mcu movies|质量比漫威电影好得多|2|1|积极|加拿大|IMDb|2019-12-01
it still worth to watch it again|it still worth to watch it again|1|1|中立|新西兰|IMDb|2020-06-12
GORGEOUS FANTASY|美丽的幻想|0|1|积极|澳大利亚|IMDb|2018-05-31
Such a great film with awesome video effects.|这是一部很棒的电影，有很棒的视频效果。|0|1|积极|英国|IMDb|2018-03-19
The Buddha of Oz|奥兹国的佛|0|1|积极|牙买加|IMDb|2019-02-13
Communists comercial|商业共产主义者|1|1|中立|爱尔兰|IMDb|2022-03-28
It's a good movie as we in Chinese culture.|这是一部很好的电影，因为我们了解中国文化。|5|1|积极|美国|IMDb|2018-02-21
You will be disappointed by assuming it as a simple comedic fantasy|如果你认为这是一个简单的喜剧幻想，你会失望的|1|1|积极|加拿大|IMDb|2018-08-01
Still on the journey to THE Scriptures, to save mankind, insight depth is added to this road story.|仍然在旅途上的经文，以拯救人类，洞察力的深度是添加到这条路的故事。|0|1|积极|澳大利亚|IMDb|2023-03-26
Too much CGI|太多的CGI|1|1|消极|加拿大|IMDb|2018-08-30
Nice|不错的|1|1|积极|加拿大|IMDb|2018-03-18
An Enjoyable Yet Unfortunate Product of Its Context|一个令人愉快但不幸的语境产物|0|1|积极|加拿大|IMDb|2021-07-25
Can't believe the rating and reviews|不敢相信评分和评论|26|1|消极|马来西亚|IMDb|2014-04-24
A faithful adaptation of the beginning of Journey to the West|忠实地改编了《西游记》的开头|45|1|积极|牙买加|IMDb|2014-02-27
Donnie Yen's highly-spirited performance and Soi Cheang's energetic direction made this a surprisingly enjoyable epic fantasy.|甄子丹精神抖扬的表演和张少伟充满活力的导演使这部电影成为一部令人惊喜的史诗奇幻片。|30|1|积极|新西兰|IMDb|2014-02-03
An unbelievable and almost complete mess - made all the more alarming because of its usually excellent cast.|令人难以置信的，几乎完全的混乱-使所有更令人震惊，因为它的优秀演员通常。|37|1|积极|新加坡|IMDb|2014-02-02
Great Adaptation!|伟大的适应!|17|1|中立|英国|IMDb|2014-05-10
An incredibly bad film with poor CGI and no character development|一部非常糟糕的电影，CGI很差，没有人物发展|24|1|积极|新加坡|IMDb|2014-01-30
a jumbled mess...but still a decent watch...especially the last half hour|一团乱麻……但还是一块不错的表，尤其是最后半小时|10|1|中立|英国|IMDb|2014-04-04
Delightful Family Movie - NOT FOR HARDCORE PURISTS|愉快的家庭电影-不适合硬核纯粹主义者|25|1|积极|牙买加|IMDb|2014-04-11
Absolutely Fascinating|绝对引人入胜|3|1|中立|新西兰|IMDb|2016-02-10
The adventures and battles at the genesis of the most famous Hero in traditional Chinese Culture: the Monkey King|中国传统文化中最著名的英雄——孙悟空的冒险和战斗起源|9|1|积极|澳大利亚|IMDb|2014-04-06
