"content"|"translated"|"likes"|"workId"|"sentiment"|"country"|"platform"|"postTime"
"The legend of zelda tears of the kingdom x Journey to the West (西游记)   -Ganondorf x Bull Demon King (牛魔王)   #ZeldaTearsOfTheKingdom #Zelda #TOTK #Tea"|"塞尔达传说眼泪》王国×旅西》(西游金记)-Ganondorf x牛恶魔(牛魔王)δZeldaTearsOfTheKingdom塞尔达TOTK #茶"|"1874"|"1"|"积极"|"美国"|"Twitter"|"2023-07-26"|"Twitter"
"易中天：四大名著红楼梦第一，西游记第二，水浒第三，三国演义是混蛋"|"易中天：四大名着红楼梦第一，西游记第二，水浒第三，三国演义是混蛋"|"584"|"1"|"积极"|"中国"|"Twitter"|"2023-07-18"|"Twitter"
"看西游学荚语英语版《西游记》每天一集，努力提升英语小学生不适合，大学生刚刚好"|"看西游学荚语英语版《西游记》每天一集，努力提升英语小学生不适合，大学生刚刚好"|"21"|"1"|"积极"|"中国"|"Twitter"|"2023-07-19"|"Twitter"
"中美合拍西游记终于要开播了！周星驰监制，Netflix动画电影《美猴王》的首支中文配音预告片故事聚焦于孙悟空诞生不久，还未当上美猴王时，闯荡世界铲妖除魔的经历。将于8月18日登录Netflix。"|"中美合拍西游记终于要开播了！周星驰监制，Netflix动画电影《美猴王》的首支中文配音预告片故事聚焦于孙悟空诞生不久，还未当上美猴王时，闯荡世界铲妖除魔的经历。将于8月18日登录Netflix。"|"489"|"1"|"积极"|"中国"|"Twitter"|"2023-07-17"|"Twitter"
"The legend of zelda tears of the kingdom x Journey to the West (西游记)   -Ganondorf x Bull Demon King (牛魔王)   #ZeldaTearsOfTheKingdom #Zelda #TOTK #Tea"|"塞尔达传说眼泪》王国×旅西》(西游金记)-Ganondorf x牛恶魔(牛魔王)δZeldaTearsOfTheKingdom塞尔达TOTK #茶"|"1875"|"1"|"积极"|"新西兰"|"Twitter"|"2023-07-26"|"Twitter"
"基辛格老头都100岁了，他到访陈丽华的中国紫檀博物馆，这个老头懂紫檀吗？莫非基老头也看过西游记，也想吃一口唐僧肉？再活100岁？"|"基辛格老头都100岁了，他到访陈丽华的中国紫檀博物馆，这个老头懂紫檀吗？莫非基老头也看过西游记，也想吃一口唐僧肉？再活100岁？"|"223"|"1"|"积极"|"中国"|"Twitter"|"2023-07-23"|"Twitter"
"#汉服   #汉服美女 西游记的美女是不是你最喜欢的呢"|"#汉服   #汉服美女 西游记的美女是不是你最喜欢的呢"|"3"|"1"|"消极"|"中国"|"Twitter"|"2023-07-25"|"Twitter"
"这一幕上次出现还是在《西游记》里……"|"这一幕上次出现还是在《西游记》里……"|"7"|"1"|"积极"|"中国"|"Twitter"|"2023-07-20"|"Twitter"
"暑假重温《西游记》，金角大王果然真的没穿裤子"|"暑假重温《西游记》，金角大王果然真的没穿裤子"|"16"|"1"|"积极"|"中国"|"Twitter"|"2023-07-24"|"Twitter"
"他好像西游记那个金钱豹啊……"|"他好像西游记那个金钱豹啊……"|"6"|"1"|"积极"|"中国"|"Twitter"|"2023-07-24"|"Twitter"
"《西游记》导演：我找遍全国的漂亮妞，你们却只盯着只猴子看？"|"《西游记》导演：我找遍全国的漂亮妞，你们却只盯着只猴子看？"|"34"|"1"|"积极"|"中国"|"Twitter"|"2023-07-24"|"Twitter"
"西游记取景地~"|"西游记取景地~"|"14"|"1"|"积极"|"中国"|"Twitter"|"2023-07-24"|"Twitter"
"西游记——类乌齐县"|"西游记——类乌齐县"|"0"|"1"|"积极"|"中国"|"Twitter"|"2023-07-23"|"Twitter"
"我姓盛，所以对大圣非常感兴趣，各个公司猴年西游记主题的公仔我都会买来放工位上，还有铜师傅的"|"我姓盛，所以对大圣非常感兴趣，各个公司猴年西游记主题的公仔我都会买来放工位上，还有铜师傅的"|"5"|"1"|"积极"|"中国"|"Twitter"|"2023-07-20"|"Twitter"
"im glad the story is getting exposed to western audiences, but then again do we really need another 西游记 adaptation "|"我很高兴这个故事被西方观众所熟知，但话说回来，我们真的需要另一部改编自《中国传》的电影吗"|"2"|"1"|"积极"|"英国"|"Twitter"|"2023-07-18"|"Twitter"
"为你解释新冠疫苗引发的奇闻怪事（2）▲很多人都质疑，为什么人类从未实际使用过mRNA疫苗能够在短短几个月内获得上市批准呢？为什么莫得纳公司从未将疫苗商品化过，却能成为人类历史上首家成功商品化mRNA疫苗的公司呢？在《西游记》里有众多的妖魔都要吃唐僧肉，每当被孙悟空打出原形来的时候，就有"|"为你解释新冠疫苗引发的奇闻怪事（2）▲很多人都质疑，为什么人类从未实际使用过mRNA疫苗能够在短短几个月内获得上市批准呢？为什么莫得纳公司从未将疫苗商品化过，却能成为人类历史上首家成功商品化mRNA疫苗的公司呢？在《西游记》里有众多的妖魔都要吃唐僧肉，每当被孙悟空打出原形来的时候，就有"|"71"|"1"|"积极"|"中国"|"Twitter"|"2023-07-24"|"Twitter"
"西游记师徒三人取经为什么不走直线呢？？谁能告诉我"|"西游记师徒三人取经为什么不走直线呢？？谁能告诉我"|"20"|"1"|"消极"|"中国"|"Twitter"|"2023-07-20"|"Twitter"
"个人最喜欢三国演义，其次是水浒，西游记雷同的情节太多，红楼梦实在看不下去，什么玩意啊？！"|"个人最喜欢三国演义，其次是水浒，西游记雷同的情节太多，红楼梦实在看不下去，什么玩意啊？！"|"5"|"1"|"积极"|"中国"|"Twitter"|"2023-07-19"|"Twitter"
"西游记里，孙悟空受了委屈都可以不干了，老孙回花果山耍子去也。"|"西游记里，孙悟空受了委屈都可以不干了，老孙回花果山耍子去也。"|"1"|"1"|"消极"|"中国"|"Twitter"|"2023-07-22"|"Twitter"
"本想收工后去看封神榜（今天上线。无论好看与否，全是因为电视儿童的记忆和情结比如红楼梦或者西游记拍电影也会去看的原因一样余老师上次说：我平时没事要看剧时就看新白娘子传奇和TVB古早电视剧我说：非常理解。小时候每个暑期，电视台每个时间点播什么剧我心里有个时间表。"|"本想收工后去看封神榜（今天上线。无论好看与否，全是因为电视儿童的记忆和情结比如红楼梦或者西游记拍电影也会去看的原因一样馀老师上次说：我平时没事要看剧时就看新白娘子传奇和TVB古早电视剧我说：非常理解。小时候每个暑期，电视台每个时间点播什么剧我心里有个时间表。"|"0"|"1"|"积极"|"中国"|"Twitter"|"2023-07-20"|"Twitter"
"想想西游记的陈家庄"|"想想西游记的陈家庄"|"2"|"1"|"积极"|"中国"|"Twitter"|"2023-07-26"|"Twitter"
"哈哈哈哈，西游记演出了我的真实状态。"|"哈哈哈哈，西游记演出了我的真实状态。"|"0"|"1"|"积极"|"中国"|"Twitter"|"2023-07-26"|"Twitter"
"个人认为中国古典小说中值得一读的就是红楼梦，金瓶梅，儒林外史和西游记。"|"个人认为中国古典小说中值得一读的就是红楼梦，金瓶梅，儒林外史和西游记。"|"18"|"1"|"积极"|"中国"|"Twitter"|"2023-07-18"|"Twitter"
"*三國志演義 (les trois Royaumes)  écrit  au 14 siècle a déjà fait carton plein avec les adaptations: Manga, films, séries télé, jeux vidéos.*西游记 (la Pérég"|"*三国志演三个诸侯国义(14世纪)写道,纸箱已经充分的调整:电影、电视剧、动漫、电子游戏。*西游记》(Pérég"|"0"|"1"|"积极"|"法国"|"Twitter"|"2023-07-24"|"Twitter"
