content|translated|likes|workId|sentiment|country|platform|postTime
没有人会忘记孙悟空的，亲爱的孙悟空。 西游记的电视剧，每一个中国小孩都看过三遍以上吧？ 他在花果山上横空出世，到东海龙宫找兵器，把欺负过哪咤的东海龙王耍得团团转，抢这个坏蛋最心爱的宝贝“如意金箍棒”。金箍棒和紧箍咒都有一个“箍”字，小时候分不大...  |没有人会忘记孙悟空的，亲爱的孙悟空。 西游记的电视剧，每一个中国小孩都看过三遍以上吧？ 他在花果山上横空出世，到东海龙宫找兵器，把欺负过哪咤的东海龙王耍得团团转，抢这个坏蛋最心爱的宝贝“如意金箍棒”。金箍棒和紧箍咒都有一个“箍”字，小时候分不大...  |503|1|积极|中国|豆瓣|2007-12-12
《西游记》是电视台的经典回放剧作之一，每到假期，我总能在某个台看到那师徒四人如何遭遇妖魔鬼怪——唐僧一次次落入魔掌，孙猴子等人一次次去救，如此循环不息。唐僧真是个宝贝，所到之处要么受人景仰，要么受人爱慕，要么引人垂涎……闲着没事的我对着电视瞧啊瞧，忽然发现...  |《西游记》是电视台的经典回放剧作之一，每到假期，我总能在某个台看到那师徒四人如何遭遇妖魔鬼怪——唐僧一次次落入魔掌，孙猴子等人一次次去救，如此循环不息。唐僧真是个宝贝，所到之处要么受人景仰，要么受人爱慕，要么引人垂涎……闲着没事的我对着电视瞧啊瞧，忽然发现...  |234|1|积极|中国|豆瓣|2008-02-20
我小時侯，不愛讀《三國》，不愛讀《紅樓》，所以後來我既沒成英雄，也沒成文藝青年。 我最愛看《水滸》，還有《西遊》和《封神》，以至於後來我長成了一個什么，我自己也不知道。一個流寇一樣的妖怪吧。 去年的時候，阿菁就說我這兒妖氣越來越重了。本來因爲推崇老莊，我是一...  |我小時侯，不愛讀《三國》，不愛讀《紅樓》，所以後來我既沒成英雄，也沒成文藝青年。 我最愛看《水滸》，還有《西遊》和《封神》，以至於後來我長成了一個什么，我自己也不知道。一個流寇一樣的妖怪吧。 去年的時候，阿菁就說我這兒妖氣越來越重了。本來因爲推崇老莊，我是一...  |138|1|积极|中国|豆瓣|2008-07-20
这篇剧评可能有剧透转自知乎 文／六神磊磊 一 老《西游记》很厉害，但是究竟厉害在哪里，大家不一定全都知道。 我们经常不知道经典为什么是经典的。金庸的江湖地位为什么比梁羽生高？梁羽生为什么又好过诸葛青云？很多读者其实说不出来。 作为一个读书写字的人，我从自己的角度给大家解释一下：老...  |这篇剧评可能有剧透转自知乎 文／六神磊磊 一 老《西游记》很厉害，但是究竟厉害在哪里，大家不一定全都知道。 我们经常不知道经典为什么是经典的。金庸的江湖地位为什么比梁羽生高？梁羽生为什么又好过诸葛青云？很多读者其实说不出来。 作为一个读书写字的人，我从自己的角度给大家解释一下：老...  |166|1|积极|中国|豆瓣|2017-07-26
这两天86年央视版的《西游记》突然又火了起来，原因就是导演杨洁女士离世了，又引起人们的一番热议。（一点题外话，也就是杨洁女士离世，才知道86年央视版的《西游记》导演原来是位女同志，也才知道导演的名字。跟现在的影视剧比起来剧还没播一听说是哪位导演导的就先热火起来...  |这两天86年央视版的《西游记》突然又火了起来，原因就是导演杨洁女士离世了，又引起人们的一番热议。（一点题外话，也就是杨洁女士离世，才知道86年央视版的《西游记》导演原来是位女同志，也才知道导演的名字。跟现在的影视剧比起来剧还没播一听说是哪位导演导的就先热火起来...  |71|1|积极|中国|豆瓣|2017-04-19
一直以为,女儿国是西游记里最华美的一幕,至今百看不厌. 女儿国最精彩之处,莫过于六根俱净不近女色的俊美唐朝和尚竟然也动了凡心,那段若即若离的扑朔爱情... 在两人独处的片刻,女儿国女王问唐僧:难道你就不看我一眼?唐僧满头大汗.女王又问:你难道真的不喜欢我?唐...  |一直以为,女儿国是西游记里最华美的一幕,至今百看不厌. 女儿国最精彩之处,莫过于六根俱净不近女色的俊美唐朝和尚竟然也动了凡心,那段若即若离的扑朔爱情... 在两人独处的片刻,女儿国女王问唐僧:难道你就不看我一眼?唐僧满头大汗.女王又问:你难道真的不喜欢我?唐...  |85|1|积极|中国|豆瓣|2009-06-28
这篇剧评可能有剧透说到西游记对于原著的改编，细算起来其实是非常多的，比如对于主要人物唐僧的改编，原著中多处可见唐僧自私、怕死、偏心又喜欢骂人的方面，但是电视剧在这些地方做了大改，呈现给观众的是一个完全符合大众眼中出家人苦行僧形象的十世活佛，因为这一改编的深入人心，以至于我读...  |这篇剧评可能有剧透说到西游记对于原著的改编，细算起来其实是非常多的，比如对于主要人物唐僧的改编，原著中多处可见唐僧自私、怕死、偏心又喜欢骂人的方面，但是电视剧在这些地方做了大改，呈现给观众的是一个完全符合大众眼中出家人苦行僧形象的十世活佛，因为这一改编的深入人心，以至于我读...  |84|1|积极|中国|豆瓣|2019-08-27
西游记 永不褪色的经典，百看不厌 看了篇报道说西游记拍了整整六年，这要放到现在是一件不能想象的事情，好多抠图、绿幕，流量们都是以小时来计，电视剧的成本越来越高，动不动片酬百万千万，想想那时候的十几元真是无限感概，那时候的演员真的是演员，值得人倾佩，他们不怕吃...  |西游记 永不褪色的经典，百看不厌 看了篇报道说西游记拍了整整六年，这要放到现在是一件不能想象的事情，好多抠图、绿幕，流量们都是以小时来计，电视剧的成本越来越高，动不动片酬百万千万，想想那时候的十几元真是无限感概，那时候的演员真的是演员，值得人倾佩，他们不怕吃...  |59|1|积极|中国|豆瓣|2018-01-15
电视台对《西游记》是有些偏爱，似乎总是有那么几个频道在播放《西游记》，儿子很喜欢孙悟空，只要放到西游记，那是一定要放下玩具来看的，在儿子的影响下，也跟着他看了几个片断。 《西游记》么，每集的故事多是妖怪来捉走了唐僧，然后悟空除妖降魔，救出师父，继续到西天取...  |电视台对《西游记》是有些偏爱，似乎总是有那么几个频道在播放《西游记》，儿子很喜欢孙悟空，只要放到西游记，那是一定要放下玩具来看的，在儿子的影响下，也跟着他看了几个片断。 《西游记》么，每集的故事多是妖怪来捉走了唐僧，然后悟空除妖降魔，救出师父，继续到西天取...  |52|1|积极|中国|豆瓣|2008-12-29
小时候我特别喜欢看西游记 尤其是孙悟空，觉得他法力高强，会七十二变，一翻筋斗就有十万八千里，十万天兵天将都被他打败，被太上老君关进八卦炉里七七四十九天后，非但没死还炼出一双火眼金睛，把天庭搅个天翻地覆。 后来被如来佛祖镇压在大山下五百年被唐僧救出，从此跟随唐...  |小时候我特别喜欢看西游记 尤其是孙悟空，觉得他法力高强，会七十二变，一翻筋斗就有十万八千里，十万天兵天将都被他打败，被太上老君关进八卦炉里七七四十九天后，非但没死还炼出一双火眼金睛，把天庭搅个天翻地覆。 后来被如来佛祖镇压在大山下五百年被唐僧救出，从此跟随唐...  |41|1|积极|中国|豆瓣|2018-05-15
