content|translated|likes|workId|sentiment|country|platform|postTime
偉大的祖國|伟大的祖国|0|16|积极|中国|Youtube|2023-02-25
水是人类命根源头 , 电是人类的灵魂 |水是人类命根源头 , 电是人类的灵魂 |1|16|积极|中国|Youtube|2023-02-07
大国建造，大国重器，大地神州，我至爱的祖国！【就在这里，许下心愿，家国天下，生生不息！】|大国建造，大国重器，大地神州，我至爱的祖国！【就在这里，许下心愿，家国天下，生生不息！】|2|16|积极|中国|Youtube|2023-02-04
了不起的挑战|了不起的挑战|1|16|积极|中国|Youtube|2023-01-13
.主題曲、好聽。|.主题曲、好听。|1|16|消极|日本|Youtube|2022-12-31
厉害|厉害|4|16|消极|中国|Youtube|2022-11-24
佩服|佩服|6|16|积极|中国|Youtube|2022-11-20
我看到了中国共产党存在的合理性。|我看到了中国共产党存在的合理性。|0|16|积极|中国|Youtube|2022-11-15
牛|牛|4|16|积极|中国|Youtube|2022-11-15
看着现今中国的基建，遥想当年上古时期的大禹治水绝对是真的。只有中国人和中华民族能搞得定这样的工程。|看着现今中国的基建，遥想当年上古时期的大禹治水绝对是真的。只有中国人和中华民族能搞得定这样的工程。|0|16|积极|中国|Youtube|2022-11-15
中國加油|中国加油|0|16|积极|中国|Youtube|2023-04-07
向勞苦功高的中國工人們致敬|向劳苦功高的中国工人们致敬|0|16|积极|中国|Youtube|2023-03-30
在外网播放应该添加英文字幕|在外网播放应该添加英文字幕|0|16|消极|中国|Youtube|2023-02-09
偉大我的國|伟大我的国|1|16|积极|中国|Youtube|2022-08-19
祖國加油|祖国加油|1|16|积极|中国|Youtube|2022-08-10
看起来喜马拉雅山挖个洞好像也不是太难得事。|看起来喜马拉雅山挖个洞好像也不是太难得事。|1|16|消极|中国|Youtube|2022-07-26
真是建設奇蹟，想到幾年前，台鐵普優瑪在南部平原一弧形轉彎，竟然翻車，死傷慘重，幾年下來，只把問題推給殉職司機員，然後結案，可悲!|真是建设奇蹟，想到几年前，台铁普优玛在南部平原一弧形转弯，竟然翻车，死伤惨重，几年下来，只把问题推给殉职司机员，然后结案，可悲!|1|16|积极|中国|Youtube|2022-07-20
偉哉中國，對人民的大愛，無所不在！|伟哉中国，对人民的大爱，无所不在！|0|16|积极|中国|Youtube|2022-07-18
我国太强大了，世界最强|我国太强大了，世界最强|0|16|积极|中国|Youtube|2022-07-11
中國速度 基建狂魔 讚！|中国速度 基建狂魔 讚！|0|16|积极|中国|Youtube|2022-07-09
中國加油|中国加油|0|16|积极|中国|Youtube|2022-05-06
只有在共產黨下的中國, 才會創造出一個又一個的奇蹟.|只有在共产党下的中国, 才会创造出一个又一个的奇蹟.|0|16|积极|中国|Youtube|2022-05-06
看中国震撼世界，这是个伟大的国家，伟大的民族。向中国贡献者们，以最诚挚的致敬。您们太棒棒哒。|看中国震撼世界，这是个伟大的国家，伟大的民族。向中国贡献者们，以最诚挚的致敬。您们太棒棒哒。|4|16|积极|中国|Youtube|2022-03-04
火车对于轮船来说就和玩具玩具一样。|火车对于轮船来说就和玩具玩具一样。|0|16|积极|中国|Youtube|2022-01-12
赞赞赞|赞赞赞|0|16|积极|中国|Youtube|2021-12-29
很有意思，在我看这部纪录片的今天，大兴机场已经启用。非常非常漂亮的机场。有点从未来穿越回来的感觉。|很有意思，在我看这部纪录片的今天，大兴机场已经启用。非常非常漂亮的机场。有点从未来穿越回来的感觉。|1|16|积极|中国|Youtube|2021-12-10
中国人真是勤劳的民族|中国人真是勤劳的民族|0|16|积极|中国|Youtube|2021-12-10
中华民族团结一心的力量|中华民族团结一心的力量|0|16|积极|中国|Youtube|2021-12-06
大国风范|大国风范|0|16|积极|中国|Youtube|2021-12-02
做雀兒山隧道的工人們都是英雄|做雀儿山隧道的工人们都是英雄|0|16|积极|中国|Youtube|2021-12-02
交通是中国高速发展的基石。|交通是中国高速发展的基石。|0|16|积极|中国|Youtube|2021-11-18
～！！|～！！|0|16|中立|中国|Youtube|2021-10-24
留给台湾的时间已经不多|留给台湾的时间已经不多|2|16|积极|中国|Youtube|2021-10-20
感動～感動～還是感動|感动～感动～还是感动|2|16|积极|中国|Youtube|2021-10-20
感谢这些认真工作的普通人|感谢这些认真工作的普通人|1|16|积极|中国|Youtube|2021-10-15
中國神速發展，無論鐵路，馬路，高鐵，隧道，都已很好，感謝國家，中國人民努力|中国神速发展，无论铁路，马路，高铁，隧道，都已很好，感谢国家，中国人民努力|7|16|积极|中国|Youtube|2021-09-19
出来才三年，落伍跟不上时代了，过两年回国估计很多东西都不会用了|出来才三年，落伍跟不上时代了，过两年回国估计很多东西都不会用了|1|16|积极|中国|Youtube|2021-09-14
中国的交通系统，尤其是高铁长度为全世界综合的好多倍，这是多么大的规模，这就是中国力量，中国发达的钢铁明证。|中国的交通系统，尤其是高铁长度为全世界综合的好多倍，这是多么大的规模，这就是中国力量，中国发达的钢铁明证。|1|16|积极|中国|Youtube|2021-09-14
中國如今的發展成就 真多得西方技術封鎖及不斷的批評，全世界華裔就是如此，別人批評我們做得不好 我們就是要上進努力做到最好，但並不是要做給別人看，而是為了自強不息!!|中国如今的发展成就 真多得西方技术封锁及不断的批评，全世界华裔就是如此，别人批评我们做得不好 我们就是要上进努力做到最好，但并不是要做给别人看，而是为了自强不息!!|0|16|积极|中国|Youtube|2021-09-11
中國不可能輸給任何國家、|中国不可能输给任何国家、|1|16|积极|中国|Youtube|2021-09-07
希望最后不要被互联网公司收割|希望最后不要被互联网公司收割|0|16|积极|中国|Youtube|2021-08-29
未来一定会因为身为中国人而感到骄傲|未来一定会因为身为中国人而感到骄傲|0|16|积极|中国|Youtube|2021-08-21
食衣住行育樂都發達的地步是每個國家努力的目標|食衣住行育乐都发达的地步是每个国家努力的目标|1|16|积极|中国|Youtube|2021-08-04
大動脈完成，長肌肉就看微血管了！|大动脉完成，长肌肉就看微血管了！|0|16|积极|中国|Youtube|2021-07-30
数字公路港真的厉害。|数字公路港真的厉害。|0|16|积极|中国|Youtube|2021-07-27
讚|讚|0|16|中立|中国|Youtube|2021-07-21
祖國好厲害。讚。|祖国好厉害。讚。|0|16|积极|中国|Youtube|2021-07-14
祖国 强大的祖国 中国人民的骄傲与自豪|祖国 强大的祖国 中国人民的骄傲与自豪|0|16|积极|中国|Youtube|2021-07-13
为了崛起能成为世界强国之林的一员，全球华夏同胞兄弟姐妹们人人贡献出自己的一份力量必定凝具成巨大的动能推着中国制造继续以高品位质量的飞跃，而一举独霸全球市场遥遥领先，挤身成为人人享有自由富裕生活的高福利发达国家！|为了崛起能成为世界强国之林的一员，全球华夏同胞兄弟姐妹们人人贡献出自己的一份力量必定凝具成巨大的动能推着中国制造继续以高品位质量的飞跃，而一举独霸全球市场遥遥领先，挤身成为人人享有自由富裕生活的高福利发达国家！|0|16|积极|中国|Youtube|2021-06-25
